year,mêmes_ADJ tissus_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,2.5354410126965377e-08
1804,1.9774807569206132e-08
1805,0.0
1806,1.152667650217154e-08
1807,2.8469551160981155e-09
1808,4.5321479902327155e-09
1809,0.0
1810,1.1700633351097167e-08
1811,0.0
1812,3.7340914360584065e-08
1813,2.300593315851529e-08
1814,2.2026739543434815e-08
1815,1.3486118000116676e-08
1816,4.1716869958463576e-08
1817,9.341240669868967e-09
1818,3.814776761146277e-08
1819,3.622867339458935e-08
1820,4.6279275522920216e-08
1821,5.621048160264763e-08
1822,1.804610860745015e-08
1823,3.261286707356703e-08
1824,4.6316120716483056e-08
1825,2.289415235168235e-08
1826,2.554315514657901e-08
1827,2.3043183361437514e-08
1828,1.0364700386844561e-07
1829,6.086955295359076e-08
1830,5.5315229730013016e-08
1831,3.274153215215847e-08
1832,1.7588959622116818e-08
1833,3.4750886612755494e-08
1834,3.9205030333278046e-08
1835,5.445423312266939e-08
1836,3.696412420595152e-08
1837,4.453050195252217e-08
1838,2.651107955387033e-08
1839,6.991475487438947e-08
1840,7.261444778805526e-08
1841,6.998397594770722e-08
1842,2.5491406319133603e-08
1843,4.8436671562512856e-08
1844,4.9397051782307244e-08
1845,2.7901139176833567e-08
1846,1.5807152919933287e-08
1847,3.182001862001016e-08
1848,4.505324113779352e-08
1849,3.6869426622843093e-08
1850,5.363306954109248e-08
1851,3.5471913406581734e-08
1852,3.711010876372711e-08
1853,6.389966955566706e-08
1854,2.182179059673217e-08
1855,4.7231740296638236e-08
1856,2.1226476576430287e-08
1857,4.246912865824015e-08
1858,2.7893953813418193e-08
1859,3.513599722282379e-08
1860,2.654766717569146e-08
1861,2.9238975685075275e-08
1862,5.2860439581081664e-08
1863,1.9479021062807078e-08
1864,2.9247839705703882e-08
1865,2.2122168985561075e-08
1866,2.4814625021463144e-08
1867,3.4454963326879806e-08
1868,3.902500367303219e-08
1869,4.688178378842167e-08
1870,5.103303379883073e-08
1871,4.142259157902117e-08
1872,4.5959779981785687e-08
1873,3.591602748542755e-08
1874,3.525019565131515e-08
1875,3.89063856687244e-08
1876,5.441413364337677e-08
1877,4.0201303619369355e-08
1878,2.7779808675632012e-08
1879,1.5273313280772527e-08
1880,2.5029599726167362e-08
1881,1.6036766581351003e-08
1882,2.1962771157291172e-08
1883,1.3270612164717477e-08
1884,4.423137056619453e-08
1885,2.8360796378024133e-08
1886,3.1621972595985426e-08
1887,3.133883907935342e-08
1888,1.9021843655764314e-08
1889,1.0650732740202784e-08
1890,3.604912635069013e-08
1891,1.0198752065093686e-08
1892,3.19694137829174e-08
1893,2.9560400349737392e-08
1894,3.7179081147087345e-08
1895,2.166701307260155e-08
1896,2.299841384001411e-08
1897,5.010973680441566e-08
1898,3.734514208986184e-08
1899,2.5979618456517528e-08
1900,3.945200433008722e-08
1901,1.1736351446245408e-08
1902,1.3748794991386148e-08
1903,2.2680925582108102e-08
