year,les_DET eaux_NOUN,les_DET taux_NOUN
1800,6.798626600357238e-05,1.9179403665248174e-07
1801,5.570538405663683e-05,1.5477686687859205e-07
1802,6.57835489619174e-05,1.2755688771903806e-07
1803,6.877285841255798e-05,8.581492672021795e-08
1804,6.552382501467946e-05,1.5325475999361515e-07
1805,6.032870669514523e-05,1.2792949632967066e-07
1806,5.051277844358992e-05,1.2967511509032192e-07
1807,5.490352896231343e-05,1.8505208743135881e-07
1808,5.092548053653445e-05,9.290903335568146e-08
1809,5.907139029659447e-05,8.132510176395158e-08
1810,5.2238649459468434e-05,1.006254533031381e-07
1811,5.3568709972751094e-05,1.5293167621166504e-07
1812,5.794242997581023e-05,1.0668832706173248e-07
1813,4.849650667893002e-05,1.0927818294703684e-07
1814,4.401571959533612e-05,7.866692897096073e-08
1815,5.169229098100914e-05,9.440282422445989e-08
1816,5.242188080956112e-05,3.012885052555703e-08
1817,4.4865978225061554e-05,1.0898113611546023e-07
1818,5.1160924613213865e-05,5.722165141719415e-08
1819,4.7381931381096365e-05,6.831693077913314e-08
1820,3.839281180262333e-05,8.42520151422832e-08
1821,3.80860542463779e-05,6.903041649408692e-08
1822,4.8787653213366866e-05,5.81485721795616e-08
1823,3.7892198633926455e-05,1.0080340739904159e-07
1824,4.0812080214891466e-05,9.263223699207401e-08
1825,4.547130765786278e-05,1.0214313839185252e-07
1826,4.5599815848618164e-05,7.927186174150336e-08
1827,4.266859968993231e-05,1.1429418655950485e-07
1828,4.227238491694152e-05,7.979901761601127e-08
1829,4.606024685926968e-05,1.1745251393691092e-07
1830,4.466026530280942e-05,1.1271782529576058e-07
1831,4.8145645450858865e-05,9.042899495881329e-08
1832,4.258693161318661e-05,6.359085902296613e-08
1833,5.670186237693997e-05,1.355284480197838e-07
1834,4.441183205017296e-05,1.9415823970803103e-07
1835,5.218606474954868e-05,8.621920244422654e-08
1836,4.175064509581716e-05,1.3038255319841596e-07
1837,4.713414455181919e-05,8.488627045721842e-08
1838,4.5350988330028486e-05,8.773905024739292e-08
1839,4.228024772601202e-05,1.5101586114951715e-07
1840,4.3711350599551224e-05,1.0764773739069255e-07
1841,4.367578185338061e-05,1.7656508521923797e-07
1842,3.850678172057087e-05,8.787826866196724e-08
1843,4.213517991047411e-05,1.4649140145372996e-07
1844,4.2020973978651455e-05,7.464443330107429e-08
1845,4.3623432247841265e-05,1.590365013015571e-07
1846,4.385255556371703e-05,1.3640988250074315e-07
1847,3.948055450564425e-05,2.308299764663957e-07
1848,4.3825539705721894e-05,2.276797808065112e-07
1849,4.31640432907443e-05,2.0110596388178692e-07
1850,3.981474583270028e-05,2.294680649939096e-07
1851,4.472298724067514e-05,2.560427185827052e-07
1852,4.753544521918229e-05,3.7956480802847636e-07
1853,4.7953417379176244e-05,3.3323378367811074e-07
1854,4.652613529287919e-05,2.680962820633681e-07
1855,4.722218659480859e-05,1.846814079442538e-07
1856,4.4654809698840836e-05,1.7188268763845826e-07
1857,4.9362308800482424e-05,2.0063001748837905e-07
1858,4.278541041458084e-05,1.262568480875359e-07
1859,4.789290733242524e-05,1.8637355125861177e-07
1860,4.40297640125209e-05,1.4189270469699977e-07
1861,4.351419875092688e-05,1.5987117407689766e-07
1862,4.55652457276301e-05,1.450273652281453e-07
1863,4.365847894405306e-05,1.7880742220199863e-07
1864,4.697203030445962e-05,1.7980229927161417e-07
1865,4.387814396977774e-05,2.3534221682552925e-07
1866,4.269624105290859e-05,1.7078301706163757e-07
1867,4.248054256095202e-05,2.2517044762082605e-07
1868,4.514106421993347e-05,2.316800937762764e-07
1869,4.1994847379100975e-05,1.5187744217826094e-07
1870,4.5666539335798007e-05,1.502320756685549e-07
1871,3.967434554397187e-05,2.0498871933227747e-07
1872,4.122652535443194e-05,1.85048579126601e-07
1873,5.254634288576199e-05,2.3345416799713803e-07
1874,4.5013302042207215e-05,3.519044895483603e-07
1875,4.4648510083789006e-05,2.992358751896518e-07
1876,4.7088783503568266e-05,3.71225301165623e-07
1877,4.5572196768262074e-05,2.362599724747838e-07
1878,4.281834753783187e-05,4.86146632283635e-07
1879,4.3463571500979015e-05,5.156270646011762e-07
1880,4.3280670297463075e-05,5.09576981500004e-07
1881,4.544889452517964e-05,4.490294926995375e-07
1882,4.390091635286808e-05,4.073095780654512e-07
1883,4.515736327448394e-05,4.1518056193012853e-07
1884,4.18494773839484e-05,3.571518050193845e-07
1885,4.54339970019646e-05,5.111389143053202e-07
1886,4.119181630812818e-05,5.575792769718646e-07
1887,4.354466136646806e-05,6.581156171137081e-07
1888,4.3317812469467754e-05,6.644964187785263e-07
1889,4.0451482846037834e-05,7.530694432489327e-07
1890,3.9446917980967555e-05,6.587158196680321e-07
1891,3.9439210240743705e-05,6.068257718538916e-07
1892,4.236260747347842e-05,6.607012039694382e-07
1893,3.896676594195014e-05,7.679545461769521e-07
1894,4.26444084951072e-05,6.471681075481683e-07
1895,3.66443339316902e-05,8.167260006075594e-07
1896,3.8180903629836394e-05,9.376275897921005e-07
1897,3.748616313714592e-05,7.877716683424296e-07
1898,3.740908141480759e-05,8.991126065893695e-07
1899,3.880802159983432e-05,8.578801526937241e-07
1900,3.731225183400966e-05,1.1866747797739663e-06
1901,3.640392628767586e-05,1.1082469200118794e-06
1902,3.319499182907748e-05,8.666650899158412e-07
1903,4.051623409395688e-05,1.1054250848019365e-06
1904,3.729345053216093e-05,1.1560819359601737e-06
1905,3.7917643567197956e-05,1.1255615390837193e-06
1906,3.8181166473805206e-05,1.2238014761578597e-06
1907,3.486436298771878e-05,1.2656537791144729e-06
1908,3.541946421137254e-05,1.2445459987020513e-06
1909,3.316763081784302e-05,1.6689983510786988e-06
1910,3.7492958654183894e-05,1.3258837441298965e-06
1911,3.4798970318661304e-05,1.5226910932142346e-06
1912,3.2226522080236464e-05,1.5831430744128738e-06
1913,3.2867930485736e-05,1.8226376141683431e-06
1914,3.4012092100965674e-05,1.7384746513471327e-06
1915,3.099282935181691e-05,2.1700163870264078e-06
1916,2.7767514666265924e-05,2.366699391131988e-06
1917,2.699824017327046e-05,2.518987713528986e-06
1918,2.5906372229655972e-05,2.431665905078262e-06
1919,2.6458752699909382e-05,3.0597680051869247e-06
1920,2.6571718080958817e-05,2.690413850814366e-06
1921,2.8126698907726677e-05,3.2259903832709824e-06
1922,2.753593116722186e-05,2.729098241616157e-06
1923,2.7326511826686328e-05,2.982019907449285e-06
1924,2.9176324687796296e-05,2.9818328073361045e-06
1925,3.1013762281872914e-05,3.0860886681693955e-06
1926,2.7692580943039502e-05,4.593323637891444e-06
1927,2.8461742203944596e-05,3.3681808986329997e-06
1928,2.8264598768146243e-05,4.242489012540318e-06
1929,2.93516281999473e-05,3.962642495025648e-06
1930,2.7889168450201396e-05,4.815902286736673e-06
1931,2.7529109047463862e-05,5.0001084446194e-06
1932,2.97343190140964e-05,4.845211151405238e-06
1933,2.7928768531637616e-05,4.576794310651167e-06
1934,2.6996897076969617e-05,5.401296334639483e-06
1935,2.5725827072164975e-05,4.910586994810728e-06
1936,2.6657397938834038e-05,5.559181431635807e-06
1937,2.650808050930209e-05,6.010999982208887e-06
1938,2.7645727413982968e-05,7.150315809667518e-06
1939,2.8066112690794398e-05,6.652912134086364e-06
1940,3.060943595301069e-05,6.050378146937874e-06
1941,2.800090442178771e-05,7.72408202465158e-06
1942,2.8175689749332378e-05,4.869909844273934e-06
1943,3.047816267098824e-05,5.9167933841308695e-06
1944,2.251479622827901e-05,7.284293133125175e-06
1945,2.1432122707665258e-05,6.409158800124715e-06
1946,2.188536768699123e-05,7.215308528429887e-06
1947,2.1142856098776974e-05,7.173979952312948e-06
1948,2.4086668418021873e-05,6.7460065338309505e-06
1949,2.523756484151818e-05,1.161548448180838e-05
1950,2.4971829134301515e-05,7.382004355349636e-06
1951,2.5193958208546974e-05,8.224205544138385e-06
1952,2.7510338895808673e-05,9.076967216969933e-06
1953,2.7471106022858294e-05,7.846578569115081e-06
1954,2.543204777794017e-05,8.945779654823127e-06
1955,2.4735770011830027e-05,8.34474394650897e-06
1956,2.3406671971315518e-05,9.70139763012412e-06
1957,2.666591149136366e-05,9.944718158294563e-06
1958,2.492426960998273e-05,1.1278376632617437e-05
1959,2.3949811520651565e-05,9.940333939084667e-06
1960,2.3416639351125923e-05,1.1278882311671623e-05
1961,2.3215190140035702e-05,1.1374136875019758e-05
