year,certaines_DET huiles_NOUN,certaines_DET tuiles_NOUN
1800,7.545994851199112e-08,0.0
1801,7.381665767525192e-08,0.0
1802,4.923248297927785e-08,0.0
1803,8.971560205850437e-08,0.0
1804,4.943701981119375e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,8.645007376628655e-09,0.0
1807,0.0,0.0
1808,1.1330369531492579e-08,0.0
1809,2.25903047379461e-08,0.0
1810,2.3401267590372754e-08,0.0
1811,3.7606151082059114e-08,0.0
1812,8.00162425207418e-09,0.0
1813,8.914799076720215e-08,0.0
1814,2.8320092937406116e-08,0.0
1815,1.6183341244868643e-07,0.0
1816,1.228330006597389e-07,0.0
1817,7.161617787687646e-08,0.0
1818,3.099506074022429e-08,0.0
1819,1.1386155129855524e-08,0.0
1820,2.7292905713238724e-08,0.0
1821,2.7612167219359662e-08,0.0
1822,2.90742860897808e-08,0.0
1823,2.2730180404550993e-08,0.0
1824,5.726356810953348e-08,0.0
1825,8.805443485471187e-09,0.0
1826,5.2847905607222856e-08,0.0
1827,7.465990936594835e-08,0.0
1828,9.264023947963551e-08,0.0
1829,7.030004667285539e-08,8.57317605795771e-10
1830,4.5922078584226256e-08,0.0
1831,9.978371906527173e-08,0.0
1832,7.982682170837307e-08,0.0
1833,1.7375443306377747e-08,0.0
1834,1.4935249259551142e-08,0.0
1835,5.142899794918776e-08,0.0
1836,6.183089806821584e-08,2.016224964762614e-09
1837,2.7831564386460172e-08,0.0
1838,2.7142296854520964e-08,0.0
1839,5.872839281551023e-08,1.3982950353153e-09
1840,3.630722389402763e-08,0.0
1841,4.879616755104621e-08,0.0
1842,3.8237111255057243e-08,0.0
1843,5.434358119060789e-08,0.0
1844,5.708103689716637e-08,0.0
1845,4.519984675432909e-08,0.0
1846,2.6930706553685013e-08,0.0
1847,2.9662729161827883e-08,0.0
1848,6.033916377656823e-08,0.0
1849,2.3462362719328667e-08,0.0
1850,6.449546319231558e-08,0.0
1851,5.3530341936891546e-08,1.2898877521649865e-09
1852,3.6459056218518526e-08,0.0
1853,1.0271722938881567e-07,0.0
1854,1.0858938637170468e-07,0.0
1855,4.563965916304369e-08,0.0
1856,5.228961241776631e-08,0.0
1857,5.320845014589182e-08,4.881509085841174e-10
1858,4.061750980000056e-08,0.0
1859,2.7497735866077733e-08,5.092173349652285e-09
1860,5.2179895959625355e-08,2.288591982591015e-09
1861,1.1742749705945243e-07,3.7727710400226044e-09
1862,3.7047488687935726e-08,4.066187830886747e-09
1863,3.795911984738609e-08,0.0
1864,2.349416750035971e-08,0.0
