year,premières_ADJ erreurs_NOUN,premières_ADJ terreurs_NOUN
1800,4.4018303668735825e-08,0.0
1801,4.286128785224719e-08,0.0
1802,1.096541666356643e-07,0.0
1803,9.55666195068261e-08,1.950339223455444e-09
1804,1.087614407424553e-07,0.0
1805,5.401467717547348e-08,1.7057265822018053e-08
1806,8.933174200365102e-08,2.881669125542885e-09
1807,7.402083213037258e-08,2.8469551160981155e-09
1808,2.7192887941396293e-08,1.1330369531492579e-08
1809,1.1069249694628525e-07,1.129515236897305e-08
1810,9.360506680877734e-08,3.2761775514700275e-08
1811,2.2563691359778204e-08,0.0
1812,1.3069320914382843e-07,1.0668832928217853e-08
1813,7.476928232108548e-08,2.8757416448144113e-09
1814,1.6677388714469998e-07,0.0
1815,1.1328339155625144e-07,2.6972236000233352e-08
1816,1.0660977523002657e-07,6.257530316133852e-08
1817,1.4167548556542897e-07,1.556873407970727e-09
1818,8.225612191381515e-08,1.1921176934492905e-08
1819,8.384350280721264e-08,4.45095160728215e-08
1820,1.2697134366135288e-07,1.1866481131050932e-09
1821,1.2622705014564417e-07,1.972297702934611e-08
1822,1.2431763707354548e-07,4.0102463572111446e-08
1823,1.324279992331867e-07,6.917880934764753e-09
1824,5.3053010873327366e-08,7.57900142644985e-09
1825,6.251864448358901e-08,4.4027217427355936e-09
1826,7.04638765114396e-08,2.4662355713189754e-08
1827,1.0139000039544044e-07,1.1060727445055818e-08
1828,1.2290882978049922e-07,4.035812395386529e-08
1829,8.487444347338169e-08,2.571952872898464e-09
1830,1.0019362406410437e-07,2.400472176589119e-08
1831,5.456922025359745e-08,3.1182412207897414e-09
1832,3.6530916958099624e-08,1.3529969367098715e-09
1833,6.02348677603004e-08,1.1583628278799551e-08
1834,6.814207864636046e-08,9.334530925997342e-10
1835,5.142899794918776e-08,8.31939672707449e-09
1836,9.274634749090183e-08,3.293167694096155e-08
1837,1.2106730196137505e-07,6.262101948095733e-09
1838,3.850418650586107e-08,1.009945904684173e-08
1839,4.1249702320556025e-08,4.194885327990505e-09
1840,6.17859825524647e-08,2.0383003729307347e-08
1841,7.447836480878323e-08,3.659712533021775e-08
1842,6.507016792056675e-08,6.037438549100216e-09
1843,8.505951853976512e-08,4.134837805480629e-09
1844,4.610391357573462e-08,6.037417232818143e-09
1845,6.528866691724033e-08,1.785672942844485e-08
1846,3.805426018743674e-08,2.4003455223464698e-08
1847,7.11905556727288e-08,9.168480197274675e-09
1848,4.34441957963827e-08,4.02261068899179e-09
1849,2.262441967104678e-08,1.0893239199560867e-08
1850,5.634866795389826e-08,6.1100964288129944e-09
1851,5.159551008659946e-08,1.1608989325395669e-08
1852,7.552232972329875e-08,3.906327261660181e-09
1853,4.478948767427937e-08,5.3747388761848924e-09
1854,6.33871053423718e-08,6.234797567117312e-09
1855,5.413075854221461e-08,9.552486801567284e-09
1856,4.245295315286057e-08,5.694908100650764e-09
1857,5.027954230740761e-08,1.6597130780837688e-08
1858,4.404308384664546e-08,5.872411001917044e-09
1859,3.971895168319861e-08,5.601390462572908e-09
1860,4.622955884769908e-08,1.0527522853465143e-08
1861,4.480165571862926e-08,2.4051415081771665e-08
1862,6.00892207103243e-08,9.939570055905733e-09
1863,3.696019490462277e-08,3.0467187883687075e-08
1864,3.835782536043553e-08,1.726102105692462e-08
1865,2.58876440284439e-08,7.530950973944073e-09
1866,2.1408697037372804e-08,4.379051787850585e-09
1867,3.542552207136396e-08,7.279217228983725e-09
1868,5.186867824136243e-08,2.4699371437009177e-09
1869,2.6859355628516823e-08,9.278686263769487e-09
1870,5.2179842668920173e-08,8.027668307875047e-09
1871,1.5931766128574054e-08,5.3105884134652115e-09
1872,4.656451224605007e-08,1.9351485747165498e-08
1873,2.993002112816612e-08,1.0176207432266438e-08
1874,3.7042575229406793e-08,5.974609140757536e-10
1875,3.432916173551348e-08,4.005069165202713e-09
1876,1.813804395567331e-08,4.232210137899983e-09
1877,4.143826615177204e-08,7.421779191219002e-09
1878,2.4760263173106978e-08,3.0195443923020093e-09
1879,5.6205792020591616e-08,3.665595160740054e-09
1880,2.8238524407697696e-08,1.2835692508872398e-09
1881,1.8825771164188154e-08,5.5780060570498335e-09
1882,4.1263387373646765e-08,8.652000893505374e-09
1883,2.1485751844352308e-08,1.8958017378167824e-09
1884,1.9144920315739e-08,1.9805090900604227e-08
1885,4.18966337178972e-08,1.6114089618213256e-08
1886,2.710454793941608e-08,1.7424351739236954e-08
1887,3.525619263200497e-08,3.9173548849191775e-09
1888,2.4728397107764977e-08,1.1413106904001324e-08
1889,3.5084767091575486e-08,7.51816386923565e-09
1890,4.260351360585446e-08,3.2771931834929546e-09
1891,1.2748440525456317e-08,1.211101796627645e-08
1892,2.382034658410248e-08,1.2537024751679837e-09
1893,2.155445777418663e-08,6.774258043407144e-09
1894,3.465846631911518e-08,2.520615716150587e-09
1895,2.768562623600701e-08,6.018614495673091e-10
1896,1.47425724961181e-08,5.89702897624278e-10
1897,2.505486840220783e-08,4.661370844871726e-09
