year,ces_DET eaux_NOUN,ces_DET taux_NOUN
1800,5.684649579507095e-06,6.917161599062638e-08
1801,5.643402516852802e-06,1.4287095506659853e-08
1802,6.4516930251556914e-06,1.1189200677108602e-08
1803,6.761826284673589e-06,9.751696339321825e-09
1804,5.571551923821971e-06,0.0
1805,5.142765701293683e-06,8.528633133053631e-09
1806,5.339733093023824e-06,1.729001475325731e-08
1807,6.146575913135166e-06,2.8469551160981155e-09
1808,5.429513464605407e-06,6.798221985349073e-09
1809,5.292908269893815e-06,2.7108365552308555e-08
1810,5.354210145469551e-06,2.8081521108447305e-08
1811,7.263001293722482e-06,1.0028307073639553e-08
1812,6.075900216728769e-06,8.00162425207418e-09
1813,5.115944532008143e-06,2.8757416448144113e-09
1814,6.104553847308125e-06,1.8880063290538374e-08
1815,9.742371503307368e-06,1.6183340889597275e-08
1816,5.126539804223285e-06,0.0
1817,4.107031941202877e-06,2.3353100786493997e-08
1818,4.881721963556629e-06,1.3113294894395722e-08
1819,4.499601629959216e-06,3.1053151161586356e-09
1820,3.7462481827787997e-06,1.1866481131050932e-08
1821,3.828229665714389e-06,1.1833786173198746e-08
1822,5.578252512350446e-06,1.303330066093622e-08
1823,3.3670313541733776e-06,6.9178810457870554e-09
1824,3.2926551227774326e-06,6.736890156844311e-09
1825,3.863828311523321e-06,4.402721520690989e-09
1826,5.975336648589291e-06,6.1655889282974385e-09
1827,4.558863054171525e-06,2.1199728195142598e-08
1828,3.9239105262822704e-06,2.201352222730435e-08
1829,4.626085683412384e-06,4.286588028978855e-09
1830,4.214394380142039e-06,2.8179456323940144e-08
1831,5.174721195544407e-06,2.0268568601267134e-08
1832,3.6436207437873236e-06,1.0823975493678972e-08
1833,6.72777133559066e-06,1.042526565075974e-08
1834,3.985844699627705e-06,9.334531148041947e-09
1835,4.484911244162504e-06,2.4958190181223472e-08
1836,3.472611638244416e-06,1.478565020418543e-08
1837,4.68266074449275e-06,5.566312522020667e-09
1838,4.6318646127474494e-06,8.20581069760351e-09
1839,3.5265000803974544e-06,1.6080392239992136e-08
1840,4.054306941725372e-06,1.6561190196995312e-08
1841,3.982024338711199e-06,1.733548060656176e-08
1842,3.382978036370332e-06,1.677066219230028e-08
1843,3.3887948802657775e-06,1.240451308337498e-08
1844,3.5006043503926776e-06,2.4698525225019807e-08
1845,3.841986853103663e-06,2.622707118149492e-08
1846,4.366872587979742e-06,1.9319854605015507e-08
1847,3.4074387258442584e-06,2.8584084432736745e-08
1848,4.2366138472971215e-06,3.218088551193432e-08
1849,4.424331052632624e-06,2.5976186535103807e-08
1850,3.560828531590232e-06,2.647708452485631e-08
