year,seras_VERB en_ADP,seras_VERB tant_ADV
1800,3.772997558826319e-08,0.0
1801,1.4287095950749062e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,6.631153581793114e-08,0.0
1804,4.449331569844617e-08,0.0
1805,4.8328921309348516e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,3.172503681980743e-08,0.0
1809,3.6144488291256494e-08,0.0
1810,5.3822915901946544e-08,0.0
1811,1.2535384286138651e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,3.4508900625951355e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,3.236668177919455e-08,0.0
1816,6.952811659743929e-09,0.0
1817,2.80237220096069e-08,0.0
1818,2.8610825708597076e-08,0.0
1819,4.864993385922389e-08,1.035105001712111e-09
1820,4.865257352548724e-08,0.0
1821,4.6348993976153e-08,0.0
1822,7.21844344298006e-08,0.0
1823,5.336650943377208e-08,0.0
1824,4.884245186076441e-08,0.0
1825,4.9310479255382234e-08,0.0
1826,3.435113882233054e-08,0.0
1827,3.2260455640198415e-08,0.0
1828,3.3020285172824515e-08,0.0
1829,5.1439055681612444e-08,0.0
1830,5.5315229730013016e-08,0.0
1831,6.080570358335535e-08,0.0
1832,3.2471927369215337e-08,0.0
1833,5.3284690437749305e-08,0.0
1834,2.333632664885954e-08,1.0267983796552471e-08
1835,5.672315950278062e-08,0.0
1836,6.58633538819231e-08,6.720750067579218e-10
1837,4.940102726891382e-08,0.0
1838,5.680945847075236e-08,0.0
1839,4.4046291947097416e-08,0.0
1840,3.758116307039927e-08,0.0
1841,4.365973182984817e-08,2.5682194149112547e-09
1842,5.634942823462552e-08,0.0
1843,7.560846171372759e-08,5.906911071384968e-10
1844,4.061535463506516e-08,0.0
1845,4.408380149811819e-08,0.0
1846,4.390875929516369e-08,0.0
1847,4.368511241636952e-08,0.0
1848,3.620349886546137e-08,0.0
1849,3.9383248662261394e-08,4.1897072478036534e-09
1850,3.530277936647508e-08,0.0
1851,1.3543821175687754e-08,0.0
1852,3.1250618093281446e-08,6.510545436100301e-10
1853,2.6873692604567623e-08,0.0
1854,6.858277146193359e-08,0.0
1855,4.9354515141430966e-08,2.653468555990912e-09
1856,5.487820686767009e-08,3.1063134287023786e-09
1857,4.9791392342513063e-08,0.0
1858,7.144767266709096e-08,0.0
1859,4.68479939286226e-08,5.092173349652285e-10
1860,4.211009141386057e-08,4.577183909670879e-10
1861,4.95176202264247e-08,0.0
1862,4.9246050792817186e-08,0.0
1863,3.49623441309177e-08,1.4983863039219614e-09
1864,3.404256787575832e-08,0.0
1865,6.26010319138004e-08,0.0
1866,5.93604774223877e-08,0.0
1867,8.589476152565112e-08,1.94112459439566e-09
1868,3.2603168165223906e-08,1.4819622196071691e-09
1869,5.3718711257033647e-08,4.883519144627257e-10
1870,5.791389412479475e-08,1.7202146374017957e-09
1871,4.248470730772169e-08,4.248470908407853e-09
1872,4.8378716144270584e-08,0.0
1873,5.8662845248136364e-08,5.9860045809045914e-09
1874,6.333085877940903e-08,1.7923826867161097e-09
1875,5.607096653648114e-08,0.0
1876,5.38095328295185e-08,1.0278225381910033e-08
1877,6.246663986075873e-08,0.0
1878,6.2202616391005e-08,0.0
