year,deux_DET issus_ADJ,deux_DET tissus_NOUN
1800,0.0,3.458580977167003e-08
1801,2.6193008650921e-08,5.714838380299625e-08
1802,6.713520406265161e-09,2.0140561218795483e-08
1803,1.3652374342143503e-08,1.950339223455444e-09
1804,1.9774807569206132e-08,0.0
1805,1.421438877713399e-08,5.685755422035754e-09
1806,0.0,5.4751712497136396e-08
1807,0.0,8.540865792383556e-09
1808,4.5321479902327155e-09,4.5321479902327155e-09
1809,0.0,9.036122072814123e-09
1810,0.0,0.0
1811,9.777599530025327e-08,7.521229861140455e-09
1812,5.3344164641089264e-09,6.668020802180763e-08
1813,8.627225156487839e-09,4.888760685162197e-08
1814,0.0,1.2586708564299443e-08
1815,5.394447111228828e-09,4.5852800667489646e-08
1816,0.0,4.4034472068688046e-08
1817,0.0,1.2454987263765815e-08
1818,3.5763530803478716e-08,3.9339884239097955e-08
1819,4.140419918030602e-08,3.1053151161586356e-08
1820,2.254631326081835e-08,2.3732962262101864e-09
1821,1.97229765852569e-09,2.9584464655840748e-08
1822,9.023054303725075e-09,5.514088741165324e-08
1823,8.894418535021487e-09,9.882686891060644e-10
1824,2.189489300974401e-08,6.736890156844311e-09
1825,3.78634048558979e-08,1.5849797252442954e-08
1826,2.906634755106552e-08,2.9947145208097936e-08
1827,1.8434546111834038e-09,1.1982455028203276e-08
1828,2.0179061976932644e-08,1.4675682002973645e-08
1829,7.715858174606183e-09,2.2290257861712348e-08
1830,6.262101504006523e-09,3.3397876242347024e-08
1831,2.3386808933878456e-08,2.0268567268999504e-08
1832,1.3529969367098715e-09,1.623596290745155e-08
1833,1.50587169400751e-08,9.266902800675325e-09
1834,1.4935249481595747e-08,5.2273372741495905e-08
1835,1.9664028627630614e-08,1.3613558280667348e-08
1836,1.2769425516978572e-08,1.9490174807401672e-08
1837,1.530736071231331e-08,9.94978436308358e-08
1838,2.5248647617104325e-09,7.385229383594094e-08
1839,2.23727205650448e-08,2.51693106356754e-08
1840,3.4396318682183846e-08,4.331388403500114e-08
1841,2.3756030032018316e-08,3.5955073141025196e-08
1842,1.1404051036834062e-08,3.4882980060046975e-08
1843,1.6539351221922516e-08,3.6622847421341476e-08
1844,1.3721403568922597e-08,4.775048290106554e-08
1845,2.7901139176833567e-09,4.408380149811819e-08
1846,1.1123552745573306e-08,4.156695965207291e-08
1847,2.2651539310913904e-08,3.66739207890987e-08
1848,4.02261068899179e-09,1.448139919091318e-08
1849,1.0893239199560867e-08,1.256912263158938e-08
1850,3.1229383523623255e-08,2.0366988096043315e-08
1851,1.096404567135778e-08,3.289213879043018e-08
1852,1.2370036550635177e-08,7.487127207106425e-08
1853,1.0749477752369785e-08,5.85249322337944e-08
1854,7.79349651480743e-09,3.481095167678916e-08
1855,1.4859423913549108e-08,4.7231740296638236e-08
1856,7.248064815001953e-09,5.17718929948785e-08
1857,9.763017949637742e-09,3.1241657483249696e-08
1858,1.1255455234504552e-08,4.404308384664546e-08
1859,2.0877910955618972e-08,4.990329882659239e-08
1860,1.7393299245327398e-08,1.556242520961426e-08
1861,1.6977470096435354e-08,5.7534757680333115e-08
1862,1.626475132354699e-08,2.8011514940917692e-08
1863,2.097740825490746e-08,2.6471489888990618e-08
1864,9.109982990196386e-09,4.315254997777629e-08
1865,9.88437331983505e-09,1.2237795776748328e-08
1866,3.7465220259491616e-08,2.8707116683790446e-08
1867,1.94112459439566e-09,8.104195181601881e-08
1868,1.0373735648272486e-08,5.7302540601433805e-08
1869,1.0743741896135361e-08,6.104399008499684e-08
1870,2.2936195165357276e-09,3.899153178110737e-08
1871,7.434824311758348e-09,6.585129597169725e-08
1872,1.4513614310374123e-08,4.5355045608097555e-08
1873,1.7958012854535355e-09,4.489503185878263e-08
1874,1.4936523129449597e-08,6.990292433783907e-08
1875,8.58229043387837e-09,3.776207790906483e-08
1876,1.5115036333668286e-08,5.441413186701993e-08
1877,1.1132669008873108e-08,6.061119639522161e-08
1878,6.6429977074733415e-09,5.1332254003000344e-08
1879,3.665595160740054e-09,2.7491963261461194e-08
1880,1.4119262203848848e-08,3.52981546214437e-08
1881,0.0,4.6715802004548834e-08
1882,5.324308105514319e-09,3.660461800336634e-08
1883,6.319338941018771e-10,2.4013488364449387e-08
1884,4.621187876807653e-09,3.366865364284877e-08
1885,9.023890079618013e-09,5.349877718607843e-08
1886,1.7424351739236954e-08,6.647068007126222e-08
1887,1.7628096316002484e-08,5.941321545854805e-08
1888,8.876860135842435e-09,3.740962806197956e-08
1889,8.771191772893872e-09,2.8193115397812107e-08
1890,9.176140736144589e-09,3.2771933167197176e-08
1891,3.1871101313640793e-09,2.995883363610119e-08
1892,9.402768341715273e-09,3.0715710863660206e-08
1893,9.23762488724833e-09,3.1407925205062526e-08
1894,8.192000855444803e-09,2.3945849747519787e-08
1895,1.5046536461227333e-08,3.4306102403292016e-08
1896,7.076434549446731e-09,4.245860996121564e-08
1897,4.078699600285063e-09,5.010973636032645e-08
1898,6.224190496340043e-09,3.451596342074481e-08
