year,sommes_VERB en_PRON,sommes_VERB tant_ADV
1800,3.144164395507687e-08,2.829747991484055e-08
1801,2.3811825400343878e-08,1.6668277424969347e-08
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,1.1702034896643454e-08,7.801356893821776e-09
1804,6.179627121127851e-08,4.943701892301533e-09
1805,3.4114531644036106e-08,1.9900143755080535e-08
1806,4.610670600868616e-08,4.034336598124355e-08
1807,1.9928686256776018e-08,1.4234775136401367e-08
1808,1.8128591960930862e-08,0.0
1809,5.873479480555943e-08,1.3554183553310395e-08
1810,1.6380887757350138e-08,1.4040760554223652e-08
1811,6.016983888912364e-08,1.504245972228091e-08
1812,3.7340914360584065e-08,2.400487453257938e-08
1813,4.026038169513413e-08,7.764502640839055e-08
1814,5.664018942752591e-08,6.922689976818219e-08
1815,4.315557688983063e-08,3.236668177919455e-08
1816,2.3176038865813098e-08,4.4034472068688046e-08
1817,4.514932783195036e-08,1.71256075987003e-08
1818,2.741870730460505e-08,4.6492591110336434e-08
1819,2.898294049202832e-08,2.898294049202832e-08
1820,1.6613073583471305e-08,2.4919611263385377e-08
1821,8.678109963966563e-08,3.648750634965836e-08
1822,2.2056354964661296e-08,1.1028177482330648e-08
1823,7.313188632451784e-08,7.214361374963119e-08
1824,5.726356633317664e-08,1.7684335773537896e-08
1825,6.251864448358901e-08,2.8177417732422327e-08
1826,4.7563116112314674e-08,4.051672775062798e-08
1827,1.566936447261469e-08,2.8573547083965423e-08
1828,3.393751413227619e-08,2.384798314380987e-08
1829,2.4862210068476998e-08,2.914879893012312e-08
1830,2.0873670791843324e-08,3.757260813586072e-08
1831,4.8332740476553226e-08,1.4032085715598441e-08
1832,4.058990654698391e-08,1.0823975493678972e-08
1833,4.9809603552830595e-08,3.359252431778259e-08
1834,4.947301235347368e-08,2.0535967593104942e-08
1835,6.277362984974388e-08,3.554651328840919e-08
1836,6.51912728244497e-08,4.5029025841358816e-08
1837,8.766942727334026e-08,4.1051556820548285e-08
1838,8.647661786653771e-08,3.219202682203104e-08
1839,5.173691519644308e-08,2.866504900111977e-08
1840,3.885510224677091e-08,1.9746034141121527e-08
1841,5.714288064950779e-08,4.365973182984817e-08
1842,4.293289634915709e-08,3.4212153110502186e-08
1843,3.7804230856863796e-08,1.1223130869097986e-08
1844,5.3239045172404076e-08,2.25031016043431e-08
