year,êtes_VERB en_ADP,êtes_VERB tant_ADV,etes_VERB en_ADP
1800,6.225445758900605e-07,4.7162465932615305e-08,0.0
1801,9.477106459598872e-07,7.143547975374531e-09,0.0
1802,5.818384352096473e-07,8.951360541686881e-09,0.0
1803,6.007044817124552e-07,2.145373123596528e-08,0.0
1804,1.273003249480098e-06,4.943701892301533e-09,0.0
1805,7.192480779849575e-07,4.264316544322355e-08,0.0
1806,9.682407835498452e-07,8.645007376628655e-09,0.0
1807,5.067579991191451e-07,1.7081731584767113e-08,2.8469551160981155e-09
1808,4.826737836083339e-07,2.2660739951163578e-09,4.5321479902327155e-09
1809,5.602395845016872e-07,9.036122072814123e-09,0.0
1810,1.1724034720828058e-06,7.020380277111826e-09,2.3401267590372754e-09
1811,5.214719749346841e-07,0.0,2.5070767684098882e-09
1812,8.081640885393426e-07,3.7340914360584065e-08,0.0
1813,6.757992991879291e-07,1.7254450312975678e-08,2.8757416448144113e-09
1814,5.821352715429384e-07,3.1466771410748606e-09,0.0
1815,6.284531082201283e-07,1.3486118000116676e-08,0.0
1816,8.273846106021665e-07,8.806894413737609e-08,2.3176038865813098e-09
1817,7.364011480603949e-07,2.3353100786493997e-08,0.0
1818,8.642853686069429e-07,2.1458118837358597e-08,2.384235475716423e-09
1819,7.276788096532982e-07,8.280840013696888e-09,1.035105001712111e-09
1820,8.10480685231596e-07,1.898636980968149e-08,4.746592452420373e-09
1821,1.0709576372391894e-06,4.536284592404627e-08,0.0
1822,1.052689640346216e-06,3.8097340393505874e-08,1.0025615893027862e-09
1823,1.0090222986036679e-06,1.7788837070042973e-08,1.9765373782121287e-09
1824,7.705318125772465e-07,3.9579230559638745e-08,0.0
1825,9.421823961019982e-07,2.289415235168235e-08,8.805443041381977e-10
1826,7.856722277210793e-07,3.082794464148719e-08,1.7615968683770689e-09
1827,6.664088232355425e-07,3.2260455640198415e-08,0.0
1828,7.934040695545264e-07,3.485474309172787e-08,1.8344602503717056e-09
1829,7.244333914968593e-07,3.429270423183084e-09,8.57317605795771e-10
1830,8.161605364875868e-07,1.0436835395921662e-08,2.0873671680021744e-09
