year,des_DET issues_NOUN,des_DET tissus_NOUN
1800,1.8864987794131594e-08,4.370388673180514e-07
1801,1.1191558257905854e-07,5.04810707013803e-07
1802,2.6854081625060644e-08,2.439245747609675e-07
1803,2.5354410126965377e-08,3.939685331300069e-07
1804,6.921182915675672e-08,3.954961620422637e-07
1805,5.685755422035754e-09,4.4064605808635804e-07
1806,2.5935023018064385e-08,5.446354656157837e-07
1807,2.8469551160981155e-09,3.387876477134455e-07
1808,4.5321479902327155e-09,3.9203079449379175e-07
1809,1.8072244145628247e-08,5.534624767378205e-07
1810,3.510190182964834e-08,3.4633877277201464e-07
1811,3.5099073869560016e-08,4.788516605458426e-07
1812,5.067695596494559e-08,7.468183325087807e-07
1813,2.0130190847567064e-08,3.767221556927325e-07
1814,6.293354282149721e-09,3.9648131178182666e-07
1815,5.394447111228828e-09,3.830057355713734e-07
1816,2.3176038865813098e-08,8.157965538657663e-07
1817,9.341240669868967e-09,6.554437028682969e-07
1818,1.3113295338484932e-08,9.191227734461904e-07
1819,3.622867339458935e-08,9.067519997074669e-07
1820,1.0679833017945839e-08,7.867477229694941e-07
1821,5.029358973729359e-08,7.287639629538489e-07
1822,6.015369535816717e-09,6.657009095079047e-07
1823,6.917880934764753e-09,9.289725486638645e-07
1824,8.000056794799093e-08,9.953755029101785e-07
1825,2.4655239627691117e-08,8.646944813506252e-07
1826,2.290075862276808e-08,8.200233594379824e-07
1827,4.7929820112813104e-08,1.1088379494594847e-06
1828,1.467568222501825e-08,1.1951508191998528e-06
1829,1.8860987438529264e-08,1.1050823438552015e-06
1830,2.2961039292113128e-08,1.1480519486184448e-06
1831,1.5591206548037917e-08,1.0835888595295273e-06
1832,4.329590197471589e-08,1.1987553190095923e-06
1833,1.6217079235048004e-08,1.2707240646392393e-06
1834,4.480574844478724e-08,1.1248109395012307e-06
1835,3.403389570166837e-08,1.0898409570359036e-06
1836,2.352262562510532e-08,1.0054242309820438e-06
1837,2.0177884252348122e-08,1.5015128287387824e-06
1838,2.5248647617104325e-08,1.1147278078382783e-06
1839,2.586845759822154e-08,1.7562585679087306e-06
1840,3.121147429396842e-08,1.2357196039758378e-06
1841,1.0272877659645019e-08,1.4401290631127495e-06
1842,1.6770663080478698e-08,1.248408180387628e-06
1843,3.4260082770742883e-08,1.128810649397849e-06
1844,1.0977122322231025e-08,1.2535873565866495e-06
1845,1.785672942844485e-08,1.3783162646774372e-06
1846,2.5759806732139623e-08,1.4179601706132416e-06
1847,2.534815024546333e-08,1.1703295292875282e-06
1848,2.574470947536156e-08,1.4746891743300239e-06
1849,2.4300303991253713e-08,1.0801065926102638e-06
1850,1.968808760466345e-08,1.2213403799421485e-06
1851,2.5152811389261842e-08,1.8948451554479107e-06
1852,7.812654523320361e-09,1.306666471023732e-06
1853,5.971931837933653e-09,1.8650342923365315e-06
1854,2.2860923487577622e-08,1.3700967631535832e-06
1855,1.8574279891936385e-08,1.6929129351694883e-06
1856,9.836659486950339e-09,1.3305376391770096e-06
1857,1.5620829518780965e-08,1.154476926501502e-06
1858,2.300027807100591e-08,1.1906313561738102e-06
1859,1.476730293603623e-08,1.341278439426219e-06
1860,4.027921818305913e-08,1.3388263297997582e-06
1861,1.131831339762357e-08,1.61050158187237e-06
1862,3.7499287230957634e-08,1.2094649557425896e-06
1863,2.597202808374277e-08,1.0853310623559764e-06
1864,1.726102105692462e-08,1.2629313257406238e-06
1865,1.835669316552213e-08,1.1672973894150118e-06
1866,1.5083400306536987e-08,1.3112826415806467e-06
1867,2.135237053835226e-08,1.850376975198742e-06
1868,3.062721987134864e-08,1.8361512168496574e-06
1869,1.7580669364747337e-08,1.3219686714194268e-06
1870,1.2614907340946502e-08,1.7804222025574745e-06
1871,2.1242353653860846e-08,1.729127667715602e-06
1872,4.8378714367913744e-09,1.3104584724032975e-06
1873,1.0774807712721213e-08,1.6114324523641699e-06
1874,2.0313670745508716e-08,1.525915225286667e-06
1875,1.8881038954532414e-08,1.2953537087412315e-06
1876,2.539326260375674e-08,1.5586626211927523e-06
1877,5.566334504436554e-09,1.732366991191725e-06
1878,1.509772218355465e-08,1.6063975838420674e-06
1879,7.331190321480108e-09,1.2994535403265672e-06
1880,1.0268554007097919e-08,1.5075520707341639e-06
1881,9.761510710859511e-09,1.3819510389367906e-06
1882,9.983077475794744e-09,1.4302422641776502e-06
1883,1.0742875922176154e-08,1.3283250872575536e-06
1884,1.5844072720483382e-08,1.3771139872886806e-06
1885,7.7347630522695e-09,1.6758652545689756e-06
1886,1.613365974151293e-08,1.519790778559127e-06
1887,1.7628096316002484e-08,1.2620411826702593e-06
1888,1.8387781963724592e-08,1.099462566322984e-06
1889,1.628935564212952e-08,1.2780879128371225e-06
1890,9.831579994568074e-09,1.4078821752860904e-06
1891,1.0198752065093686e-08,1.5827188288852767e-06
1892,1.002961980134387e-08,1.3025969067825827e-06
1893,1.9091091374434654e-08,1.4878734200252097e-06
1894,1.449354058991048e-08,1.3037884389888177e-06
1895,7.824199066419624e-09,1.1260828132186873e-06
1896,2.94851448812139e-09,1.3339079192320469e-06
1897,6.992056267307589e-09,1.4252141591342138e-06
1898,1.4711722728932841e-08,1.1792011320732598e-06
1899,9.39688327150634e-09,1.3470708495333383e-06
1900,9.863001082521805e-09,1.6382963909933324e-06
1901,5.58873880507349e-09,1.4687205551755511e-06
1902,9.329539640834383e-09,1.7338212092710137e-06
1903,1.1880484596105134e-08,1.386776528278233e-06
1904,6.449550227216605e-09,1.5253186127495155e-06
1905,5.160758931310738e-09,1.3526349382786407e-06
1906,1.5432553013283723e-09,1.616817142391369e-06
1907,7.71426478252124e-09,1.455424626151114e-06
1908,1.4243028090277221e-08,1.2494574272992054e-06
1909,4.4007870125817306e-09,1.3664443372363166e-06
1910,1.2825961515083861e-08,1.4279570379471807e-06
1911,7.980560989828689e-09,1.3519070831691238e-06
1912,6.772247651554153e-09,1.340384098824643e-06
1913,7.954484182448596e-09,1.4238527903387421e-06
1914,6.696743604095445e-09,1.522839568224299e-06
1915,1.1780761921542648e-09,1.4290064225264132e-06
1916,3.2962386153911893e-09,1.5327509670370887e-06
1917,1.6449636319748606e-08,1.684442813232323e-06
1918,0.0,1.6264708291302554e-06
1919,3.6831393490643904e-09,1.3056729315508164e-06
1920,2.2716695191604686e-09,1.4334235185486932e-06
1921,1.2116395664563129e-08,1.4638120484633532e-06
1922,7.377935595798135e-09,1.5279704737025668e-06
1923,5.307974060286824e-09,1.1826166126382986e-06
1924,1.289162443462999e-09,1.3278372783531722e-06
1925,3.299453377181294e-09,1.3428775318402586e-06
1926,4.458455382660986e-09,1.344224353161394e-06
1927,7.804457524684949e-09,1.4304455593361354e-06
1928,9.14083297942625e-09,1.5082374211772276e-06
