year,suis_VERB en_PRON,suis_VERB tant_ADV
1800,2.829747991484055e-08,5.973912209356058e-08
1801,4.0480102825313224e-08,9.28661236798689e-08
1802,8.951360541686881e-09,3.1329761895904085e-08
1803,3.9006784247064274e-08,4.290746247193056e-08
1804,1.730295728918918e-08,4.943701981119375e-08
1805,1.9900143755080535e-08,4.8328921309348516e-08
1806,5.76333825108577e-09,6.916005901302924e-08
1807,5.124519120158766e-08,3.9857372513552036e-08
1808,6.798222074166915e-08,2.945896149242344e-08
1809,1.581321384946932e-08,8.584316191218022e-08
1810,4.212228077449254e-08,4.680253518074551e-09
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,4.000812481308458e-08,7.734903562095496e-08
1813,3.163315653864629e-08,2.8757416004054903e-08
1814,9.440030979135372e-09,1.8880061958270744e-08
1815,8.091670444798638e-09,1.0519171667056071e-07
1816,3.0128852301913867e-08,8.806894413737609e-08
1817,3.269434145636296e-08,9.029865566390072e-08
1818,3.814776761146277e-08,5.96058882251782e-08
1819,6.210630232317271e-09,6.210630232317271e-08
1820,4.9839222526770754e-08,5.102586797534059e-08
1821,9.861488337037372e-08,1.34116234562498e-07
1822,5.012807946513931e-08,7.318699601910339e-08
1823,6.917881023582595e-08,8.20263039713609e-08
1824,4.7158231097910175e-08,2.5515970492051565e-07
1825,2.201360693732113e-08,7.57268097117958e-08
1826,9.688783109140786e-09,6.253669226907732e-08
1827,3.502563927781921e-08,7.465990847776993e-08
1828,2.0179061976932644e-08,6.879226077671774e-08
1829,3.1720752247110795e-08,6.086955295359076e-08
1830,3.757260813586072e-08,7.931995327226105e-08
1831,7.639690835503643e-08,5.3010101197514814e-08
1832,2.841293600397421e-08,6.088486514954639e-08
1833,5.21263281427764e-08,6.602667923516492e-08
1834,2.42697808516823e-08,7.374279675786966e-08
1835,6.277362984974388e-08,1.3991711966809817e-07
1836,3.36037508930076e-08,8.064900214321824e-08
1837,4.453050195252217e-08,9.601889416899212e-08
1838,1.9567702125300457e-08,1.1614378081503673e-07
1839,2.3771015378315496e-08,8.669429263363782e-08
1840,3.121147429396842e-08,5.796416857606346e-08
1841,3.4028907691663335e-08,1.2841097429827641e-07
1842,1.9453969546390226e-08,1.1404050326291326e-07
1843,4.430183153658618e-08,4.016699506337318e-08
1844,3.677336124496833e-08,9.495210662180398e-08
1845,2.9575208060350633e-08,4.464182268293371e-08
1846,3.571245699163228e-08,5.093416177714971e-08
1847,2.8044762956369595e-08,7.766242049456196e-08
1848,7.24069959545659e-09,3.057184372323718e-08
1849,1.005529792763582e-08,1.6758828991214614e-08
1850,1.1541293254424545e-08,3.8018377779280854e-08
1851,1.7413483988093503e-08,5.159551008659946e-08
1852,2.148479971708639e-08,5.6641745516117226e-08
1853,2.3290533723852036e-08,5.4941772020811186e-08
1854,2.5978321716024766e-08,7.949366676029967e-08
1855,2.4411910715116392e-08,1.003011078637428e-07
1856,1.7602443946884705e-08,7.972871429728912e-08
1857,2.9289054737091647e-08,6.980557998303993e-08
1858,3.670256892851498e-08,1.0766087399360913e-07
1859,4.2265038802113963e-08,7.332729978770658e-08
1860,1.9681891672007623e-08,6.31651388971477e-08
1861,3.3483342876117206e-08,9.526246458335663e-08
1862,2.1686334561454856e-08,6.641440108978713e-08
1863,4.0955889346605545e-08,6.393114659886123e-08
