year,aux_ADP ailes_NOUN,aux_ADP tels_ADJ
1800,1.0155650898013846e-06,0.0
1801,5.738650088460417e-07,0.0
1802,6.646384917985415e-07,0.0
1803,1.7045964568751515e-06,1.950339223455444e-09
1804,8.280700711793543e-07,4.943701892301533e-09
1805,7.192480744322438e-07,0.0
1806,7.146539608982039e-07,0.0
1807,3.843389322355506e-07,0.0
1808,5.121327149026911e-07,2.2660739951163578e-09
1809,1.549694939484425e-06,0.0
1810,4.844062466702326e-07,2.3401267590372754e-09
1811,8.950263961082783e-07,0.0
1812,8.001624749454095e-07,2.6672082320544632e-09
1813,5.521424046861512e-07,2.8757416448144113e-09
1814,4.940283133691992e-07,3.1466771410748606e-09
1815,3.803085348863533e-07,0.0
1816,1.3627510337954618e-06,2.3176038865813098e-09
1817,1.782620030699178e-06,9.341240669868967e-09
1818,9.715759921036238e-07,4.768470951432846e-09
1819,6.29343835711893e-07,1.035105001712111e-09
1820,7.440283944504245e-07,1.1866481131050932e-09
1821,5.828139575392299e-07,9.86148829262845e-10
1822,6.456496350892849e-07,4.010246357211145e-09
1823,8.726412743520484e-07,0.0
1824,5.81056774251465e-07,8.421112696055388e-10
1825,9.210493430167332e-07,2.641632912414593e-09
1826,7.980033958077115e-07,0.0
1827,5.428974076404636e-07,1.566936447261469e-08
1828,7.007637954359325e-07,9.172301251858528e-10
1829,7.398650723189348e-07,1.714635211591542e-09
1830,6.71088552950394e-07,0.0
1831,8.107427404979717e-07,0.0
1832,1.148694348973578e-06,0.0
1833,8.988895814354692e-07,0.0
1834,1.3255034332360083e-06,9.334530925997342e-10
1835,9.332850510190838e-07,3.025235173481633e-09
1836,1.0786803619211582e-06,1.3441500135158435e-09
1837,8.913058202608681e-07,6.957890930081589e-10
1838,9.878533031582037e-07,0.0
1839,9.669210536689121e-07,0.0
1840,9.242418399502128e-07,2.547875410652267e-09
1841,1.0221512800612231e-06,1.2841097074556274e-09
1842,8.821368764344584e-07,1.341653010911159e-09
1843,8.358279046660755e-07,0.0
1844,8.123070762700024e-07,5.488561272137815e-10
1845,8.102491011463542e-07,1.1160455892778032e-09
1846,8.969095937061411e-07,0.0
1847,6.768495559583698e-07,0.0
1848,7.667096042496269e-07,1.6090443422100975e-09
1849,7.524714522588738e-07,8.379414939696517e-10
1850,1.1079642057154615e-06,6.788996032014438e-10
1851,8.132742395083881e-07,6.449438760824933e-10
1852,1.2532799686937324e-06,4.557381805270211e-09
1853,1.0701701667059638e-06,5.971931837933653e-10
1854,1.049524215090969e-06,0.0
1855,1.1240093016340325e-06,5.306937111981824e-10
1856,9.173979309551328e-07,0.0
1857,1.3243533629747617e-06,0.0
1858,9.694372007373886e-07,0.0
1859,1.0606997644657667e-06,0.0
1860,1.265133627192938e-06,1.373155145145688e-09
1861,1.0422279688171443e-06,1.4147891747029462e-09
1862,1.0788951039231165e-06,4.517986262886353e-10
1863,9.864376591117718e-07,9.989241656072068e-10
1864,1.0543606840940356e-06,1.9178911792039344e-09
1865,1.0053820034272576e-06,1.8827377989971694e-09
1866,1.016426519839797e-06,9.731225825149181e-10
1867,1.2685249561883438e-06,1.455843445796745e-09
1868,9.701912162540793e-07,4.93987406535723e-10
1869,1.2760635605957305e-06,2.4417595723136287e-09
1870,1.0040319584625479e-06,1.7202146374017957e-09
1871,1.4572255366829268e-06,1.0621177271019633e-09
1872,8.94401498641173e-07,4.233137507192453e-09
1873,1.0738892459727367e-06,2.3944017879529156e-09
1874,1.160269141209369e-06,5.974609140757536e-10
1875,1.1088319098462307e-06,2.2886108008712824e-09
1876,1.2382237954966513e-06,6.04601479992084e-10
1877,1.3829248892704982e-06,2.4739263970730008e-09
1878,1.1794340579740492e-06,1.2078177347163432e-09
1879,1.169935790912291e-06,6.10932526790009e-10
1880,1.0127361917966482e-06,6.417846254436199e-10
1881,1.2187943490005182e-06,6.972507571312292e-10
1882,9.630341977207024e-07,3.3276925659464496e-09
1883,1.2689232455898036e-06,6.319338941018771e-10
1884,1.24508009236024e-06,6.601696966868076e-10
1885,1.1569915621123528e-06,3.2228177904158883e-09
1886,1.3558727545159854e-06,1.2906927748801422e-09
1887,1.1458263173835803e-06,2.6115698492645834e-09
1888,1.2243727454119835e-06,1.268122939990235e-09
1889,1.1114352993502052e-06,2.5060546970934183e-09
1890,1.2505769717563453e-06,3.277193239004106e-09
1891,1.4431234234280055e-06,2.549687905251119e-09
1892,1.1095266465588338e-06,3.1342561879199593e-09
1893,9.896575656753726e-07,3.6950498771837204e-09
1894,1.2577871864039025e-06,4.411077725308132e-09
1895,1.135712562216895e-06,1.2037228991346183e-09
1896,1.078566633339051e-06,7.666137447071009e-09
1897,1.3092624939758934e-06,1.1653427112179315e-09
1898,1.1328026392476431e-06,1.13167097914868e-09
1899,1.0513454231642072e-06,2.7637891975018647e-09
1900,1.0740289475563713e-06,1.5573159428683425e-09
1901,1.0657724880402952e-06,1.1177477832191585e-09
1902,1.5948601408410923e-06,2.946170252204894e-09
1903,1.1178455689986322e-06,1.6200660812870638e-09
1904,1.1157722035193274e-06,2.6873125946735854e-09
1905,9.738352204635703e-07,1.5482277126999122e-09
1906,1.1898498719631334e-06,1.0288369045596824e-09
1907,1.202396827437724e-06,1.5428529565042481e-09
1908,1.1600700560165933e-06,9.822778146428846e-10
1909,1.246522870701483e-06,5.500983557560346e-10
1910,1.3563454785980866e-06,2.137660271017694e-09
1911,1.4545903219698175e-06,2.6601871816467337e-09
1912,1.423734850902747e-06,1.0418842455450772e-09
1913,1.3596865429121863e-06,2.121195885607108e-09
