year,leurs_DET erreurs_NOUN,leurs_DET terreurs_NOUN
1800,1.8016062739434346e-06,1.226224086714467e-07
1801,1.7573127060188654e-06,8.096020565062645e-08
1802,1.4590717682949617e-06,5.147032311469957e-08
1803,1.5485693154460023e-06,8.191424427650418e-08
1804,2.152982244041368e-06,1.3100809326260787e-07
1805,1.8080702322009756e-06,5.970043259750923e-08
1806,1.339976165581902e-06,5.76333825108577e-08
1807,1.4918044612954873e-06,5.693910054560547e-08
1808,1.4774802750139315e-06,6.345007141916881e-08
1809,1.5135504440877412e-06,2.25903047379461e-08
1810,1.5795855770051048e-06,6.084329839950442e-08
1811,1.3688639057818364e-06,6.769107585569145e-08
1812,1.5256431566967876e-06,9.335229123053068e-08
1813,1.0640244489934503e-06,5.463909147351842e-08
1814,1.9666732589129765e-06,6.922689976818219e-08
1815,1.9500925265703017e-06,9.170560133497929e-08
1816,2.3662736410301477e-06,9.038654980031424e-08
1817,2.246568240771296e-06,8.251429051142622e-08
1818,2.1613095402273075e-06,1.263644833215949e-07
1819,2.5463583810392265e-06,1.3766896300726472e-07
1820,2.1751260197433453e-06,1.8274380320093542e-07
1821,2.2681422731096745e-06,1.3904698370481583e-07
1822,1.941961798479497e-06,8.120748873352568e-08
1823,2.135648680123836e-06,9.190898708766326e-08
1824,2.0227513459758484e-06,8.5053237341981e-08
1825,1.6985700170835116e-06,8.717388766399381e-08
1826,1.6638282200887033e-06,6.517908701653141e-08
1827,1.9476097747883614e-06,7.005127855563842e-08
1828,1.9390245142858475e-06,8.163348041989593e-08
1829,1.7197791688516872e-06,9.944883849755115e-08
1830,1.5717874717324776e-06,1.325478167224503e-07
1831,1.4998740738292327e-06,9.354723573551382e-08
1832,1.2434041529729711e-06,1.2312271735481772e-07
1833,1.3877186599842162e-06,7.645194699534841e-08
1834,1.4785897555213978e-06,9.054494665150514e-08
1835,1.6124503545711377e-06,1.104210838320796e-07
1836,2.024962078905901e-06,8.333729795140243e-08
1837,1.2440708463401506e-06,7.931995638088551e-08
1838,1.553423093270112e-06,6.501526428337456e-08
1839,1.2325971283644321e-06,8.110110849557373e-08
1840,1.6733172500948967e-06,7.707323579353442e-08
1841,1.9788130245501634e-06,7.897274656443187e-08
1842,1.8387354749904716e-06,7.848670202648123e-08
1843,2.3680806968684465e-06,6.320394874137492e-08
1844,1.9264849839828457e-06,1.311766175682294e-07
1845,1.7683742008500758e-06,1.0435026354116417e-07
1846,1.8383133948418617e-06,9.542836920672926e-08
1847,2.182637627967665e-06,9.11454804963796e-08
1848,1.7047824574234482e-06,5.390298696283935e-08
1849,1.566112695527977e-06,7.709061833338637e-08
1850,1.9443685452813497e-06,1.2559642481591027e-07
1851,1.9341867023570103e-06,7.932809387156681e-08
1852,2.0045969968407462e-06,7.356916231771038e-08
1853,1.6631830099811395e-06,8.420423780464148e-08
1854,1.904730570601032e-06,6.962190024495385e-08
1855,1.8940458517135994e-06,6.899018245576372e-08
1856,1.791825186003848e-06,1.346069211649592e-07
1857,1.6406752472164499e-06,6.394776713714023e-08
1858,1.5630401151156548e-06,1.0570339936677442e-07
1859,1.6967121752031744e-06,1.0184346765917951e-07
1860,1.4843807569775436e-06,9.154368152408665e-08
1861,1.6802978226593268e-06,9.148969992711642e-08
1862,1.3445527509148292e-06,7.996835926782353e-08
1863,1.9439063976278703e-06,5.843706346597699e-08
1864,1.5755475555323528e-06,9.109982812560702e-08
1865,1.4892455055814935e-06,6.213034708935083e-08
1866,1.2913336249198437e-06,7.736324231233382e-08
1867,1.2709513477204837e-06,6.45423927636557e-08
1868,1.4207077860817208e-06,8.051994893065739e-08
1869,1.544168746647756e-06,9.71820343087515e-08
1870,1.418030214139776e-06,8.486392033546508e-08
1871,1.0164466637263558e-06,7.222400855155797e-08
1872,1.270545963105718e-06,9.494322927849908e-08
1873,1.0756850539195284e-06,6.58460503899505e-08
1874,9.075431108840348e-07,7.647499611351805e-08
1875,9.732317547417324e-07,7.037478394478214e-08
1876,1.1620440272253063e-06,7.194757567496879e-08
1877,9.54935569730253e-07,6.122967688426684e-08
1878,9.584034010856612e-07,6.76377922559368e-08
1879,1.1821544578793919e-06,6.781351102880251e-08
1880,9.177519890712915e-07,5.455169227452927e-08
1881,8.82022180626052e-07,4.6018548971460405e-08
1882,1.130749950561949e-06,6.522277429255041e-08
1883,7.671677382248276e-07,4.3603439081607576e-08
1884,7.823010665930497e-07,6.93178181521148e-08
1885,9.197922268278091e-07,5.02759576193057e-08
1886,9.196186203652701e-07,5.420909587883216e-08
1887,7.978345655246244e-07,5.2884288170851335e-08
1888,7.177575636063693e-07,5.262710156550554e-08
1889,7.129725414500854e-07,6.202485192119411e-08
1890,7.48510942116809e-07,7.799719980994269e-08
1891,6.119251079184096e-07,1.8485238229004608e-08
1892,7.56609416896481e-07,3.7611075809351746e-08
1893,6.201525488691573e-07,5.8504955657845414e-08
1894,6.723742638214958e-07,4.159015887239548e-08
1895,7.914478192816432e-07,5.537125202792481e-08
1896,6.37468811959252e-07,4.186890556479028e-08
1897,5.453804092780956e-07,4.486569271655583e-08
1898,5.833763712104201e-07,5.714938344780762e-08
1899,6.859724503982534e-07,3.8693048765026106e-08
1900,6.737986808502683e-07,3.4780054392058446e-08
1901,6.572356934242407e-07,3.1855812210324075e-08
1902,5.681198622653483e-07,3.780918689244572e-08
1903,6.285856226639908e-07,3.132127801563911e-08
1904,6.121698046257507e-07,3.7622375437251776e-08
1905,6.574807223103107e-07,3.457708591669828e-08
1906,6.317058569571543e-07,4.526882224631379e-08
1907,6.84512438731133e-07,2.9314207949937554e-08
1908,6.674577610610299e-07,2.9959473124563374e-08
1909,6.986249108109632e-07,2.640472107628966e-08
1910,7.32148618176609e-07,3.6874638453809894e-08
1911,6.639826697352191e-07,3.1390208543591314e-08
1912,6.918111372655744e-07,2.5005221004903433e-08
1913,6.36358747918564e-07,2.1742257771961704e-08
1914,6.616382597357529e-07,4.151981070066313e-08
1915,6.373392107406062e-07,3.416420923940677e-08
1916,6.900126425790631e-07,2.7468654906215306e-08
1917,6.316660714489331e-07,2.7416060532914344e-08
1918,6.145211592922806e-07,2.6418664589300533e-08
1919,7.007172868611633e-07,4.051453217357448e-08
1920,7.988704453509854e-07,3.331781917026433e-08
1921,5.649269798624346e-07,3.256281289054641e-08
1922,6.846724218689815e-07,3.9103056792555435e-08
1923,5.764460024870743e-07,3.3971033985835675e-08
1924,5.86568936533638e-07,4.769901007506405e-08
1925,6.477926604020467e-07,3.849362206764795e-08
1926,6.74341402273626e-07,4.458455293843144e-08
