year,plusieurs_DET tissus_NOUN
1800,2.5153315874604232e-08
1801,2.8574191901498125e-08
1802,6.713520406265161e-08
1803,3.315576790896557e-08
1804,2.4718509905596875e-08
1805,3.980028751016107e-08
1806,2.305335300434308e-08
1807,1.9928686256776018e-08
1808,9.064295980465431e-09
1809,2.9367397402779716e-08
1810,0.0
1811,2.5070768572277302e-08
1812,6.13457871168066e-08
1813,4.026038169513413e-08
1814,1.0384034254684593e-07
1815,3.2366683333506785e-08
1816,5.3304889391370125e-08
1817,3.7364962679475866e-08
1818,1.3113294983213564e-07
1819,1.1800197086131448e-07
1820,5.577246042776096e-08
1821,8.382265237472097e-08
1822,6.717162648328667e-08
1823,5.435477845594505e-08
1824,4.463189551273672e-08
1825,4.931048103173907e-08
1826,4.227832561820577e-08
1827,4.147772969531616e-08
1828,7.521286704559316e-08
1829,1.3459886877287275e-07
1830,7.618890407457002e-08
1831,7.016043013230444e-08
1832,2.841293600397421e-08
1833,5.212632991913324e-08
1834,4.480574977705487e-08
1835,2.193295500774184e-08
1836,3.427582589976552e-08
1837,8.419048214136637e-08
1838,3.471689113965226e-08
1839,3.076249033284739e-08
1840,3.9492068282243054e-08
1841,3.2102742686390684e-08
1842,5.0982812638267205e-08
1843,5.0208743829216473e-08
1844,3.348022398208528e-08
1845,3.6829504446167505e-08
1846,3.5127008857216424e-08
1847,2.480882876909618e-08
1848,3.298540818263973e-08
1849,3.77073661184113e-08
1850,4.073397619208663e-08
1851,2.4507867735223954e-08
1852,1.9531636752390114e-08
1853,1.0092564894925715e-07
1854,1.7145692421394187e-08
1855,4.617035287424187e-08
1856,2.277963306873687e-08
1857,3.4658715009072694e-08
1858,1.3702292633865909e-08
1859,2.0877910733574367e-08
1860,1.5562426014525954e-08
1861,3.819930682880113e-08
1862,2.1686334505943705e-08
1863,2.2475793670651e-08
1864,2.0137857603685916e-08
1865,2.7299698113214532e-08
1866,3.308616669528419e-08
1867,5.289564697363858e-08
1868,4.001298092859429e-08
1869,3.711474394485492e-08
1870,4.013834242755365e-08
1871,3.611200316555596e-08
1872,4.0517173505172366e-08
1873,5.686704174223678e-08
1874,3.2262889693157604e-08
1875,4.005068987567029e-08
1876,6.046014666694077e-08
1877,2.2265338017746217e-08
1878,4.589707236490881e-08
1879,2.932476128592043e-08
1880,1.9895322722618403e-08
1881,4.462404845639867e-08
1882,2.861815673327328e-08
1883,1.516641390253426e-08
1884,3.366865364284877e-08
1885,3.158361577826341e-08
1886,3.226731948302586e-08
1887,2.546280519766242e-08
1888,1.8387781963724592e-08
1889,1.1277245803853475e-08
1890,1.966315876789082e-08
1891,1.529812809764053e-08
1892,1.56712811616444e-08
1893,2.0322774685332945e-08
1894,3.591877506536889e-08
1895,1.5648398132839247e-08
1896,2.0049897742069334e-08
1897,3.146425320288415e-08
1898,1.9238406423482957e-08
1899,1.6582735185011188e-08
1900,2.906989760020906e-08
1901,3.912117296778206e-08
1902,3.1916845000257155e-08
1903,1.5120616980723867e-08
1904,2.9022976022474722e-08
1905,2.631987072732045e-08
1906,1.4403716441790948e-08
1907,4.011417997773492e-08
1908,1.5716445034286153e-08
1909,1.1552065082298668e-08
1910,2.9392829170582502e-08
1911,1.702519769608557e-08
1912,2.1879568379290504e-08
1913,1.590896836489719e-08
1914,2.9465671680384276e-08
1915,7.068456930880984e-09
1916,9.888715624128963e-09
1917,1.644963654179321e-08
1918,1.033773866510046e-08
1919,2.8544329566670967e-08
1920,1.9687802499390727e-08
1921,1.5145495524393482e-08
1922,8.115729144275718e-09
