year,les_DET tissus_NOUN,les_DET issues_NOUN
1800,8.646452158700413e-07,0.0
1801,1.466808441819012e-06,0.0
1802,5.549843535845866e-07,2.2378401354217203e-09
1803,5.968038152559529e-07,0.0
1804,7.440271119207864e-07,0.0
1805,1.0916650197145827e-06,0.0
1806,1.259289454935697e-06,0.0
1807,8.170761205406052e-07,0.0
1808,7.52336575260415e-07,0.0
1809,7.454800723394328e-07,0.0
1810,8.21384469773534e-07,0.0
1811,1.5694300259383454e-06,0.0
1812,5.137043018521581e-06,0.0
1813,2.3954928352054594e-06,0.0
1814,4.131587026279249e-06,3.1466771410748606e-09
1815,5.753177980238888e-06,0.0
1816,3.6247325425620147e-06,0.0
1817,2.545488058558476e-06,0.0
1818,4.484747108790543e-06,0.0
1819,3.846450169930904e-06,0.0
1820,3.797274075623136e-06,0.0
1821,5.741358435784605e-06,3.94459531705138e-09
1822,3.857856881950283e-06,1.0025615893027862e-09
1823,3.675371374356473e-06,0.0
1824,4.19876676005515e-06,0.0
1825,3.730866254159082e-06,5.283265824829186e-09
1826,3.930122502993072e-06,0.0
1827,3.96158404214475e-06,0.0
1828,5.938148021300549e-06,0.0
1829,5.422533774890326e-06,0.0
1830,5.186063759765602e-06,0.0
1831,4.608760647784038e-06,0.0
1832,5.2496282307856745e-06,0.0
1833,6.25979279789135e-06,0.0
1834,5.2964128087751305e-06,0.0
1835,5.4499611792380165e-06,0.0
1836,5.3423240728989185e-06,1.3441500135158435e-09
1837,9.189982733914803e-06,6.957890930081589e-10
1838,5.699881995724354e-06,6.312161904276081e-10
1839,9.775480918960966e-06,6.9914751765765e-10
1840,7.095833325365675e-06,0.0
1841,7.643020921932475e-06,1.2841097074556274e-09
1842,7.102710839035353e-06,0.0
1843,7.520088388446311e-06,0.0
1844,7.634588655491825e-06,5.488561272137815e-10
1845,9.107490058113399e-06,0.0
1846,8.802828006082564e-06,0.0
1847,6.178477121920878e-06,0.0
1848,7.626870228705229e-06,8.045221711050488e-10
1849,7.37723689780978e-06,0.0
1850,7.336868037555178e-06,6.788996032014438e-10
1851,9.138854352386261e-06,0.0
1852,8.286622573905333e-06,1.3021090872200602e-09
1853,1.088324859210843e-05,5.971931837933653e-10
1854,7.055192952520883e-06,0.0
1855,9.326411259280576e-06,1.0613874223963649e-09
1856,8.088322715593677e-06,5.177189232874468e-10
1857,7.596116489594351e-06,0.0
1858,8.056948217927129e-06,1.9574704079872163e-09
1859,9.747437900387013e-06,2.036869339860914e-09
1860,8.592747178681748e-06,1.830873536112776e-09
1861,9.472013175582106e-06,9.431927461278633e-10
1862,6.63466261130452e-06,0.0
1863,6.349161850494056e-06,3.4962345241140724e-09
1864,7.661495743604974e-06,9.589455896019672e-10
1865,7.908439783932408e-06,0.0
1866,8.851036795931577e-06,0.0
1867,1.0365119806010625e-05,0.0
1868,1.106630594449598e-05,9.87974813071446e-10
1869,1.0140627637156285e-05,0.0
1870,1.0630926624344283e-05,5.734048791339319e-10
1871,1.124888927961365e-05,0.0
1872,9.973877098445882e-06,0.0
1873,1.2432333051037858e-05,1.1972008939764578e-09
1874,1.1915162588138628e-05,0.0
1875,1.0397731557532097e-05,5.149374260327022e-09
1876,1.1032767872620752e-05,1.209202959984168e-09
1877,1.1402945347072091e-05,6.184815992682502e-10
1878,1.0532170392707485e-05,1.8117266020745149e-09
1879,8.940386635458708e-06,0.0
1880,9.756410065620003e-06,0.0
1881,1.0614248708407104e-05,0.0
1882,1.1565062436602602e-05,0.0
1883,1.0644926419445255e-05,6.319338941018771e-10
1884,9.750046444878535e-06,6.601696966868076e-10
1885,1.0938888294731441e-05,0.0
1886,1.0637889658937638e-05,6.453463874400711e-10
1887,1.0131585042927327e-05,6.528924623161458e-10
1888,9.748060961101146e-06,0.0
1889,9.459729710670217e-06,0.0
1890,9.732608475587767e-06,0.0
1891,1.1746412269530992e-05,0.0
1892,1.0760528539321967e-05,1.2537024751679837e-09
1893,1.0802478811910987e-05,1.2316833108982905e-09
1894,9.815907446864003e-06,0.0
1895,9.889787293104746e-06,6.018614495673091e-10
1896,1.122676400200362e-05,1.179405795248556e-09
1897,1.08079709661979e-05,5.826713556089658e-10
1898,1.0039619155577384e-05,0.0
1899,1.0020394540788402e-05,0.0
1900,1.1401110214137589e-05,0.0
1901,1.1215480981263681e-05,1.1177477832191585e-09
1902,1.04260055877603e-05,4.910283846193408e-10
1903,1.1012669347110204e-05,5.400220270956879e-10
1904,1.1372169637979823e-05,5.374625189347171e-10
1905,1.1020800684491405e-05,0.0
1906,1.1502910695071478e-05,0.0
1907,9.753402252954402e-06,0.0
1908,8.912206681088719e-06,2.9468334439286537e-09
1909,9.868764834664034e-06,0.0
1910,9.538774406792072e-06,5.344150677544235e-10
1911,9.123909762820404e-06,5.320374141248863e-10
1912,8.946138734700071e-06,1.0418842455450772e-09
1913,1.0226285780845501e-05,5.30298971401777e-10
1914,9.96743290215818e-06,6.696743715117748e-10
1915,9.643732113318038e-06,0.0
