year,mais_CONJ elles_PRON,mais_CONJ tel_ADJ
1800,2.2402171111934877e-05,9.62114313551865e-07
1801,1.803031500458019e-05,1.3120315998094156e-06
1802,2.0223361843818566e-05,9.980767003980873e-07
1803,2.5409019940525468e-05,1.0570838924195414e-06
1804,2.0733885605750402e-05,1.1667136163850955e-06
1805,1.896767957987322e-05,1.0547076385591936e-06
1806,1.8759665465495345e-05,1.02875586094342e-06
1807,1.9276733723927464e-05,7.943004618482519e-07
1808,1.9275224588000128e-05,9.653474819515395e-07
1809,2.0778562657142174e-05,8.155100204021437e-07
1810,1.8447218621986394e-05,8.213845035243139e-07
1811,1.7479338850989734e-05,8.975334537808521e-07
1812,1.7318182187864295e-05,1.1735716043403954e-06
1813,1.883610798358859e-05,1.1876812777700252e-06
1814,1.733819146920723e-05,1.0195233528520475e-06
1815,1.7793583651837253e-05,7.39039251129725e-07
1816,2.109483045842353e-05,8.088437652986613e-07
1817,1.935504934635901e-05,1.0898113771418139e-06
1818,1.800932238893438e-05,8.988567685719318e-07
1819,1.6631032110581145e-05,9.916305714341433e-07
1820,1.5855992216984305e-05,1.0122108164978272e-06
1821,1.572019857576379e-05,1.106458995536741e-06
1822,1.548356112834881e-05,8.952874850365333e-07
1823,1.5179806666765217e-05,1.0198932898219937e-06
1824,1.4203890884800785e-05,1.2193771112833929e-06
1825,1.592552439433348e-05,1.0196702930898027e-06
1826,1.533822364763182e-05,1.1203755718725006e-06
1827,1.4866539913782617e-05,9.687354065590625e-07
1828,1.6840344471802382e-05,1.2520191035036987e-06
1829,1.5910100501059787e-05,1.1513775461935438e-06
1830,1.5775277063312387e-05,1.0374214696184936e-06
1831,1.4796054415455728e-05,9.666547953202098e-07
1832,1.5516168843987543e-05,8.564470590499695e-07
1833,1.6938739690885996e-05,9.463824142130761e-07
1834,1.546078362935077e-05,9.129171019139903e-07
1835,1.54097913878104e-05,8.742929367144825e-07
1836,1.5112278617834818e-05,9.106616118970123e-07
1837,1.6155526395777997e-05,9.010468886572198e-07
1838,1.4801388829255302e-05,7.814456637333933e-07
1839,1.530713581132659e-05,7.872401113218075e-07
1840,1.4773218708796776e-05,8.204158916669257e-07
1841,1.5253297021899925e-05,8.770469150931604e-07
1842,1.4625359824549378e-05,8.57987089375456e-07
1843,1.5098655694600893e-05,8.754042255532113e-07
1844,1.4923398168775748e-05,9.116500052641641e-07
1845,1.490590477715159e-05,6.819038560479385e-07
1846,1.5467592106688244e-05,9.127167572842154e-07
1847,1.4210605002062948e-05,8.909605639928486e-07
