year,plus_ADV eu_VERB,plus_ADV tu_VERB
1800,6.382653623404622e-07,1.2576657937302116e-08
1801,8.857999205247324e-07,7.381665767525192e-08
1802,9.689847502158955e-07,2.9091921760482364e-08
1803,7.547812970187806e-07,4.8758479032073865e-08
1804,7.909923169791e-07,1.2359254508709228e-08
1805,9.324638767793658e-07,3.695740957709859e-08
1806,6.656655955339374e-07,2.0171683878800195e-08
1807,8.512395766047121e-07,1.1387820908481672e-08
1808,9.562832019582856e-07,1.3596443970698147e-08
1809,1.070780513146019e-06,1.5813214071513926e-08
1810,9.313704367741593e-07,1.4040760554223652e-08
1811,1.0153661378353718e-06,3.259199843341776e-08
1812,9.735309731695452e-07,1.0668832928217853e-08
1813,1.1502966117404867e-06,8.627224934443234e-09
1814,7.898159424257756e-07,1.8880061958270744e-08
1815,1.1652006151052774e-06,8.091670444798638e-09
1816,9.502176112619054e-07,6.952811659743929e-09
1817,9.590339686837979e-07,6.538868291272593e-08
1818,1.0097237463924102e-06,2.1458118615313992e-08
1819,9.057168881554389e-07,2.6912730710648702e-08
1820,9.88477836472157e-07,3.203949905383752e-08
1821,9.930519127010484e-07,3.9445953170513803e-08
1822,8.712260068932665e-07,2.0051231786055723e-08
1823,1.0485530310688773e-06,1.7788836736976066e-08
1824,8.783220550867554e-07,7.915845756656381e-08
1825,9.589127785147866e-07,2.0252519883356968e-08
1826,8.78156015460263e-07,7.0463872514636705e-09
1827,9.632050250729662e-07,1.843454577876713e-08
1828,1.0337183766750968e-06,1.9261833017480967e-08
1829,1.0176360092373216e-06,6.001223296081548e-09
1830,9.372278668706713e-07,3.1310506187764986e-08
1831,9.167629286821466e-07,1.2472964883158966e-08
1832,9.268028975384368e-07,4.058990810129615e-09
1833,9.417490218766034e-07,2.89590715851773e-08
1834,9.297193059865094e-07,2.0535968481283362e-08
1835,9.408481673744973e-07,2.571449897459388e-08
1836,1.0034079878096236e-06,2.62109253190701e-08
1837,1.0235057743557263e-06,1.8090517084345947e-08
1838,8.319429412040336e-07,4.41851346622002e-08
1839,1.0095690186062711e-06,1.8876983531868063e-08
1840,1.0573683084658114e-06,1.082847034261647e-08
1841,1.1409314311094931e-06,3.659712621839617e-08
1842,1.0236811931463308e-06,1.7441489585934278e-08
1843,9.557381872582482e-07,2.658110043185502e-08
1844,8.6938808863124e-07,4.555505705994278e-08
1845,8.911624149732233e-07,1.785672898435564e-08
1846,8.816879244477605e-07,2.6345256642912318e-08
1847,9.448928040001192e-07,9.707802561820245e-09
1848,1.034615479511558e-06,1.7699488319422585e-08
