year,leurs_DET huiles_NOUN,leurs_DET tuiles_NOUN
1800,2.483889822713081e-07,3.144164484325529e-09
1801,1.1191558257905854e-07,1.4287095950749062e-08
1802,8.056224487518193e-08,1.3427040812530322e-08
1803,1.4042441875972145e-07,1.950339223455444e-09
1804,1.6808586167371686e-07,2.4718509461507665e-09
1805,6.538618801954499e-08,1.7057265822018053e-08
1806,6.62783872229511e-08,1.4408345627714425e-08
1807,1.395007984683616e-07,0.0
1808,7.251436962008029e-08,0.0
1809,4.292158006791169e-08,0.0
1810,1.0764583180389309e-07,0.0
1811,6.769107585569145e-08,2.0056614147279106e-08
1812,9.868670147739067e-08,0.0
1813,5.7514832008109806e-08,0.0
1814,1.0384034254684593e-07,0.0
1815,7.282503844407984e-08,2.4275012222574333e-08
1816,1.622322720606917e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,1.096748292184202e-07,0.0
1819,4.5544620519422097e-08,7.24573512300708e-09
1820,9.967844505354151e-08,0.0
1821,2.3667571014129862e-08,6.903041693817613e-09
1822,3.208197085768916e-08,1.0025615893027862e-09
1823,1.680056804787e-08,0.0
1824,2.863178316658832e-08,8.421112696055388e-10
1825,5.107157008410468e-08,0.0
1826,2.906634755106552e-08,0.0
1827,3.7790819362726324e-08,0.0
1828,5.595103758082587e-08,9.172301251858528e-10
1829,6.858540757548326e-08,1.714635211591542e-09
1830,3.026682549034376e-08,0.0
1831,2.8064171431196883e-08,0.0
1832,3.3824925083081325e-08,4.058990921151917e-09
1833,6.139323005527331e-08,2.3167257001688313e-09
1834,6.534171603789218e-08,9.334530925997342e-10
1835,4.0840674842002045e-08,3.025235173481633e-09
1836,6.317505096831155e-08,1.008112526790228e-08
1837,4.453050195252217e-08,1.1828414692161004e-08
1838,4.3553917805638775e-08,1.8936485712828244e-09
1839,3.8453112694014635e-08,6.292327547896548e-09
1840,4.267691267045848e-08,4.458782232319436e-09
1841,2.3756030032018316e-08,1.3483152372373297e-08
1842,4.159124245006751e-08,4.695785538189057e-09
1843,3.839492279666956e-08,2.953455480181333e-09
1844,4.9397051782307244e-08,2.195424508855126e-09
1845,2.5669049108500985e-08,1.3950569588416784e-08
1846,3.2785209214125643e-08,1.4636253098387897e-08
1847,2.3190860787281053e-08,1.0247124926365814e-08
1848,3.700802153616678e-08,8.045221711050488e-10
1849,1.005529792763582e-08,3.3517659758786067e-09
1850,4.277067588986938e-08,6.788996032014438e-09
1851,3.1602251482354404e-08,9.029214709244116e-09
1852,1.9531636752390114e-08,5.859490670445666e-09
1853,3.4637203327747557e-08,1.1943863675867306e-09
1854,1.8704392701351935e-08,7.27393034694046e-09
1855,4.776243400783642e-08,1.1144567935161831e-08
1856,2.5368226408417627e-08,8.801221973442352e-09
1857,2.3431244500216053e-08,6.345961978126979e-09
1858,3.229826184281137e-08,1.0766087576996597e-08
1859,3.6154432336843456e-08,6.619825576592575e-09
