year,quelques_DET huiles_NOUN,quelques_DET tuiles_NOUN
1800,1.6349655140857067e-07,1.5720821977538435e-08
1801,1.1191558257905854e-07,0.0
1802,4.699464284385613e-08,0.0
1803,9.751695984050457e-08,1.1702034896643454e-08
1804,8.15710812229753e-08,2.4718509461507665e-09
1805,5.401467717547348e-08,2.2743021688143017e-08
1806,1.4408345627714425e-08,1.152667650217154e-08
1807,1.3380689267705748e-07,0.0
1808,9.064295980465431e-09,2.7192887941396293e-08
1809,4.969867006821005e-08,2.710836710662079e-08
1810,9.828532654410083e-08,4.680253518074551e-09
1811,5.766276700569506e-08,1.7549536934780008e-08
1812,9.868670147739067e-08,2.6672083208723052e-08
1813,3.163315653864629e-08,0.0
1814,7.237357380063258e-08,3.1466771410748606e-09
1815,8.091670444798638e-09,1.8880564667256294e-08
1816,7.184571870766376e-08,0.0
1817,8.251429051142622e-08,1.556873407970727e-09
1818,2.0266001987678806e-08,1.3113295338484932e-08
1819,1.5526575580793178e-08,9.315945348475907e-09
1820,2.254631326081835e-08,7.119888678630559e-09
1821,3.74736548458543e-08,1.0847637454958203e-08
1822,1.0025615893027862e-08,1.0025615893027862e-08
1823,3.360113542960619e-08,3.4589405117912975e-08
1824,3.789500624407083e-08,2.5263338088166165e-09
1825,3.78634048558979e-08,1.937197424695114e-08
1826,1.2331178300684087e-08,6.1655889282974385e-09
1827,4.055600300034712e-08,1.3825909306319772e-08
1828,7.704733206992387e-08,3.668920500743411e-09
1829,4.4580517055692326e-08,3.429270423183084e-09
1830,5.844628114815009e-08,5.9489963177838945e-08
1831,1.5903030003983076e-07,2.0268567268999504e-08
1832,6.900284277300273e-08,3.3824925083081325e-08
1833,4.054269864273152e-08,0.0
1834,4.107193762870054e-08,1.6802155666795215e-08
1835,2.193295500774184e-08,1.9664028627630614e-08
1836,3.024337491552842e-08,2.083432448785061e-08
1837,2.991893044423932e-08,1.7394727436226276e-08
1838,2.9667161172142187e-08,3.029837714052519e-08
1839,5.103776956616457e-08,2.37710154893378e-08
1840,2.6752692505738196e-08,1.4013315119409953e-08
1841,2.8892468861840825e-08,1.9903700465562224e-08
1842,2.0124796051845806e-08,1.408735705865638e-08
1843,6.202256486176339e-08,1.0041748765843295e-08
1844,1.6465684149480353e-08,1.2074834465636286e-08
1845,3.4039389529283426e-08,2.5669049108500985e-08
1846,2.2832555846008518e-08,2.8101606375230404e-08
1847,2.0494250740910047e-08,9.168480197274675e-09
1848,3.700802109207757e-08,1.126331028444838e-08
1849,2.011059496709322e-08,1.005529792763582e-08
1850,3.530277936647508e-08,2.851378333446064e-08
1851,6.062472213130832e-08,2.5152811611306447e-08
1852,5.989701667985514e-08,1.9531636752390114e-08
1853,3.583158991737889e-08,2.0901760988678575e-08
1854,2.7017454606870217e-08,1.8704392368285028e-08
1855,3.3964397516683675e-08,2.812676669350367e-08
1856,4.7630142496757344e-08,1.7602443058706285e-08
1857,2.245494234998091e-08,1.5620829518780965e-08
1858,2.8383321248881543e-08,1.7127866180910445e-08
1859,2.3423996742266695e-08,2.851617053600819e-08
1860,1.6020144405493042e-08,3.478659688083141e-08
1861,4.951761933824628e-08,1.792066162131789e-08
1862,2.710791813242963e-09,1.0391368682194368e-08
1863,9.989241989138975e-09,1.0988165932701577e-08
1864,1.821996598039277e-08,1.6781548595190543e-08
1865,1.1767111340876824e-08,1.1767111340876824e-08
1866,2.627431061608121e-08,2.724743153326159e-08
1867,1.747012134956094e-08,1.8925964795357686e-08
1868,1.2349685496459983e-08,1.5807597453232347e-08
1869,1.416220518635214e-08,1.4650557211837167e-08
1870,3.899153178110737e-08,2.5803219116937726e-08
1871,1.1683295220166201e-08,7.434824311758348e-09
1872,1.6932549473658298e-08,2.4794090336399677e-08
1873,2.573982005316111e-08,3.11272230213433e-08
1874,2.5690819693835465e-08,1.9118749583491024e-08
1875,1.8308886295947957e-08,2.9751941355016243e-08
1876,3.0834675479596285e-08,1.6928841439778353e-08
1877,1.9172929910382663e-08,3.5253449937044934e-08
1878,6.6429977074733415e-09,2.7175898753561967e-08
1879,6.720257683667796e-09,1.0996785704264767e-08
1880,2.5671384129566377e-08,6.417846254436199e-09
1881,1.185326259367514e-08,2.7890029841159958e-08
1882,2.1297231977968067e-08,1.5307385581309063e-08
