year,soyons_VERB en_PRON,soyons_VERB tant_ADV
1800,3.144164484325529e-09,0.0
1801,9.524730337773235e-09,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,2.8469551160981155e-09
1808,4.5321479902327155e-09,1.5862518409903714e-08
1809,2.259030518203531e-09,0.0
1810,0.0,0.0
1811,7.521229861140455e-09,0.0
1812,0.0,1.600324850414836e-08
1813,2.8757416448144113e-09,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,0.0
1819,1.3456364911235141e-08,0.0
1820,5.933240565525466e-09,0.0
1821,9.86148829262845e-10,5.9168927535324656e-09
1822,5.012807946513931e-09,0.0
1823,0.0,0.0
1824,1.6842225392110777e-08,0.0
1825,1.7610886082763955e-09,0.0
1826,0.0,0.0
1827,2.7651818612639545e-09,9.217273055917019e-10
1828,9.172301251858528e-10,4.586150570418113e-09
1829,0.0,0.0
1830,2.0873671680021744e-09,2.0873671680021744e-09
1831,1.5591206103948707e-09,0.0
1832,5.411987746839486e-09,0.0
1833,2.3167257001688313e-09,0.0
1834,5.600718555598405e-09,9.334530925997342e-10
1835,7.563087933704082e-09,4.5378527602224494e-09
1836,1.3441500135158435e-09,8.736974699274924e-09
1837,0.0,3.478945576063097e-09
1838,2.5248647617104325e-09,1.3886756633496589e-08
1839,2.09744255297295e-09,1.11863602825224e-08
1840,1.9109065441114126e-09,0.0
1841,1.219904177673925e-08,1.0914932957462042e-08
1842,2.0124795163667386e-09,0.0
1843,1.1813822142769936e-09,0.0
1844,3.841992946007622e-09,1.097712254427563e-09
1845,4.464182357111213e-09,5.580227946389016e-10
1846,5.854501328173001e-10,0.0
1847,5.3932236454556914e-09,1.0786447290911383e-09
1848,8.045221711050488e-10,0.0
1849,0.0,1.6758829879393033e-09
1850,2.0366988096043315e-09,0.0
1851,0.0,0.0
1852,7.812654523320361e-09,0.0
1853,5.971932059978258e-09,1.1943863675867306e-09
1854,1.558699391779328e-09,5.195664343204953e-09
1855,6.368324534378189e-09,3.1841622671890946e-09
1856,1.0354378465748937e-09,4.141751386299575e-09
1857,4.39335834379051e-09,4.881509085841174e-10
1858,6.361778659424999e-09,2.936205500958522e-09
1859,2.4442432078330967e-08,1.476730293603623e-08
1860,6.865776031039772e-09,5.950338888283113e-09
1861,4.244367357575385e-09,1.4147891747029462e-09
1862,9.035972525772706e-10,8.584174260306554e-09
1863,8.490855407661257e-09,2.4973103585068657e-09
1864,4.794727948009836e-10,8.63051052846231e-09
1865,1.882737743486018e-09,1.1296426905005319e-08
1866,4.379051787850585e-09,7.298419202328432e-09
1867,1.455843445796745e-09,1.455843445796745e-09
1868,9.87974813071446e-10,2.9639244392143382e-09
1869,2.4417595723136287e-09,0.0
1870,8.027668307875047e-09,4.587239033071455e-09
1871,4.248470908407853e-09,0.0
1872,1.2094678591978436e-09,4.8378714367913744e-09
1873,4.788803464883529e-09,2.9930022904522957e-09
1874,1.1949218281515073e-09,2.9873046258899194e-09
1875,3.4329162845736505e-09,2.2886108563824337e-09
1876,9.069021977836655e-09,0.0
1877,4.329371083855449e-09,6.184815992682502e-10
1878,6.039088673581716e-10,1.8117265465633636e-09
1879,1.4051447894125602e-08,1.0385853066452455e-08
1880,6.417846254436199e-10,3.8507077526617195e-09
1881,4.183504487276224e-09,6.972507571312292e-10
1882,5.989846840748214e-09,4.6587693702804245e-09
1883,7.58320695126713e-09,2.5277355764075082e-09
1884,3.300848483434038e-09,6.535680086017237e-08
1885,1.2891271383708158e-09,1.933690718658454e-08
1886,5.162771099520569e-09,6.453463874400711e-10
1887,1.0446279008480275e-08,9.597518868531552e-08
1888,5.706553452000662e-09,1.1413106904001324e-08
1889,6.265136853755848e-09,2.5060546970934183e-09
1890,3.2771931834929546e-09,6.554386478008212e-10
1891,1.9122659011827636e-09,9.561330394092238e-09
1892,6.268512375839919e-09,1.6924984080901595e-08
1893,1.2316833108982905e-09,9.853466487186324e-09
1894,1.1972924873759894e-08,1.8904617871129403e-09
1895,3.0093072478365457e-09,4.935263930860856e-08
1896,9.435246584033052e-09,2.948514543632541e-09
1897,0.0,4.661370844871726e-09
1898,4.526684027617023e-09,0.0
1899,2.7637891975018647e-09,0.0
1900,1.5573159428683425e-09,0.0
1901,1.1177477832191585e-09,3.912117296778206e-09
1902,3.437198747846537e-09,3.437198747846537e-09
1903,1.0800440541913758e-09,2.1600881083827517e-09
1904,1.6123875568041512e-09,5.374625189347171e-10
1905,1.0321517696088023e-08,0.0
1906,5.144184633820714e-09,0.0
1907,1.5428529565042481e-09,0.0
1908,2.9468334439286537e-09,0.0
1909,2.2003934230241384e-09,5.500983557560346e-10
1910,2.137660271017694e-09,1.068830135508847e-09
1911,2.6601871816467337e-09,5.320374141248863e-10
1912,2.6047106693738442e-09,2.6047106693738442e-09
1913,8.484783542428431e-09,0.0
1914,3.3483718020477227e-09,0.0
1915,3.534228465440492e-09,0.0
1916,1.0987462051303964e-09,0.0
1917,1.0966424435210342e-09,2.1932848870420685e-09
1918,2.2972752589112133e-09,4.594550517822427e-09
