year,serons_VERB au_ADP,serons_VERB tôt_ADV
1800,1.0375742931501009e-07,0.0
1801,5.9529565277216534e-08,0.0
1802,4.2518962573012686e-08,0.0
1803,8.971560561121805e-08,0.0
1804,6.179627121127851e-08,0.0
1805,3.1271653710973624e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,6.547996633798903e-08,0.0
1808,2.7192887941396293e-08,0.0
1809,1.219876537561504e-07,0.0
1810,7.020380365929668e-08,0.0
1811,6.518399686683551e-08,0.0
1812,1.3336041604361526e-08,0.0
1813,4.888760685162197e-08,0.0
1814,5.034683425719777e-08,0.0
1815,9.440282155992463e-08,0.0
1816,1.1588019788177917e-07,0.0
1817,6.07180652423267e-08,0.0
1818,5.6029534789558966e-08,0.0
1819,8.9019032145643e-08,1.1386155129855524e-08
1820,9.967844505354151e-08,0.0
1821,8.57949515875589e-08,1.0847637099686835e-07
1822,5.413832582235045e-08,0.0
1823,8.696764552951208e-08,0.0
1824,1.229482506914792e-07,1.6842225392110777e-09
1825,7.13240879690602e-08,0.0
1826,5.460950447400137e-08,0.0
1827,9.493790997794349e-08,1.8434546111834038e-09
1828,8.805409379419871e-08,0.0
1829,7.973054039212002e-08,8.573175946935407e-09
1830,5.740259823028282e-08,0.0
1831,8.419251429359065e-08,0.0
1832,5.276687886635045e-08,2.705993873419743e-09
1833,9.498575082034222e-08,0.0
1834,4.947301235347368e-08,9.334530925997342e-10
1835,1.0437061348511634e-07,0.0
1836,1.0753200285762432e-07,1.3441500135158435e-09
1837,7.792837664055696e-08,3.6181031504156635e-08
1838,8.521418237705802e-08,2.209256599883247e-08
1839,9.158832625644209e-08,6.9914751765765e-10
1840,1.05099864811109e-07,5.095750932326837e-09
1841,6.805781538332667e-08,8.988767952189392e-09
1842,5.366612043644636e-08,1.341653010911159e-09
1843,9.982679927134086e-08,0.0
1844,1.3446975799524807e-07,0.0
1845,9.095771247302764e-08,5.580227946389016e-10
1846,9.718472426811786e-08,5.854501328173001e-09
1847,5.662884916546318e-08,0.0
1848,7.160247150750365e-08,4.82713291560799e-09
1849,6.787325901314034e-08,1.6758829879393033e-09
1850,9.776154286100791e-08,6.788996032014438e-09
1851,7.15887722435582e-08,3.2247193804124663e-09
1852,7.942865209997763e-08,6.510545436100301e-10
1853,7.524634071387482e-08,4.180352064508952e-09
1854,8.001322981954218e-08,1.0910895298366086e-08
1855,7.270503488143731e-08,4.2455496895854594e-09
1856,5.5913645269356493e-08,0.0
1857,7.51752367023073e-08,2.4407544874094356e-09
1858,8.514996352460003e-08,1.468102750479261e-09
1859,8.605773160752506e-08,0.0
1860,9.749401641556688e-08,0.0
1861,9.809204470911936e-08,0.0
1862,1.2831081619424367e-07,1.3553959066214816e-09
1863,6.592899381985262e-08,0.0
1864,9.637403053375238e-08,4.794727948009836e-10
1865,9.41368867302117e-08,4.706844358715045e-10
1866,1.0801660721426742e-07,1.9462451650298362e-09
1867,8.63800408978932e-08,9.7056229719783e-10
1868,8.644779825317528e-08,9.87974813071446e-10
1869,1.040189587797613e-07,0.0
1870,8.085008573743835e-08,4.587239033071455e-09
1871,1.0090118252037428e-07,2.1242354542039266e-09
1872,1.2638939494991064e-07,2.4189357183956872e-09
1873,1.2091729217900138e-07,0.0
1874,6.631815807622843e-08,2.9873046258899194e-09
1875,1.104254749861866e-07,2.8607636259891933e-09
1876,1.0640985692589311e-07,6.04601479992084e-10
1877,1.0761579716245251e-07,1.8554447978047506e-09
1878,1.1293095525388708e-07,1.2078177347163432e-09
1879,6.475885072632082e-08,6.720257683667796e-09
1880,8.279021557200394e-08,6.417846254436199e-10
1881,1.324776377487069e-07,0.0
1882,9.650308641084848e-08,6.655385131892899e-10
1883,9.099848341520556e-08,0.0
1884,9.176358872764467e-08,6.601696966868076e-10
1885,6.639005079023264e-08,1.2891271383708158e-09
1886,1.0002869288427974e-07,6.453463874400711e-10
1887,4.8966935395355904e-08,0.0
1888,4.7554610915767626e-08,6.340614699951175e-10
1889,8.896493852716958e-08,0.0
1890,1.0290386853739619e-07,1.3108772956016423e-09
1891,7.840290550120699e-08,0.0
1892,8.838602383320904e-08,2.5074049503359674e-09
1893,6.158416709922676e-08,0.0
1894,6.490585491292222e-08,1.2603078580752936e-09
1895,8.185315891751088e-08,0.0
1896,8.550691887876383e-08,7.66613794667137e-09
1897,5.9432476717802274e-08,1.1653427112179315e-09
1898,7.865113360594478e-08,0.0
1899,7.075300345604774e-08,1.6582735185011188e-09
1900,6.281174336209006e-08,2.07642125715779e-09
1901,8.047783950360099e-08,3.353243460679778e-09
1902,5.106695155632224e-08,5.892340837476695e-09
1903,6.912281946824805e-08,3.2401321625741275e-09
1904,7.416982583663412e-08,0.0
1905,8.721682576151579e-08,5.160759042333041e-10
1906,7.253299827425508e-08,5.144184522798412e-10
1907,9.051404248339168e-08,0.0
1908,7.51442499336008e-08,0.0
1909,7.536347368386487e-08,1.6502950117569526e-09
1910,7.909343224810073e-08,2.67207544979442e-09
1911,8.83182096345081e-08,1.0640748282497725e-09
1912,6.095022797580896e-08,5.209421227725386e-10
1913,6.310557409960893e-08,5.30298971401777e-10
1914,6.094036564263661e-08,1.3393487430235496e-09
1915,1.590402831652682e-07,5.890381071793627e-09
1916,7.801097723358907e-08,5.493730803607377e-09
1917,9.321460936462245e-08,1.0966424435210342e-09
1918,6.662098428478203e-08,0.0
1919,8.839534615390221e-08,0.0
1920,9.541012246927494e-08,0.0
1921,8.55720472259236e-08,6.058197943303867e-09
