year,longues_ADJ erreurs_NOUN,longues_ADJ terreurs_NOUN
1800,1.8864986373046122e-07,0.0
1801,1.0239084957675004e-07,0.0
1802,5.370816325012129e-08,2.2378401354217203e-09
1803,7.021220937986072e-08,3.900678446910888e-09
1804,2.546006498960196e-07,9.887403784603066e-09
1805,1.051864728651708e-07,0.0
1806,6.051504897186533e-08,0.0
1807,9.11025637151397e-08,2.8469551160981155e-09
1808,4.758755522971114e-08,0.0
1809,7.454800510231507e-08,9.036122072814123e-09
1810,1.1466621430145096e-07,0.0
1811,6.267691787797958e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,9.777521370324394e-08,1.1502966579257645e-08
1814,1.8250727862323401e-07,0.0
1815,1.9150287755564932e-07,0.0
1816,8.343373991692715e-08,6.952811659743929e-09
1817,9.029865566390072e-08,3.113746815941454e-09
1818,5.722165141719415e-08,3.5763532135746345e-09
1819,9.315944993204539e-08,6.210630232317271e-09
1820,1.0323838495196469e-07,1.3053129244156025e-08
1821,7.59334568556369e-08,0.0
1822,7.418955760840618e-08,2.0051231786055723e-09
1823,4.15072847204101e-08,5.929612356680991e-09
1824,1.3557990996559965e-07,8.421112696055388e-09
1825,8.981552213072064e-08,8.805443041381977e-10
1826,4.668231667892542e-08,0.0
1827,5.438191053031005e-08,6.452091305675367e-09
1828,5.319934714975716e-08,0.0
1829,3.429270378774163e-08,0.0
1830,3.965997663613052e-08,2.0873671680021744e-09
1831,2.6505050598757407e-08,6.236482441579483e-09
1832,3.3824925083081325e-08,1.3529969367098715e-09
1833,7.645194699534841e-08,1.1583628500844156e-09
1834,7.000897994657862e-08,0.0
1835,2.571449897459388e-08,9.832014313815307e-09
1836,2.8899226123257904e-08,2.688300027031687e-09
1837,2.2961039292113128e-08,7.653680356156656e-09
1838,5.1759727170974656e-08,1.8936485712828244e-09
1839,2.7965899818127582e-08,3.4957374772659477e-09
1840,3.885510224677091e-08,0.0
1841,7.255219713897532e-08,0.0
1842,4.293289634915709e-08,8.049918065466954e-09
1843,4.016699506337318e-08,4.134837805480629e-09
1844,2.9089374464774664e-08,3.841992946007622e-09
1845,2.622707206967334e-08,0.0
1846,3.7468808500307205e-08,1.7563503984519002e-09
1847,5.069630049092666e-08,0.0
1848,3.298540818263973e-08,8.045221711050488e-10
1849,1.75967720394965e-08,0.0
1850,2.5119284430275002e-08,3.394498016007219e-09
1851,6.513933215046563e-08,6.449438760824933e-10
1852,3.059956199535918e-08,7.161600201754936e-09
1853,1.911018188138769e-08,1.7915795513800958e-09
1854,3.4810952342922974e-08,2.5978321716024766e-09
1855,4.139410947345823e-08,3.714855978387277e-09
1856,4.193523395201737e-08,0.0
1857,2.39193944651106e-08,3.905207268672939e-09
1858,4.404308384664546e-08,0.0
1859,7.638259802433822e-09,4.582956236731661e-09
1860,3.570203332969868e-08,1.8308735638683515e-09
1861,4.1500481273715195e-08,6.6023493339173456e-09
1862,3.5240294238292336e-08,1.8071945051545413e-09
1863,2.3474717281146695e-08,4.994620828036034e-10
1864,2.1096802527154068e-08,3.835782358407869e-09
1865,2.729969672543575e-08,4.706844358715045e-10
1866,4.330395597662573e-08,4.865612912574591e-10
1867,2.523461972714358e-08,5.338092634588065e-09
1868,2.865126980111654e-08,0.0
1869,1.8557372527538973e-08,1.953407657850903e-09
1870,3.2110673231500186e-08,5.734048791339319e-09
1871,2.1242353653860846e-08,1.0621177271019633e-09
1872,1.9351485747165498e-08,6.047339295989218e-10
1873,1.97538145840781e-08,1.7958012854535355e-09
1874,3.2262889249068394e-08,7.766991494406739e-09
1875,4.1194994082616176e-08,1.4303817685856757e-08
1876,1.6324239737741664e-08,1.813804439976252e-09
1877,1.2988113695655557e-08,0.0
1878,5.435179861734696e-09,1.2078177347163432e-09
1879,1.8327975581655664e-08,0.0
1880,2.3746030919369332e-08,6.417846254436199e-10
1881,2.3009274485730202e-08,0.0
1882,1.8635077481121698e-08,0.0
1883,2.8437025179073316e-08,0.0
1884,1.650424152899177e-08,0.0
1885,1.353583467533781e-08,0.0
1886,1.1616235084943582e-08,6.453463874400711e-10
1887,1.7628096316002484e-08,1.3057849246322917e-09
1888,6.340614699951175e-09,0.0
1889,1.3156786771162388e-08,6.265136742733546e-10
1890,9.831579994568074e-09,4.5880703680722945e-09
1891,1.211101796627645e-08,0.0
1892,2.570090096298827e-08,0.0
1893,2.0322774574310642e-08,0.0
1894,6.301539290376468e-09,0.0
1895,5.416753268150387e-09,0.0
1896,1.8280790214930676e-08,6.486732040400511e-09
1897,1.7480140002135158e-08,5.826713556089658e-10
1898,1.584339415217073e-08,0.0
1899,1.1055156790007459e-08,1.1055156790007459e-09
1900,9.863001082521805e-09,0.0
1901,2.3472702892490815e-08,1.1177477832191585e-09
1902,8.347482705062248e-09,1.4730852093691738e-09
1903,2.214090244478939e-08,0.0
1904,9.13686282189019e-09,1.6123875568041512e-09
1905,1.857873321853276e-08,1.0321518084666081e-09
1906,1.4918134283448126e-08,0.0
1907,2.6228502036929058e-08,0.0
1908,2.701263923654551e-08,0.0
1909,4.950885035270858e-09,5.500983557560346e-10
1910,1.068830179917768e-08,1.068830135508847e-09
1911,1.4897047151407605e-08,1.0640748282497725e-09
1912,2.4484279492753558e-08,2.0837684910901544e-09
1913,1.484837142129436e-08,6.363587878865928e-09
1914,1.6072185360371805e-08,0.0
1915,2.3561524287174507e-08,0.0
1916,2.307367097387214e-08,0.0
1917,1.315970976634162e-08,2.1932848870420685e-09
1918,2.1824114071478107e-08,0.0
1919,3.1306683467846597e-08,0.0
1920,3.256059599721084e-08,1.514446346106979e-09
1921,1.817459427400081e-08,0.0
1922,1.1066902949607993e-08,0.0
1923,2.653987074552333e-08,0.0
1924,9.02413699321869e-09,0.0
1925,2.639562701745035e-08,0.0
1926,2.5636119005412183e-08,0.0
1927,1.7838759802657478e-08,0.0
1928,2.5137291359556002e-08,0.0
1929,1.2254447234738564e-08,2.2280812750352652e-09
1930,1.1553964007759987e-08,0.0
1931,1.3686427990933225e-08,2.2810713318222042e-09
1932,2.6302888755935783e-08,0.0
1933,8.02946331646126e-09,0.0
1934,1.4377896206951846e-08,0.0
1935,1.555876849579363e-08,1.196828414151696e-09
1936,1.33371855781661e-08,0.0
1937,1.1332006444320086e-08,0.0
1938,1.4261735792331365e-08,2.5930428915188486e-09
1939,2.2941076593951948e-08,0.0
1940,2.5357829169792012e-09,0.0
1941,8.854508237732261e-09,2.9515025978810172e-09
1942,1.517105907566929e-08,0.0
1943,2.0322646676618206e-08,0.0
1944,1.6065930807940276e-08,0.0
1945,8.714016175304096e-09,0.0
1946,6.960552134671616e-09,2.7842208538686464e-09
1947,3.457052599742383e-08,1.1920870957027319e-09
1948,1.6307831529616124e-08,0.0
1949,1.570721330779179e-08,0.0
1950,1.595304155443955e-08,1.0635361480382244e-09
1951,8.529121409139861e-09,0.0
1952,1.1599284199803606e-08,0.0
1953,9.69644453618912e-09,0.0
1954,1.4658803948464083e-08,0.0
1955,3.754243138587299e-09,0.0
1956,1.744228228517386e-08,0.0
1957,2.3854601849393475e-08,8.835037701437898e-10
1958,1.7371711180658167e-08,0.0
1959,4.650448914844674e-09,0.0
1960,8.997083078554624e-09,0.0
1961,1.111705483225478e-08,0.0
1962,9.512934440181198e-09,0.0
1963,1.0345685197421517e-08,0.0
1964,1.1559539991878864e-08,6.083968329129164e-10
1965,4.377634699181954e-09,0.0
1966,1.3293779410616935e-08,5.539074754423723e-10
1967,1.3311906243984595e-08,0.0
