year,deux_DET eaux_NOUN,deux_DET taux_NOUN
1800,3.8673223912155663e-07,6.288328968651058e-09
1801,3.119349116786907e-07,7.143547975374531e-09
1802,7.250602038766374e-07,0.0
1803,2.554944273924775e-07,1.950339223455444e-09
1804,2.644880510160874e-07,9.887403784603066e-09
1805,3.0703080255989335e-07,0.0
1806,1.556101381083863e-07,8.645007376628655e-09
1807,1.9074599322266295e-07,0.0
1808,3.580396992219903e-07,0.0
1809,4.947276579514437e-07,6.7770917766551975e-09
1810,2.0593115834799391e-07,2.3401267590372754e-09
1811,2.1310152220621603e-07,2.5070767684098882e-09
1812,1.2802598803318688e-07,8.00162425207418e-09
1813,3.077043686516845e-07,2.8757416448144113e-09
1814,9.125363931161701e-08,0.0
1815,1.4834729711310501e-07,2.697223555614414e-09
1816,3.383701709935849e-07,4.6352077731626196e-09
1817,1.977229260319291e-07,0.0
1818,2.84916149784209e-07,3.5763532135746345e-09
1819,2.6291667154509923e-07,2.173720581311045e-08
1820,1.96983592104516e-07,0.0
1821,2.1202200173320307e-07,1.97229765852569e-09
1822,1.5539704634193185e-07,1.2030739071633434e-08
1823,1.9765373338032077e-07,5.929612356680991e-09
1824,1.8779081756292726e-07,1.0105335235266466e-08
1825,2.606411271255382e-07,8.805443041381977e-10
1826,3.805049288985174e-07,8.807984341885344e-10
1827,2.562401846262219e-07,1.8434546111834038e-09
1828,1.742737225640667e-07,0.0
1829,2.734843072005333e-07,2.571952872898464e-09
1830,2.2752301731543412e-07,1.0436835840010872e-09
1831,2.229542468423773e-07,0.0
1832,2.1783250758744543e-07,1.3529969367098715e-09
1833,2.6294836175111413e-07,3.475088550253247e-09
1834,2.5016544213940506e-07,1.6802156110884425e-08
1835,2.9269151013977535e-07,4.5378527602224494e-09
1836,2.1371985781115654e-07,5.376600054063374e-09
1837,3.082345728655511e-07,4.87052354003481e-09
1838,2.379685055675651e-07,1.7042836475411605e-08
1839,1.8177836125232716e-07,2.0974426639952526e-09
