year,véritables_ADJ tumeurs_NOUN
1800,0.0
1801,0.0
1802,0.0
1803,7.801356893821776e-09
1804,9.887403784603066e-09
1805,0.0
1806,0.0
1807,0.0
1808,1.3596443970698147e-08
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,2.6672083208723052e-08
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,0.0
1816,3.476405652236281e-08
1817,2.1796227045456362e-08
1818,1.1921177378582115e-09
1819,2.070210003424222e-09
1820,8.306536791735653e-09
1821,2.9584463767662328e-09
1822,8.02049271442229e-09
1823,1.1859224713361982e-08
1824,3.3684450784221553e-09
1825,1.3208164340028361e-08
1826,1.4092774947016551e-08
1827,4.608636583469661e-09
1828,8.255071293206129e-09
1829,5.143905745796928e-09
1830,7.305785310052215e-09
1831,1.5591206103948707e-09
1832,9.470978667991403e-09
1833,1.50587169400751e-08
1834,1.0267983796552471e-08
1835,1.2100940693926532e-08
1836,1.2097349788575684e-08
1837,2.365682938432201e-08
1838,1.5149188570262595e-08
1839,2.9364196407755117e-08
1840,2.5478755105723394e-08
1841,3.723918240439161e-08
1842,1.8112315203211438e-08
1843,1.1223130869097986e-08
1844,4.281077892187568e-08
1845,2.4553003186156275e-08
1846,9.367202125076801e-09
1847,2.1033571329098777e-08
1848,2.011305433313737e-08
1849,2.9327951622803994e-08
1850,1.2899092460827433e-08
1851,1.3543821175687754e-08
1852,1.8880582430824688e-08
1853,3.58315901394235e-08
1854,1.8184826089395756e-08
1855,2.1227748447927297e-08
1856,6.73034605824796e-09
1857,3.368241152656992e-08
1858,1.565976326389773e-08
1859,2.800695320104296e-08
1860,3.249800428761773e-08
1861,3.159695793897299e-08
1862,1.7620147119146168e-08
1863,8.990317823531768e-09
1864,1.4863656971897399e-08
1865,1.7415324293779122e-08
1866,2.77339928800302e-08
1867,6.308654576514527e-08
1868,4.00129813726835e-08
1869,8.98567549256768e-08
1870,2.9243649279919737e-08
1871,6.903765381593985e-08
1872,3.688877114882416e-08
1873,6.045864608950069e-08
1874,6.273339892004515e-08
1875,5.149374260327022e-08
1876,8.827181829929032e-08
1877,3.958282235316801e-08
1878,5.676743342064583e-08
1879,4.581993806596074e-08
1880,4.813384535395926e-08
1881,4.671580100534811e-08
1882,3.7270154962243396e-08
1883,3.6020232130340446e-08
1884,7.856019124119484e-08
1885,9.410628365458251e-08
1886,6.388929563172496e-08
1887,5.7454535351553204e-08
1888,5.452928775184773e-08
1889,6.327788071303075e-08
1890,6.292211196523567e-08
1891,4.206985337873448e-08
1892,6.644623340434919e-08
1893,5.1114856347567184e-08
1894,4.222031435574536e-08
1895,4.814891596538473e-08
1896,7.13540515562272e-08
1897,6.817254671886985e-08
1898,4.866185321361627e-08
1899,5.5828543565894506e-08
1900,8.617148239409289e-08
1901,5.532851687917173e-08
1902,4.6647695484125506e-08
1903,7.020286574288548e-08
1904,6.987012568515638e-08
1905,5.7800502162308476e-08
