year,trop_ADV écrit_VERB,trop_ADV décrit_VERB
1800,2.5153315874604232e-08,6.288328968651058e-09
1801,4.7623650800687756e-08,9.524730337773235e-09
1802,4.923248297927785e-08,4.475680270843441e-09
1803,2.145373123596528e-08,0.0
1804,6.426812149129546e-08,0.0
1805,5.1171799242411e-08,0.0
1806,2.881669125542885e-08,0.0
1807,3.9857372513552036e-08,8.540865792383556e-09
1808,4.5321479902327155e-09,0.0
1809,3.162642769893864e-08,2.259030518203531e-09
1810,3.2761775514700275e-08,0.0
1811,2.5070767684098882e-09,0.0
1812,3.7340914360584065e-08,0.0
1813,6.039057609541487e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,2.6972236000233352e-08,0.0
1816,1.8540831092650478e-08,2.3176038865813098e-09
1817,2.0239355080775567e-08,0.0
1818,6.437435473571895e-08,0.0
1819,2.6912729822470283e-08,0.0
1820,1.779972080839798e-08,0.0
1821,6.409967312492881e-08,0.0
1822,2.5064039732569654e-08,0.0
1823,8.894418535021487e-09,0.0
1824,2.6105450245950124e-08,0.0
1825,1.2063456722444243e-07,0.0
1826,2.1139161532346407e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,5.961995697134626e-08,0.0
1829,1.2002446148073886e-08,0.0
1830,8.140732177253085e-08,0.0
1831,3.274153215215847e-08,0.0
1832,5.0060886991332154e-08,0.0
1833,2.3167257001688313e-09,0.0
1834,1.120143711119681e-08,0.0
1835,2.8739734148075513e-08,0.0
1836,3.1587525484155776e-08,1.3441500135158435e-09
1837,1.87863058442872e-08,0.0
1838,2.0830134062066463e-08,0.0
1839,9.788065469251706e-09,0.0
1840,6.3696887764308485e-09,0.0
1841,3.2102743574569104e-08,0.0
1842,1.609983613093391e-08,0.0
1843,1.3585895075607368e-08,0.0
1844,1.920996517412732e-08,0.0
1845,1.0044410636567136e-08,0.0
1846,1.3465353276842507e-08,0.0
1847,2.480882876909618e-08,0.0
1848,2.896279838182636e-08,0.0
1849,2.4300303991253713e-08,8.379414939696517e-10
1850,4.5486274302675156e-08,0.0
1851,2.7732586005413395e-08,0.0
1852,2.6042181744401205e-08,0.0
1853,2.5679307569248522e-08,2.388772735173461e-09
1854,3.013485283531736e-08,5.195664343204953e-09
1855,1.3798036491152743e-08,0.0
1856,2.0708757375587084e-08,0.0
1857,1.9037885934380938e-08,0.0
1858,2.5447114637699997e-08,0.0
1859,1.9859475841599306e-08,0.0
1860,2.6089947979812678e-08,0.0
1861,4.433005784676425e-08,0.0
1862,4.427626620895353e-08,0.0
1863,1.7980635647063536e-08,0.0
1864,2.828889478223573e-08,4.794727948009836e-10
1865,4.3773653146672586e-08,0.0
1866,3.8924902412418305e-08,0.0
1867,1.3102591012170706e-08,0.0
1868,2.766329387782207e-08,3.951899252285784e-09
1869,1.70923168951731e-08,9.767038289254515e-10
1870,3.268407766654491e-08,2.2936195165357276e-09
1871,2.0180236148803488e-08,1.0621177271019633e-09
1872,3.084143074261192e-08,0.0
1873,1.3169209722718733e-08,1.7958012854535355e-09
1874,2.0911132381229436e-08,2.9873046258899194e-09
1875,1.6592428764283795e-08,0.0
1876,6.590155976482492e-08,5.441413541973361e-09
1877,3.154256233983688e-08,3.710889595609501e-09
1878,2.6571990829893366e-08,1.2078177347163432e-09
1879,2.993569481191116e-08,0.0
1880,2.9522093214495726e-08,0.0
1881,3.6257038260600893e-08,3.4862537301449947e-09
1882,2.3293848627758962e-08,2.6621540527571597e-09
1883,2.8437025179073316e-08,0.0
1884,1.3203393933736152e-08,0.0
1885,4.5119449509911647e-08,0.0
1886,3.484870347847391e-08,0.0
1887,3.003305337756501e-08,0.0
1888,2.53624587998047e-08,0.0
1889,2.5687061366852504e-08,6.265136742733546e-10
1890,5.83340380444497e-08,0.0
1891,2.8683990294098294e-08,0.0
1892,2.570090096298827e-08,0.0
1893,1.23168328869383e-08,0.0
1894,3.213785149114301e-08,0.0
1895,2.888934957923084e-08,0.0
1896,3.4202766840962795e-08,5.89702897624278e-10
1897,2.2724183423861177e-08,4.661370844871726e-09
1898,3.395012981854961e-08,0.0
1899,4.0351324059884064e-08,0.0
1900,4.2047531678690575e-08,0.0
1901,2.794369535763508e-08,0.0
1902,3.0443761289689064e-08,0.0
1903,3.294134387488157e-08,0.0
1904,3.0635362691100454e-08,0.0
1905,2.631987072732045e-08,0.0
1906,2.777859720026754e-08,0.0
1907,2.0571373937627868e-08,0.0
1908,2.4065807124884486e-08,4.911389073214423e-10
1909,2.8055016088046614e-08,1.1001967115120692e-09
1910,2.4583092894658876e-08,0.0
1911,2.181353409014264e-08,0.0
1912,4.688478938419394e-08,0.0
