year,beaucoup_ADV en_ADP,beaucoup_ADV dans_ADP
1800,3.4805900668288814e-06,5.650063485518331e-06
1801,3.1907845823297976e-06,4.679023732023779e-06
1802,3.3410954074497567e-06,4.464491212274879e-06
1803,3.7056445307825925e-06,6.018746717018075e-06
1804,2.840156639649649e-06,4.6124737309583e-06
1805,3.1214797218126478e-06,4.682219696405809e-06
1806,2.2131218884169357e-06,3.832619768218137e-06
1807,2.209237209171988e-06,3.305314976387308e-06
1808,2.6717011678556446e-06,4.02681371269864e-06
1809,3.5805633160634898e-06,4.994716618966777e-06
1810,2.237161197626847e-06,3.011743046954507e-06
1811,2.4393857529503293e-06,3.241650347263203e-06
1812,2.307135218870826e-06,3.5447196751192678e-06
1813,2.3379780031973496e-06,4.051919859193731e-06
1814,2.101980271618231e-06,2.7753692393162055e-06
1815,1.777470288288896e-06,3.6898018151987344e-06
1816,2.5516819732729346e-06,5.28413693245966e-06
1817,3.2040454698289977e-06,4.609902134689037e-06
1818,2.5487477159913396e-06,3.7921265629847767e-06
1819,2.0225952539476566e-06,3.4386187053314643e-06
1820,2.341256731597241e-06,3.361774133736617e-06
1821,2.393383283560979e-06,3.222734449082054e-06
1822,2.447252882120665e-06,3.2573225325904787e-06
1823,2.816565711327712e-06,3.124905560980551e-06
1824,2.629071332194144e-06,3.496445970085915e-06
1825,2.5747115159902023e-06,3.7493575746339047e-06
1826,2.244274355689413e-06,3.0026419608475408e-06
1827,2.0637473880924517e-06,3.0066744329815265e-06
1828,2.271978928547469e-06,3.0552935186278773e-06
1829,2.277035491715651e-06,3.412981413930538e-06
1830,2.414040181974997e-06,3.500514822007972e-06
1831,1.9379870082048e-06,2.8656636459345464e-06
1832,2.278446800119127e-06,3.479908173176227e-06
1833,2.310933950866456e-06,3.32102626998676e-06
1834,2.0395950741658453e-06,3.1233339541358873e-06
1835,2.5820381779340096e-06,3.3118762985395733e-06
1836,2.291775672347285e-06,3.0142564355628565e-06
1837,2.4415239749941975e-06,3.1741899420012487e-06
1838,2.4005150862649316e-06,2.9086440918035805e-06
1839,2.4589019176346483e-06,3.0615669857070316e-06
1840,2.1548655695369234e-06,2.6797279133461416e-06
1841,2.1213493255345384e-06,2.814126446537557e-06
1842,1.9541175788617693e-06,2.694710019568447e-06
1843,1.914429958560504e-06,2.8559913971548667e-06
1844,2.0181439595035044e-06,2.8123388347012224e-06
1845,1.9581020751502365e-06,2.5540703063597903e-06
1846,2.15855470742099e-06,2.840018623828655e-06
1847,1.7479437701695133e-06,2.5677138637547614e-06
1848,1.852010086622613e-06,2.7216985927225323e-06
1849,1.6959935464910814e-06,2.809617853927193e-06
1850,1.727120547911909e-06,2.638882733663195e-06
1851,1.8774316004055436e-06,2.8280790047574556e-06
1852,2.0566812963807024e-06,2.5964054657379165e-06
1853,1.8512988617658266e-06,2.9417735731840366e-06
