year,beaucoup_ADV étendre_VERB
1800,3.144164484325529e-09
1801,1.4287095950749062e-08
1802,2.2378401354217203e-08
1803,0.0
1804,3.213406074564773e-08
1805,1.9900143755080535e-08
1806,3.1698359492793315e-08
1807,2.8469551160981155e-09
1808,2.945896149242344e-08
1809,1.6716825257390155e-07
1810,0.0
1811,0.0
1812,1.8670457180292033e-08
1813,2.8757416448144113e-09
1814,3.1466772298927026e-08
1815,3.776112933451259e-08
1816,4.6352077731626196e-09
1817,3.89218364205135e-08
1818,1.3113295338484932e-08
1819,2.070210003424222e-09
1820,1.3053129244156025e-08
1821,2.1695274909916407e-08
1822,1.303330066093622e-08
1823,3.162459805139406e-08
1824,1.2631669044083083e-08
1825,5.283265824829186e-09
1826,8.80798456392995e-09
1827,1.474763688946723e-08
1828,1.2841221419535032e-08
1829,2.0575622983187714e-08
1830,9.39315203396518e-09
1831,4.677361609140007e-09
1832,1.3529969367098715e-09
1833,2.548398292390175e-08
1834,1.3068342852307069e-08
1835,8.31939672707449e-09
1836,2.016224964762614e-09
1837,1.3915781860163179e-09
1838,1.3255539776935166e-08
1839,1.957613093850341e-08
1840,1.1465439264668476e-08
1841,1.8619591202195807e-08
1842,5.366612043644636e-09
1843,1.4767278067040479e-08
1844,2.7442805805577564e-09
1845,5.580227835366713e-09
1846,9.367202125076801e-09
1847,9.168480197274675e-09
1848,4.02261068899179e-09
1849,3.267971848686102e-08
1850,9.504594444820214e-09
1851,1.096404567135778e-08
1852,3.906327261660181e-09
1853,5.3747388761848924e-09
1854,7.27393034694046e-09
1855,1.1144567935161831e-08
1856,2.5885946719483854e-09
1857,1.3668225662399891e-08
1858,2.6425849952715907e-08
1859,1.018434669930457e-08
1860,1.4646988510946812e-08
1861,1.6977470096435354e-08
1862,1.1746764450037972e-08
1863,5.9935452156878455e-09
1864,1.3904711160250827e-08
1865,8.47231973466478e-09
1866,7.298419202328432e-09
1867,3.88224918879132e-09
1868,1.7289560005906424e-08
1869,2.441759683335931e-09
1870,2.8670243956696595e-09
1871,2.1242354542039266e-09
1872,3.0236697590169115e-09
1873,2.3944017879529156e-09
1874,7.169530746864439e-09
1875,6.865832347102696e-09
1876,7.859819461941697e-09
1877,4.9478527941460015e-09
1878,6.6429977074733415e-09
1879,9.163987790827832e-09
1880,7.059631101924424e-09
1881,7.669758161910067e-09
1882,1.9966155395678697e-09
1883,6.951272890631799e-09
