year,beaucoup_ADV écrire_VERB,beaucoup_ADV décrire_VERB
1800,4.087413785214267e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,4.8758479920252285e-08,0.0
1804,6.426812149129546e-08,0.0
1805,1.9900143755080535e-08,0.0
1806,2.5935023018064385e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,1.5862518409903714e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.6380887757350138e-08,0.0
1811,8.524060746140094e-08,0.0
1812,3.200649700829672e-08,0.0
1813,5.751483289628823e-09,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,2.0858434979231788e-08,0.0
1817,1.401186100480345e-08,0.0
1818,1.4305412854298538e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,3.5599443393152796e-09,0.0
1821,5.9168927535324656e-09,0.0
1822,0.0,0.0
1823,3.063632902922109e-08,0.0
1824,2.5263338088166165e-09,0.0
1825,0.0,0.0
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,5.503380862137419e-09,0.0
1829,1.2002446148073886e-08,0.0
1830,2.0873671680021744e-09,0.0
1831,1.870944643656003e-08,0.0
1832,5.411987746839486e-09,0.0
1833,1.9692167896323554e-08,0.0
1834,2.7070139907436896e-08,2.8003592777992026e-09
1835,9.832014313815307e-09,0.0
1836,2.352262562510532e-08,0.0
1837,2.2961039292113128e-08,0.0
1838,2.209256599883247e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,1.52872523528913e-08,0.0
1841,1.6051371787284552e-08,0.0
1842,2.4149754196400863e-08,0.0
1843,1.7720733325177207e-08,0.0
1844,2.6893950177964143e-08,0.0
1845,8.37034175305007e-09,0.0
1846,1.4636253098387897e-08,0.0
1847,1.1865092020002521e-08,1.0786447290911383e-09
1848,1.6090443422100975e-09,0.0
1849,1.9272654583346593e-08,0.0
1850,8.82569484161877e-09,0.0
1851,1.4188765717904062e-08,0.0
1852,2.018269107395554e-08,0.0
1853,1.3138249599364826e-08,0.0
1854,9.352196350675968e-09,4.676098175337984e-09
1855,2.1227748447927297e-08,0.0
1856,8.801221973442352e-09,0.0
1857,1.4156376515472857e-08,0.0
1858,2.1532175153993194e-08,5.872411001917044e-09
1859,3.6154432336843456e-08,0.0
1860,2.1512764902809067e-08,0.0
1861,1.744906619194353e-08,0.0
1862,1.1294965851504912e-08,9.035972525772706e-10
1863,2.6471489888990618e-08,0.0
1864,3.452204211384924e-08,0.0
1865,2.6829013677343028e-08,0.0
1866,3.0166798836717135e-08,0.0
1867,3.2513838732484146e-08,0.0
1868,8.89177353968762e-09,0.0
1869,1.5627261262807224e-08,0.0
1870,1.3188312664169644e-08,0.0
1871,0.0,0.0
1872,1.5723081503438152e-08,0.0
1873,7.781805422268917e-09,0.0
1874,2.9873046258899194e-09,0.0
1875,1.4875970677508121e-08,0.0
1876,1.3905833817773328e-08,0.0
1877,4.143826615177204e-08,0.0
1878,1.7513357875031943e-08,0.0
1879,1.710611030603104e-08,0.0
1880,1.2835692508872398e-08,0.0
1881,1.8825771164188154e-08,0.0
1882,2.6621540527571597e-08,0.0
1883,2.6541224329434954e-08,0.0
1884,1.1883054540362536e-08,0.0
1885,2.7716232864349877e-08,0.0
1886,7.098810428374236e-09,0.0
1887,1.6322312390570914e-08,0.0
1888,1.1413106904001324e-08,0.0
1889,3.57112810434046e-08,0.0
1890,1.1142456735058204e-08,0.0
1891,1.0836173736095134e-08,0.0
1892,1.6924984080901595e-08,6.268512375839919e-10
1893,2.46336657738766e-08,0.0
1894,1.3863386882917439e-08,0.0
1895,8.426059849853118e-09,0.0
1896,1.7691087705884456e-08,0.0
1897,5.2440420894583895e-09,0.0
1898,7.355861253444118e-09,0.0
1899,2.04520400615138e-08,0.0
1900,8.824790675987515e-09,0.0
1901,1.0618603774048552e-08,0.0
1902,7.856454153909453e-09,0.0
1903,1.0260418292773466e-08,0.0
1904,1.1824175416563776e-08,0.0
1905,1.3417973399043603e-08,0.0
1906,2.2634411678268407e-08,0.0
1907,8.742834012309686e-09,0.0
1908,1.817213934884876e-08,0.0
1909,1.870334465081669e-08,0.0
1910,1.5498036631811374e-08,1.068830135508847e-09
