year,beaucoup_ADV eu_VERB,beaucoup_ADV dû_VERB
1800,9.432493897065797e-09,0.0
1801,1.904946067554647e-08,0.0
1802,1.5664880947952042e-08,2.2378401354217203e-09
1803,1.950339267864365e-08,1.950339223455444e-09
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,1.7057265822018053e-08,2.2743021688143017e-08
1806,8.645007376628655e-09,0.0
1807,1.4234775136401367e-08,5.693910232196231e-09
1808,1.8128591960930862e-08,2.039466551195801e-08
1809,9.036122072814123e-09,2.259030518203531e-09
1810,1.8721014072298203e-08,1.1700633351097167e-08
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,1.3336041604361526e-08,1.3336041604361526e-08
1813,8.627225156487839e-09,0.0
1814,6.293354282149721e-09,0.0
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,1.3905623319487859e-08,2.3176038865813098e-09
1817,2.1796227045456362e-08,0.0
1818,2.384235386898581e-08,8.344824387052086e-09
1819,1.449147024601416e-08,1.0351049795076506e-08
1820,1.898636980968149e-08,1.1866481131050932e-09
1821,1.1833785507064931e-08,1.97229765852569e-09
1822,2.3058916553964082e-08,2.0051231786055723e-09
1823,1.680056804787e-08,0.0
1824,5.894778887238772e-09,8.421112696055388e-10
1825,2.8177417732422327e-08,0.0
1826,9.688783109140786e-09,8.807984341885344e-10
1827,6.452091305675367e-09,0.0
1828,5.503380862137419e-09,2.7516904310687096e-09
1829,1.2002446148073886e-08,9.430493719264632e-09
1830,1.1480519646056564e-08,3.1310507520032616e-09
1831,1.5591206548037917e-08,0.0
1832,2.4353944638733083e-08,4.058990921151917e-09
1833,1.3900354645102198e-08,9.266902800675325e-09
1834,5.600718555598405e-09,1.3068342852307069e-08
1835,2.0420337421001022e-08,3.781543966852041e-09
1836,1.4113575197427508e-08,0.0
1837,1.8090515752078318e-08,1.3915781860163179e-09
1838,2.840472923537618e-08,6.312161904276081e-09
1839,7.690622361167243e-09,6.9914751765765e-10
1840,1.6561189752906103e-08,3.821813088222825e-09
1841,1.219904177673925e-08,2.5682194149112547e-09
1842,1.2745703159566801e-08,8.049918065466954e-09
1843,2.9534556134080958e-08,2.3036953678001737e-08
1844,1.2623690537338916e-08,7.683985892015244e-09
1845,1.674068350610014e-08,2.7901139176833567e-09
1846,1.8734404250153602e-08,6.439951683034906e-09
1847,1.5101026207275936e-08,2.1572894581822766e-09
1848,1.448139919091318e-08,0.0
1849,7.54147322368226e-09,2.513824481908955e-09
1850,1.9009188889640427e-08,9.504594444820214e-09
1851,9.674158363282004e-09,1.2898877521649865e-09
1852,1.1067927019325907e-08,6.510545436100301e-09
1853,6.569124799682413e-09,4.777545470346922e-09
1854,1.2989160858012383e-08,1.0391328908454511e-09
1855,2.7065379271107304e-08,4.776243400783642e-09
1856,1.0354378687793542e-08,1.1389816201301528e-08
1857,1.5620829074691756e-08,2.9289055625270066e-09
1858,1.2723557318849998e-08,9.787352039936081e-10
1859,4.582956236731661e-09,0.0
1860,1.0985241161165504e-08,7.781213007262977e-09
1861,1.5091083938045813e-08,9.903524222920623e-09
1862,1.536115412648087e-08,1.490935552794781e-08
1863,1.1487627737949424e-08,1.548332484446746e-08
1864,1.726102105692462e-08,9.589455896019672e-10
1865,1.0825742080555756e-08,1.3649848362717876e-08
1866,1.751620715140234e-08,9.731225603104576e-09
1867,1.3102591012170706e-08,1.94112459439566e-09
1868,1.3831646938911035e-08,4.93987406535723e-10
1869,1.4162205630441349e-08,4.883519144627257e-10
1870,9.17447806614291e-09,5.734048791339319e-10
1871,7.434824311758348e-09,0.0
1872,2.237515595027162e-08,5.442605477412599e-09
1873,9.577607151811662e-09,4.190203295451056e-09
1874,1.1949218503559678e-08,2.3898436563030145e-09
1875,8.010138330405425e-09,4.577221712764867e-09
1876,1.0882827083946722e-08,3.627608879952504e-09
1877,5.566334504436554e-09,4.9478527941460015e-09
1878,1.0870359723469392e-08,1.2078177347163432e-09
1879,1.3440515367335593e-08,2.443730107160036e-09
1880,1.0910338410496934e-08,2.5671385017744797e-09
1881,7.669758161910067e-09,6.972507571312292e-10
1882,8.652000893505374e-09,8.652000893505374e-09
1883,2.464542170343975e-08,1.3902545781263598e-08
1884,8.582206056928499e-09,6.601696966868076e-10
1885,9.66845359329227e-09,9.66845359329227e-09
1886,1.2261581083805595e-08,1.936039106809062e-09
1887,1.3710741875172516e-08,7.1818169189441505e-09
1888,6.340614699951175e-09,6.340614699951175e-10
1889,1.0024218788373673e-08,1.2530273485467092e-09
1890,6.554386366985909e-09,8.520702365899524e-09
1891,1.3385862196457765e-08,4.461953917456185e-09
1892,1.4417578242387208e-08,4.387958441043338e-09
1893,1.7243566574620672e-08,1.2316833108982905e-09
1894,9.452309157609307e-09,2.520615716150587e-09
1895,9.629783193076946e-09,5.416753268150387e-09
1896,7.66613794667137e-09,3.5382172747233653e-09
1897,1.4566784223291052e-08,7.574727511894253e-09
1898,1.5277558773618694e-08,6.7900258748920805e-09
