year,trop_ADV étendre_VERB,trop_ADV etendre_VERB,trop_ADV détendre_VERB
1800,2.0751485863002017e-07,0.0,1.5720821977538435e-08
1801,1.142967676059925e-07,0.0,0.0
1802,7.832440473976021e-08,0.0,0.0
1803,7.021220937986072e-08,0.0,0.0
1804,1.3100809326260787e-07,4.943701892301533e-09,0.0
1805,1.1087222873129576e-07,2.842877711017877e-09,2.842877711017877e-09
1806,1.8442682403474464e-07,0.0,0.0
1807,1.0818429529990681e-07,0.0,0.0
1808,1.835519896076221e-07,0.0,0.0
1809,5.6475762733043666e-08,0.0,0.0
1810,7.020380365929668e-08,0.0,0.0
1811,1.6546707115594472e-07,0.0,0.0
1812,6.401299401659344e-08,0.0,0.0
1813,1.2940837734731758e-07,0.0,0.0
1814,1.321604372606089e-07,0.0,0.0
1815,3.236668177919455e-08,0.0,0.0
1816,7.416332437060191e-08,0.0,0.0
1817,1.3856173097792635e-07,0.0,0.0
1818,1.418620172444207e-07,0.0,0.0
1819,1.0661581484328053e-07,1.035105001712111e-09,0.0
1820,1.0679833195581523e-07,0.0,0.0
1821,1.0058717947458717e-07,2.9584463767662328e-09,0.0
1822,9.42407893944619e-08,1.0025615893027862e-09,1.0025615893027862e-09
1823,9.190898708766326e-08,1.9765373782121287e-09,0.0
1824,1.027375731155189e-07,0.0,0.0
1825,1.0302368025350006e-07,8.805443041381977e-10,0.0
1826,9.160303449107232e-08,8.807984341885344e-10,0.0
1827,1.4931981695553986e-07,9.217273055917019e-10,1.8434546111834038e-09
1828,1.2199160437376122e-07,0.0,0.0
1829,6.515613648616636e-08,0.0,0.0
1830,1.1480519646056564e-07,0.0,0.0
1831,1.2472965238430334e-07,0.0,0.0
1832,4.8707889277466165e-08,0.0,0.0
1833,1.0077756940063409e-07,0.0,0.0
1834,1.540197587246439e-07,0.0,0.0
1835,7.411826175030001e-08,0.0,0.0
1836,5.8470526198561856e-08,0.0,0.0
1837,8.349469027280065e-08,0.0,0.0
1838,7.763959075646198e-08,0.0,0.0
1839,5.872839281551023e-08,0.0,0.0
1840,7.38883869644269e-08,0.0,0.0
1841,7.897274656443187e-08,0.0,0.0
1842,1.348361280406607e-07,0.0,0.0
1843,8.505951853976512e-08,0.0,0.0
1844,8.013299179765454e-08,5.488561272137815e-10,0.0
1845,1.1160455670733427e-07,0.0,0.0
1846,1.364098807243863e-07,0.0,0.0
1847,9.815666857093674e-08,0.0,0.0
1848,5.873011943435813e-08,0.0,0.0
1849,1.3155681699572597e-07,0.0,0.0
1850,1.0658723681444826e-07,0.0,0.0
1851,6.900899762740664e-08,0.0,1.2898877521649865e-09
1852,1.0612188816594426e-07,0.0,0.0
1853,8.659301187208257e-08,0.0,1.1943863675867306e-09
1854,7.741540031247496e-08,0.0,0.0
1855,8.17268315245201e-08,0.0,0.0
1856,6.678573782892272e-08,0.0,0.0
1857,1.1422731205357195e-07,9.763018171682347e-10,0.0
1858,7.634134391309999e-08,0.0,0.0
1859,6.568903643255908e-08,5.092173349652285e-10,1.5276520048956854e-09
1860,1.0069804545764782e-07,0.0,1.373155145145688e-09
1861,9.997842909115207e-08,4.715963730639317e-10,1.4147891747029462e-09
1862,9.48777127973699e-08,0.0,0.0
1863,6.04349139621263e-08,0.0,1.4983863039219614e-09
1864,9.014088675485254e-08,0.0,4.794727948009836e-10
1865,6.024760779155258e-08,4.706844358715045e-10,0.0
1866,6.519920958680814e-08,4.865612912574591e-10,1.4596839292835284e-09
1867,9.268870115874961e-08,4.85281148598915e-10,1.94112459439566e-09
1868,4.989272639477349e-08,0.0,0.0
1869,7.276443625414686e-08,0.0,0.0
1870,7.11022067889644e-08,0.0,0.0
1871,3.717412155879174e-08,0.0,0.0
1872,7.740594298866199e-08,0.0,0.0
1873,7.362785225950574e-08,0.0,0.0
1874,7.468261742360482e-08,5.974609140757536e-10,0.0
1875,5.664312041631092e-08,0.0,0.0
1876,6.892457093954363e-08,0.0,0.0
