year,trop_ADV en_ADP,trop_ADV dans_ADP
1800,1.4085857173995464e-06,9.369610438625386e-07
1801,1.7382633359375177e-06,1.076294552149193e-06
1802,1.4232663261282141e-06,7.631034577570972e-07
1803,1.7045964568751515e-06,1.0434314390295185e-06
1804,1.9774806787609123e-06,1.1716573453668389e-06
1805,1.862084900494665e-06,1.0945078656732221e-06
1806,1.4379528465724434e-06,7.204172902675055e-07
1807,1.204262048304372e-06,7.743718128949695e-07
1808,1.559058887323772e-06,7.704651352469227e-07
1809,1.6445742403448094e-06,1.0798165703818086e-06
1810,1.5725652247056132e-06,1.076458261195512e-06
1811,1.2560454933918663e-06,7.546300935246109e-07
1812,1.256255131920625e-06,8.001624678399821e-07
1813,1.2394446002872428e-06,1.202060047944542e-06
1814,1.3436310837278143e-06,7.489091444767837e-07
1815,1.2083561387044028e-06,8.010753731468867e-07
1816,1.2885877822554903e-06,8.181141879504139e-07
1817,1.6549564634260605e-06,8.609509904999868e-07
1818,1.6761175629653735e-06,9.906498235068284e-07
1819,1.2431611366992001e-06,7.856447155063506e-07
1820,1.4975498743297067e-06,9.516917884866416e-07
1821,1.4466803577306564e-06,1.196198581965291e-06
1822,1.6221446230701986e-06,8.281158443423919e-07
1823,1.3549163213610882e-06,8.340987847077486e-07
1824,1.445905013497395e-06,8.665325026413484e-07
1825,1.6202014876398607e-06,1.0152675713470671e-06
1826,1.4577213960365043e-06,8.085729632512084e-07
1827,1.3070093700662255e-06,7.705640427957405e-07
1828,1.3327353372005746e-06,8.548584560230665e-07
1829,1.5243107327478356e-06,9.619103593649925e-07
1830,1.2691192523561767e-06,7.61888998113136e-07
1831,1.2535330142782186e-06,7.2810934170775e-07
1832,1.7101881439884892e-06,8.442700618616072e-07
1833,1.2209144415464834e-06,7.575692961836467e-07
1834,1.2900321735287434e-06,7.45829026982392e-07
1835,1.340935455118597e-06,7.101739356585313e-07
1836,1.3018093341088388e-06,7.728862669864611e-07
1837,1.2510288343037246e-06,8.342511250702955e-07
1838,1.3533275478039286e-06,7.991196753209806e-07
1839,1.3004143966099946e-06,7.131304755603196e-07
1840,1.3166146572984871e-06,8.439837415608054e-07
1841,1.1890855375895626e-06,6.895668889228546e-07
1842,1.1692505950122722e-06,7.171135507633153e-07
1843,1.1996936564173666e-06,7.944795470393728e-07
1844,1.1427184745116392e-06,7.13512974925834e-07
1845,1.2689438335655723e-06,6.305657507255091e-07
1846,1.3037974895269144e-06,7.815759204277128e-07
1847,1.0818806686074822e-06,6.709170179419743e-07
1848,1.1931064136661007e-06,5.977599926154653e-07
1849,1.1278692682026303e-06,7.373885182460072e-07
1850,1.0658724249879015e-06,6.273032226999931e-07
1851,1.040294478116266e-06,8.422966857324354e-07
1852,1.1699449942170759e-06,7.050920771689562e-07
1853,1.1985666787950322e-06,7.930725587357301e-07
1854,1.4189359944793978e-06,7.829866603970004e-07
1855,1.2195341696497053e-06,8.501713182340609e-07
1856,1.2725531632895581e-06,8.521653285242792e-07
1857,1.2916473224322544e-06,7.854347927604977e-07
1858,1.637424020373146e-06,8.010947567527182e-07
1859,1.4894607147653005e-06,9.420520541425503e-07
1860,1.376359250571113e-06,8.756152851674415e-07
1861,1.3445212516671745e-06,8.738680890019168e-07
1862,1.3517815204977524e-06,8.471224077766237e-07
1863,1.3475487321557011e-06,9.324957090939279e-07
