year,beaucoup_ADV écrit_VERB,beaucoup_ADV ecrit_VERB,beaucoup_ADV décrit_VERB
1800,7.388786684714432e-07,9.432493897065797e-09,0.0
1801,4.619494120561285e-07,2.3811825844433088e-09,0.0
1802,6.310709181889251e-07,1.3427040812530322e-08,0.0
1803,6.33860224752425e-07,1.950339223455444e-09,0.0
1804,7.885204240665189e-07,0.0,0.0
1805,5.600468853117491e-07,0.0,0.0
1806,5.965055152046261e-07,0.0,0.0
1807,6.149422802081972e-07,2.8469551160981155e-09,0.0
1808,5.597202630269749e-07,0.0,1.3596443970698147e-08
1809,5.489443992701126e-07,2.259030518203531e-09,1.8072244145628247e-08
1810,5.990724503135425e-07,2.3401267590372754e-09,9.360507036149102e-09
1811,6.016984457346553e-07,0.0,0.0
1812,5.947874228695582e-07,8.00162425207418e-09,0.0
1813,8.425923283539305e-07,0.0,0.0
1814,6.796822731303109e-07,0.0,0.0
1815,6.608197509194724e-07,0.0,0.0
1816,5.956242148386082e-07,4.6352077731626196e-09,0.0
1817,5.776000193691289e-07,0.0,0.0
1818,6.0440368088166e-07,1.1921177378582115e-09,0.0
1819,4.388845127323293e-07,3.1053151161586356e-09,0.0
1820,5.031387786402775e-07,1.1866481131050932e-09,0.0
1821,6.76498075335985e-07,3.94459531705138e-09,0.0
1822,5.84493420774379e-07,0.0,0.0
1823,5.504656428456656e-07,2.9648061783404955e-09,0.0
1824,4.7158232518995646e-07,8.421112696055388e-10,0.0
1825,7.63431899031275e-07,0.0,0.0
1826,5.108631171424349e-07,8.807984341885344e-10,0.0
1827,5.244628482614644e-07,0.0,0.0
1828,4.1642246628725843e-07,2.7516904310687096e-09,0.0
1829,5.889771728107007e-07,5.143905745796928e-09,0.0
1830,4.039055454541085e-07,0.0,0.0
1831,4.989186095372133e-07,0.0,0.0
1832,5.425517883850262e-07,1.3529969367098715e-09,0.0
1833,4.911458404421865e-07,0.0,5.791814139399776e-09
1834,3.929837646410306e-07,9.334530925997342e-10,0.0
1835,5.195841481508978e-07,7.563087933704082e-10,6.050470346963266e-09
1836,4.973355203219398e-07,6.720750067579218e-10,0.0
1837,5.587186251432286e-07,0.0,0.0
1838,4.3743281707975257e-07,1.8936485712828244e-09,0.0
1839,5.278564003674546e-07,3.4957374772659477e-09,0.0
1840,5.49067181054852e-07,6.369688665408546e-10,0.0
1841,5.573036219175265e-07,6.420548537278137e-10,0.0
1842,5.004365561944724e-07,0.0,0.0
1843,4.843666943088465e-07,1.1813822142769936e-09,0.0
1844,5.883737799194932e-07,5.488561272137815e-10,2.7442805805577564e-09
1845,5.178451374376891e-07,0.0,0.0
1846,5.585194458035403e-07,0.0,0.0
1847,5.932545832365577e-07,1.6179670936367074e-09,0.0
1848,4.545550211787486e-07,0.0,0.0
1849,4.4159517642583523e-07,5.865590679832167e-09,0.0
1850,4.528260433289688e-07,6.788996032014438e-10,6.788996032014438e-10
1851,5.391730724113586e-07,0.0,0.0
1852,5.260520765659749e-07,0.0,0.0
1853,6.16900535987952e-07,0.0,1.1943863675867306e-09
1854,4.899511623079889e-07,1.0391328908454511e-09,1.0391328908454511e-09
1855,5.015055535295687e-07,1.0613874223963649e-09,2.1227748447927297e-09
1856,5.958945052952913e-07,0.0,6.73034605824796e-09
1857,4.159045658980176e-07,0.0,0.0
1858,5.314532245392911e-07,0.0,0.0
1859,4.842656835535308e-07,0.0,0.0
1860,5.542969461203029e-07,0.0,2.746310290291376e-09
1861,5.786487236036919e-07,0.0,0.0
1862,4.987857096239168e-07,4.517986262886353e-10,3.162590411776023e-09
