year,beaucoup_ADV étendu_VERB,beaucoup_ADV détendu_VERB
1800,3.2699310281714133e-07,0.0
1801,2.0478169915350009e-07,0.0
1802,1.6783801015662903e-07,0.0
1803,1.9308357934733067e-07,0.0
1804,2.0516363008482585e-07,0.0
1805,2.4164461365216994e-07,0.0
1806,1.7001848107156547e-07,0.0
1807,1.7366426163789583e-07,0.0
1808,5.937113769505231e-07,0.0
1809,1.7394535234416253e-07,0.0
1810,1.778496283577624e-07,0.0
1811,1.855236746450828e-07,0.0
1812,1.9470620316042186e-07,0.0
1813,3.2208305356107303e-07,0.0
1814,1.4789382873914292e-07,0.0
1815,1.7531952778426785e-07,0.0
1816,2.248075787747439e-07,0.0
1817,2.0706416137272754e-07,0.0
1818,1.2517236314124602e-07,0.0
1819,1.1593176196811328e-07,0.0
1820,1.4121113167675503e-07,0.0
1821,1.0354562363090736e-07,0.0
1822,1.0326384369818697e-07,0.0
1823,1.2452186126665765e-07,0.0
1824,1.2547458538847422e-07,0.0
1825,1.7434777532798762e-07,0.0
1826,8.455664612938563e-08,0.0
1827,1.1060727445055818e-07,0.0
1828,2.008734014680158e-07,0.0
1829,1.783220682227693e-07,0.0
1830,1.4402833414806082e-07,0.0
1831,1.340843738262265e-07,0.0
1832,8.794479811058409e-08,0.0
1833,9.730248251571538e-08,0.0
1834,1.1854854164994322e-07,0.0
1835,9.075705520444899e-08,0.0
1836,5.779845224651581e-08,0.0
1837,6.470838798122713e-08,0.0
1838,3.787297231383491e-08,0.0
1839,7.690622538802927e-08,0.0
1840,7.134051571711097e-08,0.0
1841,1.046549442662581e-07,0.0
1842,8.251166150330391e-08,0.0
1843,9.391988697871057e-08,0.0
1844,1.0318495213823553e-07,0.0
1845,8.202935219969731e-08,0.0
1846,7.786486833083472e-08,0.0
1847,7.981971350545791e-08,0.0
1848,9.654266364123032e-08,0.0
1849,3.016589289472904e-08,0.0
1850,7.87523504186538e-08,0.0
1851,7.739326690625603e-08,0.0
1852,8.203286938623933e-08,0.0
1853,6.151089593231518e-08,0.0
1854,5.0397943596180994e-08,0.0
1855,8.544168395019369e-08,0.0
1856,7.506924504241397e-08,0.0
1857,4.5886185517929334e-08,0.0
1858,3.229826006645453e-08,0.0
1859,6.823512421760825e-08,0.0
1860,5.858795404378725e-08,0.0
1861,5.32903889904901e-08,0.0
1862,7.680576885604751e-08,0.0
1863,6.99246882618354e-08,0.0
1864,6.952355846578939e-08,0.0
1865,4.8009813014004976e-08,0.0
1866,4.6223323835192787e-08,0.0
1867,8.249779170910188e-08,0.0
1868,7.113418831750096e-08,3.951899252285784e-09
1869,6.25090450512289e-08,0.0
1870,6.364793847524197e-08,0.0
1871,4.6733180880664804e-08,0.0
1872,8.889588798410841e-08,0.0
1873,8.021245889722195e-08,0.0
1874,5.855116924635695e-08,0.0
1875,8.296214559777582e-08,0.0
1876,4.5949711591219966e-08,0.0
1877,5.257093604882357e-08,0.0
1878,5.254007007238215e-08,0.0
1879,3.9099681714560575e-08,0.0
1880,4.1074216028391675e-08,0.0
1881,7.111957955885373e-08,0.0
1882,5.124646662579835e-08,2.6621540527571597e-09
1883,4.802697617378726e-08,0.0
1884,5.2813575734944607e-08,0.0
1885,3.3517306263775026e-08,0.0
1886,6.969740695694782e-08,2.5813855497602844e-09
1887,5.549586035158427e-08,0.0
1888,4.7554610915767626e-08,0.0
1889,5.200063668553412e-08,0.0
1890,4.3258950199742685e-08,1.9663159989136147e-09
1891,6.055508805502541e-08,0.0
1892,5.014809900671935e-08,0.0
1893,3.94138659487453e-08,0.0
1894,5.734400687629204e-08,0.0
1895,5.416752912879019e-08,0.0
1896,6.958494225273171e-08,0.0
1897,5.127508018176741e-08,0.0
1898,6.450524381307332e-08,0.0
1899,3.4823742112166656e-08,0.0
1900,3.7894686499839736e-08,0.0
1901,3.688567673520993e-08,0.0
1902,3.780918689244572e-08,0.0
1903,3.726151831529023e-08,0.0
1904,5.5896101969210576e-08,0.0
1905,2.2191263937543226e-08,0.0
1906,2.006231980544726e-08,0.0
1907,3.188563013623025e-08,0.0
1908,3.094175227147389e-08,0.0
1909,3.5206294768386215e-08,0.0
1910,4.8631772386897865e-08,0.0
1911,3.511446777793026e-08,0.0
1912,3.854971808436858e-08,0.0
1913,3.181793672979438e-08,0.0
1914,4.553785615257766e-08,0.0
1915,1.767114277129167e-08,0.0
1916,3.29623865980011e-08,0.0
1917,2.1932848426331475e-08,0.0
1918,3.790504266021344e-08,0.0
1919,5.893022958503025e-08,0.0
1920,2.8017257847068322e-08,0.0
1921,3.483463828501954e-08,0.0
