troisDETouvertsADJ_count,troisDETcouvertsADJ_count
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.9999999281192373,0
0.0,0
0.0,0
0.0,0
0.0,0
0.99999996845855,0
0.9999999781800688,0
0.0,0
0.0,0
0.0,0
1.9999999694680464,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000323267804,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9999999821341166,0
0.0,0
0.0,0
8.000000026562436,0
4.000000095901106,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
5.999999965296986,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000063425816,0
1.000000034657932,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
3.000000164821414,0
3.9999999041369176,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9999999983202508,0
10.999999882622474,0
3.000000161737919,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
2.999999894100183,0
0.9999999725677104,0
0.0,0
2.999999800247826,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000339251622,0
4.000000142336843,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9999999759833418,0
1.9999999841426872,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.9999999728448614,0
1.0000000035113643,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
4.0000000650815295,0
0.0,0
0.0,0
0.999999993875262,0
0.0,0
0.0,0
1.0000000203859956,0
0.0,0
0.0,0
4.999999995079752,0
0.9999999754274316,0
0.0,0
0.0,0
1.9999999217407494,0
0.0,0
0.0,0
1.9999999402357584,0
0.0,0
0.0,0
1.0000000248111243,0
1.0000000088054632,0
0.0,0
0.0,0
0.0,0
0.9999999862747153,0
0.0,0
3.9999998255638434,0
1.999999961539685,0
0.0,0
1.0000000033983831,0
0.0,0
0.999999962028313,0
0.9999999575505208,0
0.0,0
0.9999999876667732,0
0.0,0
1.0000000293982834,0
0.9999999474258631,0
1.0000000194921719,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0000000215256117,0
0.0,0
1.999999916298831,0
0.0,0
0.9999999982919884,0
0.0,0
1.0000000411198886,0
2.000000027100247,0
3.0000000313930273,0
2.0000000048631557,0
0.9999999571843041,0
1.0000000430417737,0
1.0000000418949462,0
