year,trop_ADV échauffer_VERB,trop_ADV réchauffer_VERB
1800,7.860410988769218e-08,0.0
1801,5.9529565277216534e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,3.705644502360883e-08,0.0
1804,3.460591457837836e-08,0.0
1805,4.8328921309348516e-08,0.0
1806,2.0171682990621775e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,9.064295980465431e-09,0.0
1809,3.162642769893864e-08,0.0
1810,2.106114038724627e-08,0.0
1811,7.521229861140455e-09,0.0
1812,1.0668832928217853e-08,0.0
1813,2.0130190847567064e-08,0.0
1814,0.0,0.0
1815,4.5852800667489646e-08,0.0
1816,3.7081662185300956e-08,0.0
1817,1.401186100480345e-08,0.0
1818,2.384235386898581e-08,0.0
1819,2.898294049202832e-08,0.0
1820,2.254631326081835e-08,0.0
1821,1.0847637454958203e-08,0.0
1822,2.7069162911175226e-08,0.0
1823,2.9648060007048116e-08,0.0
1824,1.2631669044083083e-08,0.0
1825,2.0252519661312363e-08,0.0
1826,1.0569580766173203e-08,0.0
1827,2.7651818612639545e-09,0.0
1828,6.420610709767516e-09,0.0
1829,1.1145129263923081e-08,0.0
1830,5.218417697960831e-09,0.0
1831,1.7150327380477393e-08,0.0
1832,2.0294953273491956e-08,0.0
1833,6.950177322551099e-09,0.0
1834,6.534171426153534e-09,0.0
1835,1.2100940693926532e-08,0.0
1836,1.8146025126952736e-08,0.0
1837,1.3219993100221927e-08,0.0
1838,9.468243078458727e-09,0.0
1839,1.4682098203877558e-08,0.0
1840,8.280594876453051e-09,0.0
1841,7.704658244733764e-09,0.0
1842,8.049918065466954e-09,4.024959032733477e-09
1843,1.9492807368237663e-08,1.7720733769266417e-09
1844,7.683985892015244e-09,0.0
1845,1.3392547515422848e-08,0.0
1846,8.781752214304106e-09,0.0
1847,3.775256551818984e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,5.02764896381791e-09,8.379414939696517e-10
1850,9.504594444820214e-09,0.0
1851,5.8044946626978344e-09,0.0
1852,3.906327261660181e-09,0.0
1853,1.5527023222716707e-08,0.0
1854,1.1950028522278444e-08,1.0391328908454511e-09
1855,6.368324534378189e-09,0.0
1856,1.0354378687793542e-08,0.0
1857,4.881508974818871e-09,0.0
1858,7.829881631948865e-09,1.468102750479261e-09
1859,3.5645213447565993e-09,2.036869339860914e-09
1860,6.408057640072684e-09,9.154367819341758e-10
1861,1.4619487842537637e-08,9.431927461278633e-10
1862,1.490935552794781e-08,0.0
1863,1.4983863039219614e-08,0.0
1864,3.3563094525845827e-09,1.9178911792039344e-09
1865,9.88437331983505e-09,0.0
1866,1.6543083347642096e-08,4.865612912574591e-10
1867,3.88224918879132e-09,0.0
1868,2.9639244392143382e-09,0.0
1869,3.4184632902167778e-09,0.0
1870,5.734048791339319e-09,5.734048791339319e-10
1871,9.559059321873065e-09,1.0621177271019633e-09
1872,6.047339295989218e-10,0.0
1873,4.190203295451056e-09,0.0
1874,6.572069999322139e-09,0.0
1875,8.010138330405425e-09,2.8607636259891933e-09
1876,6.650616057868319e-09,6.04601479992084e-10
1877,5.566334504436554e-09,0.0
1878,2.4156354694326865e-09,0.0
1879,6.10932526790009e-10,0.0
1880,3.2089231272180996e-09,0.0
1881,2.7890030285249168e-09,0.0
1882,6.655385131892899e-09,0.0
1883,3.791603475633565e-09,6.319338941018771e-10
1884,1.3203393933736152e-09,0.0
1885,9.023890079618013e-09,2.5782542767416317e-09
1886,1.2906927748801422e-09,0.0
1887,7.834709769838355e-09,0.0
1888,1.9021844099853524e-09,0.0
1889,6.265136853755848e-09,0.0
1890,2.6217545912032847e-09,0.0
1891,2.5496880162734215e-09,0.0
1892,3.761107425503951e-09,6.268512375839919e-10
1893,1.1085149687062312e-08,6.158416554491453e-10
1894,1.2603078580752936e-09,0.0
1895,1.444467478961542e-08,0.0
1896,5.307326134129653e-09,0.0
1897,1.7480140668268973e-09,0.0
1898,5.092519295146758e-09,0.0
1899,1.6582735185011188e-09,0.0
1900,4.671947717582725e-09,1.5573159428683425e-09
1901,3.353243460679778e-09,0.0
1902,2.9461704187383475e-09,0.0
1903,5.400220270956879e-10,1.0800440541913758e-09
1904,1.0749250378694342e-09,1.6123875568041512e-09
1905,3.096455536422127e-09,0.0
1906,0.0,0.0
1907,5.65712765521198e-09,0.0
1908,6.384805573134145e-09,0.0
1909,2.2003934230241384e-09,0.0
1910,3.740905363258662e-09,0.0
1911,1.0640748282497725e-09,0.0
1912,6.772247651554153e-09,0.0
1913,3.181793939432964e-09,0.0
1914,6.696743715117748e-10,0.0
1915,1.1780761921542648e-09,0.0
1916,5.493730803607377e-09,0.0
1917,2.1932848870420685e-09,0.0
1918,0.0,0.0
1919,2.762354567309444e-09,0.0
1920,7.572231730534895e-10,0.0
1921,4.543648568500203e-09,0.0
1922,3.6889677978990676e-09,0.0
1923,3.1847844361720945e-09,0.0
1924,6.445812328337297e-09,0.0
1925,0.0,2.1996355847875293e-09
1926,4.458455382660986e-09,0.0
1927,0.0,0.0
1928,1.1426041224282812e-09,0.0
