year,trop_ADV emporter_VERB
1800,3.772997558826319e-08
1801,9.524730337773235e-09
1802,8.951360541686881e-09
1803,3.1205427575287104e-08
1804,9.887403784603066e-09
1805,0.0
1806,1.4408345627714425e-08
1807,5.124519120158766e-08
1808,5.4385775882792586e-08
1809,1.129515236897305e-08
1810,5.3822915901946544e-08
1811,5.515568801683912e-08
1812,6.668020802180763e-08
1813,2.8757416448144113e-09
1814,6.293354282149721e-09
1815,0.0
1816,7.416332437060191e-08
1817,1.8682481339737933e-08
1818,2.5034472272977837e-08
1819,6.83169290027763e-08
1820,1.6613073583471305e-08
1821,5.1279737789400315e-08
1822,2.7069162911175226e-08
1823,2.9648060007048116e-08
1824,2.947389532437228e-08
1825,4.0505039322624725e-08
1826,3.170874407487645e-08
1827,3.041700225026034e-08
1828,3.118582370120748e-08
1829,3.3435387791769244e-08
1830,5.218417697960831e-09
1831,7.016042502527853e-08
1832,2.705993829010822e-08
1833,1.6217079235048004e-08
1834,2.8003592333902816e-08
1835,3.479020449503878e-08
1836,4.368487438455304e-08
1837,1.3219993100221927e-08
1838,2.2723781967215473e-08
1839,1.957613093850341e-08
1840,3.3122379505812205e-08
1841,2.1829865914924085e-08
1842,1.6770663080478698e-08
1843,4.6073907356003474e-08
1844,1.0977122322231025e-08
1845,2.3436957263811564e-08
1846,2.4588905134237393e-08
1847,2.3190860787281053e-08
1848,4.82713291560799e-09
1849,1.256912263158938e-08
1850,1.0862393651223101e-08
1851,2.1283147688677673e-08
1852,1.8880582430824688e-08
1853,1.7318601663873778e-08
1854,8.832629738719788e-09
1855,2.0697054736729115e-08
1856,1.8120163147727908e-08
1857,1.6597130780837688e-08
1858,1.3702292633865909e-08
1859,1.476730293603623e-08
1860,1.6020143434047895e-08
1861,9.903524222920623e-09
1862,1.671654992208005e-08
1863,1.1487627737949424e-08
1864,1.2945765348604255e-08
1865,1.3179164426446732e-08
1866,6.3252967308358166e-09
1867,8.73506067478047e-09
1868,3.457911734727759e-09
1869,1.3673853160867111e-08
1870,1.490852596930381e-08
1871,7.434824311758348e-09
1872,2.116568786902917e-08
1873,1.7958013742713774e-08
1874,1.4339061493728877e-08
1875,1.0298748520654044e-08
1876,9.069021977836655e-09
1877,1.1132669008873108e-08
1878,1.6305540029293297e-08
1879,1.0385853066452455e-08
1880,5.776061406947974e-09
1881,2.022027167924989e-08
1882,1.7304001787010748e-08
1883,5.0554711528150165e-09
1884,7.2618666635548834e-09
1885,4.511945039809007e-09
1886,7.098810428374236e-09
1887,1.9586774424595887e-09
1888,8.242799331981132e-09
1889,3.759081934617825e-09
1890,5.898947996740844e-09
1891,5.736798147637501e-09
1892,8.775916882086676e-09
1893,3.079208221734575e-09
1894,6.9316934414587195e-09
