year,trop_ADV apporter_VERB,trop_ADV rapporter_VERB
1800,3.458580977167003e-08,0.0
1801,0.0,0.0
1802,1.7902721083373763e-08,0.0
1803,4.095712213825209e-08,0.0
1804,3.460591457837836e-08,2.4718509905596875e-08
1805,2.55858996212055e-08,0.0
1806,5.4751712497136396e-08,8.645007376628655e-09
1807,2.2775640928784924e-08,0.0
1808,2.2660739951163578e-09,0.0
1809,4.292158095609011e-08,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,0.0
1817,1.71256075987003e-08,0.0
1818,0.0,0.0
1819,2.070209959015301e-08,0.0
1820,1.1866481131050932e-09,1.1866481131050932e-09
1821,2.5639868894700157e-08,0.0
1822,6.015369535816717e-09,1.4035862250239006e-08
1823,1.680056804787e-08,0.0
1824,4.210556348027694e-09,0.0
1825,3.434122675116669e-08,3.522177216552791e-09
1826,1.4092774947016551e-08,0.0
1827,1.2904182611350734e-08,0.0
1828,9.172301140836225e-09,1.4675682002973645e-08
1829,1.3717081692732336e-08,8.57317605795771e-10
1830,1.3567886369969528e-08,0.0
1831,3.1182412207897414e-09,0.0
1832,5.411987746839486e-09,0.0
1833,1.6217079235048004e-08,0.0
1834,2.8003592777992026e-09,0.0
1835,1.0588323107185715e-08,7.563087933704082e-10
1836,1.8818100855355624e-08,0.0
1837,2.0177884252348122e-08,0.0
1838,9.468243078458727e-09,0.0
1839,4.894032734625853e-09,1.11863602825224e-08
1840,5.095750932326837e-09,1.7198159341091923e-08
1841,1.6051371787284552e-08,6.420548537278137e-09
1842,1.6770663080478698e-08,0.0
1843,1.7130041385371442e-08,5.906911071384968e-10
1844,4.9397050894128824e-09,4.390849017710252e-09
1845,6.696273757711424e-09,5.580227946389016e-10
1846,1.7563503984519002e-09,0.0
1847,9.707802561820245e-09,4.314578916364553e-09
