year,beaucoup_ADV aller_VERB
1800,0.0
1801,2.3811825844433088e-09
1802,1.7902721083373763e-08
1803,0.0
1804,4.943701892301533e-09
1805,2.842877711017877e-09
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,2.8081521108447305e-08
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,9.270415546325239e-09
1817,7.784366928831332e-09
1818,7.152706427149269e-09
1819,6.210630232317271e-09
1820,0.0
1821,8.875339574387908e-09
1822,1.0025615893027862e-09
1823,0.0
1824,1.2631669044083083e-08
1825,2.641632912414593e-09
1826,1.0569580766173203e-08
1827,3.6869092223668076e-09
1828,1.8344602503717056e-09
1829,1.3717081692732336e-08
1830,5.218417697960831e-09
1831,4.677361609140007e-09
1832,6.764984572527055e-09
1833,5.791814139399776e-09
1834,1.213489042584115e-08
1835,7.563087933704082e-10
1836,9.409050427677812e-09
1837,7.653680356156656e-09
1838,1.2624323808552163e-09
1839,0.0
1840,1.9109065441114126e-09
1841,1.926164561183441e-09
1842,2.683306021822318e-09
1843,5.906911071384968e-10
1844,4.9397050894128824e-09
1845,2.7901139176833567e-09
1846,1.5807152919933287e-08
1847,1.6179670936367074e-09
1848,1.126331028444838e-08
1849,8.379414939696517e-10
1850,1.1541293254424545e-08
1851,4.514607354622058e-09
1852,5.859490670445666e-09
1853,4.777545470346922e-09
1854,9.871762074453727e-09
1855,1.5920811335945473e-09
1856,4.141751386299575e-09
1857,2.4407544874094356e-09
1858,7.829881631948865e-09
1859,2.5460866748261424e-09
1860,7.781213007262977e-09
1861,8.960331143725853e-09
1862,4.517986262886353e-10
1863,5.9935452156878455e-09
1864,1.0068928801842958e-08
1865,4.706844247692743e-09
1866,3.8924903300596725e-09
1867,2.426405742994575e-09
1868,4.44588676984381e-09
1869,1.953407657850903e-09
1870,4.587239033071455e-09
1871,1.274541272522356e-08
1872,9.071008832961525e-09
1873,2.0352414864532875e-08
1874,1.4936523129449597e-08
1875,8.010138330405425e-09
1876,7.859819461941697e-09
1877,6.80329748092845e-09
1878,3.6234530931267273e-09
1879,1.832797580370027e-09
1880,8.343199908722454e-09
1881,1.324776466304911e-08
1882,1.9966155395678697e-09
1883,1.8958017378167824e-09
1884,5.941527270181268e-09
1885,7.090199094506033e-09
1886,1.871504551331782e-08
1887,4.570247291724172e-09
1888,4.4384300679212174e-09
1889,2.5060546970934183e-09
1890,6.554386366985909e-09
1891,1.211101796627645e-08
1892,3.761107425503951e-09
1893,2.463366621796581e-09
1894,1.071261657159539e-08
1895,1.023164486468886e-08
1896,1.1204354777305525e-08
1897,4.661370844871726e-09
1898,8.487532454637403e-09
1899,9.949641111006713e-09
1900,9.863001082521805e-09
1901,2.235495566438317e-09
1902,8.347482705062248e-09
1903,1.6200660368781428e-08
1904,3.2247751136083025e-09
1905,2.0643036169332163e-09
1906,4.629765903985117e-09
1907,5.142843484406967e-09
1908,3.929111258571538e-09
1909,7.151278680339601e-09
1910,1.2825961626106164e-08
1911,1.5961122423746588e-09
1912,8.335073964360618e-09
1913,9.015082902408267e-09
1914,2.0090231700464756e-09
1915,0.0
1916,1.2086208478478966e-08
1917,5.483212106582869e-09
1918,1.1486376294556067e-09
1919,1.8415696745321952e-09
1920,3.786115865267448e-09
1921,2.120369302360814e-08
1922,5.902348387820666e-09
1923,9.554353752605493e-09
1924,2.1915761649893284e-08
1925,1.2097995494286806e-08
1926,7.802296586589819e-09
1927,1.0034302277972529e-08
1928,6.8556245125250825e-09
1929,6.684243825105796e-09
1930,1.995684684175103e-08
1931,4.5621426636444085e-09
1932,9.863582839386709e-09
1933,2.2941324395731044e-09
1934,1.3179738189705859e-08
1935,7.180970484910176e-09
1936,8.487299751891442e-09
1937,2.2664012888640173e-08
1938,9.075650453382877e-09
1939,1.3764645423464117e-08
1940,5.0715658339584024e-09
1941,2.6563522936839945e-08
1942,9.102635090130207e-09
1943,2.322588166236983e-08
1944,9.639558484764166e-09
1945,1.742803235060819e-08
1946,4.1763312808029696e-09
1947,7.152522574216391e-09
1948,7.610321262063735e-09
1949,1.9634017078828947e-08
1950,9.571825110299415e-09
1951,8.529121409139861e-09
1952,5.272402070488624e-09
1953,1.0773827163745864e-08
