year,trop_ADV entrer_VERB,trop_ADV rentrer_VERB
1800,6.288328968651058e-09,0.0
1801,0.0,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,1.4234775136401367e-08,0.0
1808,0.0,0.0
1809,9.036122072814123e-09,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,9.341240669868967e-09,0.0
1818,1.3113295338484932e-08,8.344824387052086e-09
1819,4.0369094733705424e-08,0.0
1820,2.3732962262101864e-09,0.0
1821,6.903041693817613e-09,9.86148829262845e-10
1822,1.1028177482330648e-08,1.0025615893027862e-09
1823,7.906149512848515e-09,5.929612356680991e-09
1824,2.6947560627377243e-08,1.6842225392110777e-09
1825,3.522177216552791e-09,0.0
1826,1.76159691278599e-08,8.807984341885344e-10
1827,6.452091305675367e-09,0.0
1828,3.210305266065916e-08,1.8344602503717056e-09
1829,3.429270423183084e-09,5.143905745796928e-09
1830,8.349468672008697e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,0.0
1833,4.6334514003376626e-09,0.0
1834,8.401078055442213e-09,4.667265685043276e-09
1835,1.0588323107185715e-08,0.0
1836,1.344150035720304e-08,3.36037508930076e-09
1837,1.461157062010443e-08,2.0873671680021744e-09
1838,5.049729523420865e-09,1.2624323808552163e-09
1839,1.2584655095793096e-08,6.9914751765765e-10
1840,1.8472096741106725e-08,5.095750932326837e-09
1841,1.1556987367100646e-08,5.1364388298225094e-09
1842,1.475818312002275e-08,6.708265054555795e-10
1843,1.063243981747064e-08,5.906911071384968e-10
1844,2.085653250105679e-08,4.390849017710252e-09
1845,1.562463758375543e-08,3.348136878855712e-09
1846,8.196302303531411e-09,5.854501328173001e-10
1847,7.011190739092399e-09,1.0786447290911383e-09
1848,9.65426583121598e-09,8.045221711050488e-10
1849,7.54147322368226e-09,2.513824481908955e-09
1850,5.431196825611551e-09,0.0
1851,1.1608989325395669e-08,6.449438760824933e-10
1852,9.765818376195057e-09,0.0
1853,6.569124799682413e-09,0.0
1854,2.286092382064453e-08,0.0
1855,9.021793090369101e-09,3.714855978387277e-09
1856,2.0708756931497874e-09,1.0354378465748937e-09
1857,3.026535466688074e-08,0.0
1858,2.202154192332273e-08,9.787352039936081e-10
1859,5.092173349652285e-09,3.055304009791371e-09
1860,1.2816115280145368e-08,9.154367819341758e-10
1861,8.960331143725853e-09,9.431927461278633e-10
1862,4.066187830886747e-09,0.0
1863,9.989241434027463e-09,4.994620828036034e-10
1864,6.233146443435089e-09,4.794727948009836e-10
1865,1.3179164426446732e-08,0.0
1866,9.244664589402873e-09,9.731225825149181e-10
1867,1.164674756637396e-08,4.85281148598915e-10
1868,8.89177353968762e-09,0.0
1869,1.2208797528501236e-08,0.0
1870,1.1468097582678638e-08,0.0
1871,2.1242354542039266e-09,0.0
