year,trop_ADV entré_VERB,trop_ADV rentré_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,9.887403784603066e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,3.9530747564242574e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,9.217273055917019e-10
1828,0.0,0.0
1829,8.573175946935407e-09,0.0
1830,0.0,1.0436835840010872e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,1.3529969367098715e-09
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,4.032449929525228e-09,0.0
1837,2.0873671680021744e-09,3.478945576063097e-09
1838,1.2624323808552163e-09,0.0
1839,0.0,6.9914751765765e-10
1840,0.0,6.369688665408546e-10
1841,0.0,0.0
1842,2.0124794275488966e-08,0.0
1843,2.953455480181333e-09,0.0
1844,0.0,7.1351298203126134e-09
1845,5.580227946389016e-10,0.0
1846,1.1709002656346001e-09,1.7563503984519002e-09
1847,0.0,4.853901280910122e-09
1848,0.0,0.0
1849,6.703531951757213e-09,0.0
1850,0.0,6.788996032014438e-10
1851,1.2898877521649865e-09,0.0
1852,0.0,1.3021090872200602e-09
1853,1.5527023222716707e-08,1.7915795513800958e-09
1854,0.0,0.0
1855,2.1227748447927297e-09,1.0613874223963649e-09
1856,2.5885946719483854e-09,0.0
1857,4.881509085841174e-10,0.0
1858,5.3830437884982985e-09,0.0
1859,2.5460866748261424e-09,0.0
1860,9.154367819341758e-10,0.0
1861,2.357981809808507e-09,0.0
1862,1.8071945051545413e-09,1.3553959066214816e-09
1863,9.989241656072068e-10,0.0
1864,0.0,0.0
1865,7.0602665935837194e-09,0.0
1866,1.4596839292835284e-09,9.731225825149181e-10
1867,4.367530337390235e-09,0.0
1868,0.0,4.93987406535723e-10
1869,3.4184632902167778e-09,0.0
1870,4.587239033071455e-09,5.734048791339319e-09
1871,2.1242354542039266e-09,6.37270636261178e-09
1872,1.8142017887967654e-09,6.047339295989218e-10
1873,5.986004469882289e-10,1.1972008939764578e-09
1874,0.0,6.572069999322139e-09
1875,0.0,1.1443054281912168e-09
1876,1.209202959984168e-09,6.04601479992084e-10
1877,0.0,0.0
1878,0.0,0.0
1879,6.720257683667796e-09,5.498392852132383e-09
1880,0.0,0.0
1881,9.064259565150223e-09,0.0
1882,2.6621540527571597e-09,1.3310770263785798e-09
1883,5.687405213450347e-09,0.0
1884,6.601696966868076e-10,0.0
1885,7.090199094506033e-09,0.0
1886,4.5174246565693466e-09,0.0
1887,1.9586774424595887e-09,0.0
1888,2.53624587998047e-09,0.0
1889,3.132568426877924e-09,1.2530273485467092e-09
1890,0.0,0.0
1891,4.461953917456185e-09,6.374220040683554e-10
1892,2.5074049503359674e-09,0.0
1893,3.695050043717174e-09,0.0
1894,3.780923574225881e-09,0.0
1895,9.027921521465032e-09,0.0
1896,1.179405795248556e-09,0.0
1897,1.7480140668268973e-09,0.0
1898,2.8291773368493978e-09,0.0
1899,2.2110313580014918e-09,1.1055156790007459e-09
1900,2.595526460424935e-09,0.0
1901,5.58873880507349e-09,5.588738916095792e-10
1902,1.9641135384773634e-09,0.0
1903,3.2401321625741275e-09,0.0
1904,2.1498500757388683e-09,3.7622376325430196e-09
1905,8.257214467732865e-09,0.0
1906,4.115347618238729e-09,0.0
1907,8.742833568220476e-09,0.0
1908,4.911389073214423e-10,4.911389073214423e-10
1909,2.2003934230241384e-09,1.6502950117569526e-09
1910,2.137660271017694e-09,0.0
1911,4.788336616101674e-09,0.0
