year,beaucoup_ADV acheter_VERB
1800,0.0
1801,7.143547975374531e-09
1802,0.0
1803,1.3652374342143503e-08
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,1.1502966579257645e-08
1814,0.0
1815,1.6183340889597275e-08
1816,2.3176038865813098e-08
1817,1.5568733857662664e-08
1818,7.152706427149269e-09
1819,9.315945348475907e-09
1820,8.306536791735653e-09
1821,3.94459531705138e-09
1822,0.0
1823,5.929612356680991e-09
1824,0.0
1825,8.805443041381977e-10
1826,1.7615968683770689e-09
1827,0.0
1828,1.8344602503717056e-09
1829,0.0
1830,2.0873671680021744e-09
1831,0.0
1832,1.3529969367098715e-09
1833,1.3900354645102198e-08
1834,4.667265685043276e-09
1835,7.563087933704082e-10
1836,1.2769425516978572e-08
1837,2.7831563720326358e-09
1838,7.574594285131298e-09
1839,6.9914751765765e-10
1840,7.64362617644565e-09
1841,8.346713542550788e-09
1842,2.0124795163667386e-09
1843,1.1813822142769936e-09
1844,5.488561272137815e-10
1845,6.696273757711424e-09
1846,4.0981511517657054e-09
1847,0.0
1848,1.769948809737798e-08
1849,1.5920887719289567e-08
1850,0.0
1851,7.094382858952031e-09
1852,4.557382027314816e-09
1853,1.1943863675867306e-09
1854,7.27393034694046e-09
1855,2.653468555990912e-09
1856,5.694908100650764e-09
1857,1.2691923956253959e-08
1858,4.893676019968041e-10
1859,7.129042689513199e-09
1860,5.950338888283113e-09
1861,4.715963619617014e-09
1862,6.776979422085105e-09
1863,1.2986014041871385e-08
1864,4.794727948009836e-10
1865,2.3534221238463715e-09
1866,2.432806400776144e-09
1867,1.455843445796745e-09
1868,4.939874287401835e-09
1869,9.767038289254515e-10
1870,2.2936195165357276e-09
1871,0.0
1872,1.2094678591978436e-09
1873,1.7958012854535355e-09
1874,1.1949218281515073e-09
1875,1.716458086775674e-09
1876,4.232210137899983e-09
1877,1.8554447978047506e-09
1878,1.8117265465633636e-09
1879,3.665595160740054e-09
1880,5.134277003548959e-09
1881,6.972507571312292e-10
1882,1.1314154946262533e-08
1883,6.319338941018771e-10
1884,7.2618666635548834e-09
1885,2.5782542767416317e-09
1886,6.453463874400711e-10
1887,5.876032105334161e-09
1888,1.9021844099853524e-09
1889,2.5060546970934183e-09
1890,7.865263995654459e-09
1891,8.286486163910922e-09
1892,7.522214851007902e-09
1893,4.310891643655168e-09
1894,6.301539290376468e-09
1895,6.018614495673091e-09
1896,1.179405795248556e-09
1897,5.826713556089658e-10
1898,1.6975064687230201e-09
1899,8.844125432005967e-09
1900,1.5573159428683425e-09
1901,2.794369402536745e-09
1902,1.9641135384773634e-09
1903,1.0800440541913758e-09
1904,4.299700151477737e-09
1905,1.5482277682110634e-09
1906,2.0576738091193647e-09
1907,1.028568674676933e-09
1908,0.0
1909,6.60118004702781e-09
1910,1.1757131268552712e-08
1911,2.128149656499545e-09
1912,4.167536982180309e-09
1913,2.6514948014977335e-09
1914,5.357394972094198e-09
1915,4.712304768617059e-09
1916,4.394984820521586e-09
1917,4.386569774084137e-09
1918,4.594550517822427e-09
1919,6.4454939163738345e-09
1920,5.300562211374427e-09
1921,4.543648568500203e-09
1922,1.3280283539529592e-08
1923,6.369568872344189e-09
1924,9.02413699321869e-09
1925,1.0998177923937646e-09
1926,7.802296586589819e-09
1927,5.574612327308159e-09
1928,2.2852082448565625e-09
