year,trop_ADV rusé_VERB
1800,0.0
1801,4.7623651688866175e-09
1802,1.1189200677108602e-08
1803,1.950339223455444e-09
1804,4.943701892301533e-09
1805,0.0
1806,2.881669125542885e-09
1807,0.0
1808,9.064295980465431e-09
1809,2.259030518203531e-09
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.1588019432906549e-08
1817,9.341240669868967e-09
1818,4.768470951432846e-09
1819,1.6561680027393777e-08
1820,1.542642635854463e-08
1821,7.88919063410276e-09
1822,1.1028177482330648e-08
1823,1.8777104315859106e-08
1824,1.6842225392110777e-09
1825,9.68598712347557e-09
1826,5.284790383086602e-09
1827,3.6869092223668076e-09
1828,1.3758452155343548e-08
1829,9.430493719264632e-09
1830,4.174734336004349e-09
1831,1.5591206103948707e-09
1832,8.117981842303834e-09
1833,2.3167257001688313e-09
1834,2.8003592777992026e-09
1835,4.5378527602224494e-09
1836,3.36037508930076e-09
1837,5.5663127440652715e-09
1838,2.5248647617104325e-09
1839,9.088918062616358e-09
1840,5.095750932326837e-09
1841,2.5682194149112547e-09
1842,2.0124795163667386e-09
1843,5.906911071384968e-10
1844,3.2931368743049916e-09
1845,2.7901139176833567e-09
1846,5.854501328173001e-09
1847,9.707802561820245e-09
1848,3.218088684420195e-09
1849,0.0
1850,1.3577992064028876e-09
1851,6.449438760824933e-10
1852,6.510545436100301e-10
1853,2.9859659189668264e-09
1854,5.7152309551611324e-09
1855,5.306937111981824e-10
1856,8.28350277259915e-09
1857,6.8341128311999455e-09
1858,2.936205500958522e-09
1859,5.092173349652285e-10
1860,5.492620580582752e-09
1861,1.4147891747029462e-09
1862,4.517986262886353e-10
1863,2.4973103585068657e-09
1864,7.1920918109924514e-09
1865,6.118897832863013e-09
1866,3.8924903300596725e-09
1867,9.7056229719783e-09
1868,9.385760613156435e-09
1869,1.953407657850903e-09
1870,7.454262984651905e-09
1871,0.0
1872,5.442605477412599e-09
1873,1.1972008939764578e-09
1874,1.1949218281515073e-09
1875,2.2886108563824337e-09
1876,6.04601479992084e-09
1877,0.0
1878,4.22736201599605e-09
1879,7.94212251520321e-09
1880,7.059631101924424e-09
1881,6.972507571312292e-10
1882,1.9966155395678697e-09
1883,6.951272890631799e-09
1884,3.300848483434038e-09
1885,3.86738152613475e-09
1886,1.2906927748801422e-09
1887,1.3057849246322917e-09
1888,3.1703073499755874e-09
1889,5.012109394186837e-09
1890,1.9663159989136147e-09
1891,9.561330394092238e-09
1892,6.8953633913793055e-09
1893,1.847525021858587e-09
1894,1.2603078580752936e-09
1895,3.0093072478365457e-09
1896,1.179405795248556e-09
1897,1.1653427112179315e-09
1898,2.26334195829736e-09
1899,2.7637891975018647e-09
1900,2.595526460424935e-09
1901,3.912117296778206e-09
1902,1.4730852093691738e-09
1903,4.320176216765503e-09
1904,5.374625189347171e-10
1905,2.0643036169332163e-09
1906,8.230695236477459e-09
1907,3.0857059130084963e-09
1908,5.40252820258047e-09
1909,1.6502950117569526e-09
1910,0.0
1911,2.6601871816467337e-09
1912,6.772247651554153e-09
1913,1.060597942803554e-09
1914,6.696743715117748e-10
1915,0.0
1916,0.0
1917,1.0966424435210342e-09
1918,0.0
1919,2.762354567309444e-09
1920,2.2716695191604686e-09
1921,2.2718242842501013e-09
1922,1.0329110011753073e-08
1923,0.0
1924,5.156649773851996e-09
1925,3.299453377181294e-09
1926,3.343841648018042e-09
1927,2.2298449753321847e-09
1928,2.2852082448565625e-09
1929,5.570202965543558e-09
1930,5.2518016602221e-09
1931,5.7026783295555106e-09
1932,2.1919073223131136e-09
1933,1.3764794637438627e-08
1934,9.585264137967897e-09
1935,1.196828414151696e-09
1936,1.2124714565686645e-08
1937,5.0364472592434595e-09
1938,1.2965214457594243e-09
1939,1.070583532936098e-08
1940,0.0
1941,5.9030051957620344e-09
1942,1.517105907566929e-08
1943,5.806470415592457e-09
1944,9.639558484764166e-09
1945,1.3071024262956144e-08
1946,1.3921104269343232e-09
1947,4.7683483828109274e-09
1948,4.348755133776194e-09
1949,3.9268033269479474e-09
1950,4.2541445921528975e-09
1951,7.462981344019681e-09
1952,4.2179215675730575e-09
1953,2.1547654771580937e-09
1954,5.863521668203475e-09
1955,9.385607846468247e-10
1956,3.488456634670456e-09
1957,4.417518795207798e-09
1958,5.790570245522986e-09
1959,7.750747599288843e-09
1960,6.2287499602575735e-09
1961,1.042223907177231e-08
1962,1.2683912808952869e-09
1963,1.939815863494232e-09
1964,6.6923653285755336e-09
1965,2.73602163147757e-09
1966,4.431259803538978e-09
1967,5.423369309198733e-09
1968,3.1439910674890825e-09
1969,1.3625273131978588e-09
1970,3.219107425067591e-09
1971,4.624557625731995e-09
1972,5.130146973897354e-09
1973,3.859242703185828e-09
1974,1.3501372464475025e-08
1975,5.140332159925265e-09
1976,2.856763492431469e-09
1977,5.289103821581875e-09
1978,5.940591130126904e-09
1979,5.266775904289034e-09
1980,7.390696055153967e-09
1981,1.8976649140967083e-09
1982,4.966001831974154e-09
1983,4.4207211225000265e-09
1984,4.639206796497319e-09
1985,1.0226449020933615e-08
1986,2.3977941854269602e-09
1987,6.110816852533674e-10
1988,1.798966087207532e-09
1989,5.488121956886971e-09
1990,2.179460389939436e-09
1991,4.68917216167597e-09
