year,trop_ADV empli_VERB,trop_ADV rempli_VERB
1800,0.0,7.860410988769218e-08
1801,0.0,1.0715321963061797e-07
1802,0.0,7.384872446891677e-08
1803,0.0,1.0726866039867389e-07
1804,0.0,7.415552527589853e-08
1805,0.0,7.107194432975916e-08
1806,0.0,8.356840730527892e-08
1807,0.0,3.4163461837266595e-08
1808,0.0,4.078933102391602e-08
1809,0.0,6.09938268780752e-08
1810,7.020380277111826e-09,7.020380188293984e-08
1811,2.5070767684098882e-09,6.016983888912364e-08
1812,0.0,1.1202274663446588e-07
1813,5.751483289628823e-09,1.1215392459185125e-07
1814,0.0,1.132803779668734e-07
1815,0.0,8.361393355471591e-08
1816,0.0,3.0128852301913867e-08
1817,0.0,1.3389111597206238e-07
1818,0.0,7.391130196765516e-08
1819,0.0,9.62647638269587e-08
1820,0.0,8.42520151422832e-08
1821,0.0,9.171184067735538e-08
1822,0.0,8.822541985864518e-08
1823,0.0,4.9413433012013286e-08
1824,0.0,1.0105335057630782e-07
1825,0.0,6.78019147493103e-08
1826,0.0,8.279504981612007e-08
1827,0.0,7.558163578336163e-08
1828,0.0,5.77854990524429e-08
1829,0.0,1.2516836600529047e-07
1830,0.0,6.470838087579978e-08
1831,3.1182412207897414e-09,1.0602020039662818e-07
1832,0.0,7.441482940961919e-08
1833,0.0,7.645194699534841e-08
1834,0.0,4.947301235347368e-08
1835,0.0,8.31939672707449e-08
1836,0.0,5.2421849972006385e-08
1837,0.0,6.262101948095733e-08
1838,6.312161904276081e-10,4.102905393210676e-08
1839,0.0,5.9427538667833346e-08
1840,0.0,4.522479102320176e-08
1841,0.0,5.971110317304351e-08
1842,0.0,4.024959121551319e-08
1843,0.0,7.5608464433774e-08
1844,0.0,5.8178748263415514e-08
1845,0.0,7.644912614068744e-08
1846,0.0,5.210506204278431e-08
1847,0.0,4.638172157456211e-08
1848,0.0,5.390298696283935e-08
1849,0.0,5.446619755211657e-08
1850,0.0,5.7706467160301145e-08
1851,0.0,7.803821078233852e-08
1852,0.0,5.0131198747749295e-08
1853,0.0,5.61361575002195e-08
1854,0.0,6.442624100877481e-08
1855,0.0,5.678422709820552e-08
1856,5.177189232874468e-10,5.384276846598368e-08
1857,0.0,5.906626132645698e-08
1858,0.0,8.074565538418454e-08
1859,0.0,8.707616672154472e-08
1860,0.0,6.591144696699303e-08
1861,0.0,7.96997872143379e-08
1862,0.0,1.0029929686794503e-07
1863,0.0,4.794835845034484e-08
