year,trop_ADV éveiller_VERB,trop_ADV réveiller_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,0.0
1803,1.950339223455444e-09,1.950339223455444e-09
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,1.1387820464392462e-08
1808,2.2660739951163578e-09,2.2660739951163578e-09
1809,0.0,0.0
1810,0.0,2.106114038724627e-08
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,1.1502966579257645e-08,8.627225156487839e-09
1814,0.0,0.0
1815,8.091670444798638e-09,1.3486118000116676e-08
1816,2.3176038865813098e-09,0.0
1817,6.227493631882908e-09,1.556873407970727e-09
1818,4.768470951432846e-09,5.960588467246453e-09
1819,2.070210003424222e-09,3.1053151161586356e-09
1820,1.1866481131050932e-09,5.933240565525466e-09
1821,3.94459531705138e-09,5.9168927535324656e-09
1822,3.0076847679083585e-09,4.010246357211145e-09
1823,0.0,0.0
1824,8.421112696055388e-10,4.210556348027694e-09
1825,5.283265824829186e-09,8.805443041381977e-10
1826,1.7615968683770689e-09,2.642395191543301e-09
1827,8.295545583791863e-09,0.0
1828,3.668920500743411e-09,0.0
1829,3.429270423183084e-09,0.0
1830,4.174734336004349e-09,1.0436835840010872e-09
1831,0.0,0.0
1832,5.411987746839486e-09,0.0
1833,3.4750886612755494e-09,4.6334514003376626e-09
1834,1.120143711119681e-08,9.334530925997342e-10
1835,9.075705520444899e-09,4.5378527602224494e-09
1836,1.3441500135158435e-09,6.72075017860152e-09
1837,2.0873671680021744e-09,2.7831563720326358e-09
1838,6.943378316748294e-09,6.312161904276081e-10
1839,1.0487212875887053e-08,1.3982950353153e-09
1840,4.458782232319436e-09,0.0
1841,0.0,3.852329122366882e-09
1842,1.341653010911159e-09,3.3541325272778977e-09
1843,5.906910960362666e-09,5.906911071384968e-10
1844,7.1351298203126134e-09,3.2931368743049916e-09
1845,9.48638767539478e-09,2.2320911785556063e-09
1846,1.2879903366069811e-08,5.854501328173001e-10
1847,1.6179670936367074e-09,5.393223645455691e-10
1848,2.413566457803995e-09,0.0
1849,8.379414939696517e-10,8.379414939696517e-10
1850,5.431196825611551e-09,0.0
1851,9.029214709244116e-09,0.0
1852,3.2552727180501506e-09,2.6042181744401205e-09
1853,4.777545470346922e-09,5.971931837933653e-10
1854,2.5978321716024766e-09,2.0782657816909023e-09
1855,4.776243400783642e-09,1.5920811335945473e-09
1856,1.1389816201301528e-08,2.0708756931497874e-09
1857,0.0,0.0
1858,6.361778659424999e-09,1.9574704079872163e-09
1859,3.5645213447565993e-09,3.055304009791371e-09
1860,6.865775947773045e-09,2.288591982591015e-09
1861,8.960331143725853e-09,4.715963730639317e-10
1862,5.873382225018986e-09,9.035972525772706e-10
1863,9.989241656072068e-10,9.989241656072068e-10
1864,8.151037178549814e-09,9.589455896019672e-10
1865,2.3534221238463715e-09,1.882737743486018e-09
1866,7.784980660119345e-09,2.432806400776144e-09
1867,1.455843445796745e-09,3.88224918879132e-09
1868,5.433861360870651e-09,3.457911734727759e-09
1869,1.4650557433881772e-09,1.4650557433881772e-09
1870,1.1468097582678638e-08,3.4404292748035914e-09
1871,0.0,1.0621177271019633e-09
1872,1.9351485747165498e-08,6.047339295989218e-10
1873,3.591602570907071e-09,0.0
1874,7.169530746864439e-09,4.182226565063729e-09
1875,1.5448122780981066e-08,0.0
1876,3.02300739996042e-09,6.04601479992084e-10
1877,6.184816214727107e-09,2.4739263970730008e-09
1878,4.22736201599605e-09,6.039088784604019e-09
1879,4.27652757650776e-09,6.10932526790009e-10
1880,5.134277003548959e-09,1.9253538763308597e-09
1881,4.183504653809678e-09,6.9725074602899895e-09
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,6.319338829996468e-09,4.423537092179686e-09
1884,5.941527270181268e-09,3.300848483434038e-09
1885,6.445635580831777e-09,0.0
1886,7.098810428374236e-09,0.0
1887,2.6115698492645834e-09,2.6115698492645834e-09
