year,trop_ADV aller_VERB,trop_ADV râler_VERB
1800,7.231578535993322e-08,0.0
1801,2.1430643926123594e-08,0.0
1802,1.1636768704192946e-07,0.0
1803,4.095712213825209e-08,0.0
1804,6.426812149129546e-08,0.0
1805,6.822906328807221e-08,0.0
1806,9.509508203109363e-08,0.0
1807,7.686778502602465e-08,0.0
1808,2.2660739062985158e-08,0.0
1809,4.51806094758922e-08,0.0
1810,7.254392642153107e-08,0.0
1811,4.011322829455821e-08,0.0
1812,4.267533171287141e-08,0.0
1813,2.300593315851529e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,6.74305908887618e-08,0.0
1816,1.622322720606917e-08,0.0
1817,3.113746771532533e-08,0.0
1818,7.152706160695743e-08,0.0
1819,2.3807414706311647e-08,0.0
1820,5.577246042776096e-08,0.0
1821,4.930744168518686e-08,0.0
1822,7.21844344298006e-08,0.0
1823,5.929612001409623e-08,0.0
1824,8.421112696055388e-09,0.0
1825,8.453225319726698e-08,0.0
1826,3.082794464148719e-08,0.0
1827,7.650336897313537e-08,0.0
1828,7.06267186956211e-08,0.0
1829,3.0006116702452346e-08,0.0
1830,5.322786122974321e-08,0.0
1831,2.9623292263636358e-08,0.0
1832,5.141388470519814e-08,0.0
1833,5.21263281427764e-08,0.0
1834,3.640467127752345e-08,0.0
1835,7.865611451052246e-08,0.0
1836,5.107770206791429e-08,0.0
1837,3.896418832027848e-08,0.0
1838,8.332053624826585e-08,0.0
1839,4.264799713382672e-08,0.0
1840,4.395085184683012e-08,0.0
1841,2.8892468861840825e-08,0.0
1842,7.44617452141938e-08,0.0
1843,7.442707783411606e-08,0.0
1844,4.445734802516199e-08,0.0
1845,4.9664027557128065e-08,0.0
1846,4.625055893825447e-08,0.0
1847,2.588747349818732e-08,0.0
1848,5.873011943435813e-08,0.0
1849,4.524883934209356e-08,0.0
1850,4.616517301769818e-08,0.0
1851,5.611011744122152e-08,0.0
1852,4.8829090104618444e-08,0.0
1853,7.345476404907458e-08,0.0
1854,4.416314780542052e-08,0.0
1855,4.9354515141430966e-08,0.0
1856,6.212626857404757e-08,0.0
1857,4.393358210563747e-08,0.0
1858,7.38945047373818e-08,0.0
1859,9.114990007219603e-08,0.0
1860,9.566314673747911e-08,0.0
1861,8.252936822827905e-08,0.0
1862,6.415540809712184e-08,0.0
1863,6.1433837572622e-08,0.0
1864,7.14414483127257e-08,0.0
1865,8.189908839995041e-08,0.0
1866,6.3252969084715e-08,0.0
1867,6.163070764841905e-08,0.0
1868,4.00129813726835e-08,0.0
1869,7.08110263758499e-08,0.0
1870,5.734048613703635e-08,0.0
1871,5.098165090089424e-08,0.0
1872,5.865918950576088e-08,0.0
1873,6.9437653849036e-08,0.0
1874,5.855116924635695e-08,0.0
1875,4.748867610260277e-08,0.0
1876,2.6602464231473277e-08,0.0
1877,6.308512467967375e-08,0.0
1878,5.072834596830944e-08,0.0
1879,3.176849006081284e-08,0.0
1880,3.914886193001621e-08,0.0
1881,4.322954794133693e-08,0.0
1882,2.994923420374107e-08,0.0
1883,2.8437025179073316e-08,0.0
1884,4.7532218161450146e-08,0.0
1885,3.480643329112354e-08,0.0
1886,2.0005737511041843e-08,0.0
1887,3.1991731930247624e-08,0.0
1888,3.360525724360741e-08,0.0
1889,3.633779144252003e-08,0.0
1890,4.260351360585446e-08,0.0
1891,2.039750413018737e-08,0.0
1892,2.6954603882245465e-08,0.0
1893,2.771287377356657e-08,0.0
1894,3.276800342177921e-08,0.0
1895,3.1296796265678495e-08,0.0
1896,2.7716035688740703e-08,0.0
1897,2.855089675790623e-08,0.0
1898,3.904265000187479e-08,0.0
1899,2.1004797901014172e-08,0.0
1900,2.4397950326715545e-08,0.0
1901,2.1237207548097103e-08,0.0
1902,1.6203935970793282e-08,0.0
1903,2.052083658554693e-08,0.0
1904,2.956043942958786e-08,0.0
1905,2.631987072732045e-08,0.0
1906,2.5206503551089554e-08,0.0
1907,2.828563872014911e-08,0.0
1908,3.487086175368859e-08,0.0
1909,2.8055016088046614e-08,0.0
1910,1.7101282168141552e-08,0.0
1911,2.8730021028877673e-08,0.0
1912,2.7088990606216612e-08,0.0
1913,2.8636144122629048e-08,0.0
1914,1.6741859454327823e-08,0.0
1915,2.3561524287174507e-08,0.0
1916,2.8567400889301098e-08,0.0
1917,1.973956464951243e-08,0.0
1918,1.378365155346728e-08,0.0
1919,1.1970202606903513e-08,0.0
1920,1.1358347151713133e-08,0.0
1921,6.815472630705699e-09,0.0
1922,2.3609393551282665e-08,0.0
1923,1.2739137744688378e-08,0.0
1924,3.2229060309418855e-08,0.0
1925,2.3096173862313663e-08,0.0
1926,2.3406890647947876e-08,0.0
1927,2.1183527820767267e-08,0.0
1928,2.2852082892654835e-08,0.0
1929,3.119313873867213e-08,0.0
1930,2.2057568216382606e-08,0.0
1931,2.9653927313688655e-08,0.0
1932,1.6439305028370654e-08,0.0
1933,8.02946331646126e-09,0.0
1934,1.0783422155213884e-08,0.0
1935,2.2739740757060645e-08,0.0
1936,2.424942913137329e-08,0.0
1937,3.903246792447135e-08,0.0
1938,2.7226949583791793e-08,0.0
1939,1.5294050470515685e-08,0.0
1940,2.028626333583361e-08,0.0
1941,1.7709016475464523e-08,0.0
1942,1.8205270180260413e-08,0.0
1943,2.0322646676618206e-08,0.0
1944,1.6065930807940276e-08,0.0
1945,2.3963544037997053e-08,0.0
1946,2.7842208538686464e-08,0.0
1947,1.907339353124371e-08,0.0
1948,2.5005341797168512e-08,0.0
1949,3.043272656100271e-08,0.0
1950,2.0207187034770868e-08,0.0
1951,2.3455083209000804e-08,1.0661401761424827e-09
