year,trop_ADV emporté_VERB
1800,4.087413785214267e-08
1801,4.286128785224719e-08
1802,4.2518962573012686e-08
1803,7.216254971353919e-08
1804,1.9774807569206132e-08
1805,4.5486042488107614e-08
1806,5.187004337159351e-08
1807,7.402083213037258e-08
1808,7.931259204951857e-08
1809,4.292158095609011e-08
1810,1.638088744648769e-07
1811,6.267691787797958e-08
1812,4.5342538612658245e-08
1813,2.8757416448144113e-09
1814,5.349351184236184e-08
1815,5.3944472000466703e-08
1816,2.7811246638975717e-08
1817,3.113746771532533e-08
1818,2.1458118837358597e-08
1819,4.45095160728215e-08
1820,6.170570010510801e-08
1821,4.437669787193954e-08
1822,5.413832582235045e-08
1823,5.731958552246397e-08
1824,6.315834610859383e-08
1825,3.169959583715354e-08
1826,1.083382059618998e-07
1827,2.3043183361437514e-08
1828,1.4675682002973645e-08
1829,3.1720751358932375e-08
1830,5.0096812032052185e-08
1831,1.091384405071949e-08
1832,2.5706941575442954e-08
1833,2.3167256557599103e-08
1834,1.5868701908061666e-08
1835,3.327758690829796e-08
1836,1.747394939854985e-08
1837,4.731365876864402e-08
1838,2.7142295522253335e-08
1839,5.383435919270596e-08
1840,4.9046601446889326e-08
1841,2.0545755319290038e-08
1842,2.4820581145945653e-08
1843,3.898561473647533e-08
1844,3.677336124496833e-08
1845,2.7343116215661212e-08
1846,3.219975752699611e-08
1847,1.5101026207275936e-08
1848,2.574470947536156e-08
1849,7.54147322368226e-09
1850,4.616517301769818e-08
1851,2.5152811389261842e-08
1852,1.7578472011337e-08
1853,4.001194309211087e-08
1854,4.72805474771576e-08
1855,2.0697054736729115e-08
1856,4.5559264527650356e-08
1857,2.3431244500216053e-08
1858,3.425573136262017e-08
1859,3.411756188675952e-08
1860,3.982150076353719e-08
1861,2.1221836732365773e-08
1862,3.7499287230957634e-08
1863,2.6970951694238465e-08
1864,2.6371003158942585e-08
1865,4.9421867487353666e-08
1866,3.0653360127974594e-08
1867,2.135237053835226e-08
1868,2.2723421366777075e-08
1869,2.148748501351605e-08
1870,2.3509599600401998e-08
1871,2.1242353653860846e-08
1872,1.1489944995446422e-08
1873,9.577607151811662e-09
1874,5.377148226681783e-09
1875,1.94531928343622e-08
1876,1.5719638923883394e-08
1877,1.1132669008873108e-08
1878,3.0799352401800206e-08
1879,1.3440515367335593e-08
1880,2.888030703473987e-08
1881,1.743126887276958e-08
1882,1.5972924316542958e-08
1883,2.780509184008295e-08
1884,1.7824582698722224e-08
1885,1.3535834897382415e-08
1886,2.0651083898481915e-08
1887,2.154545164501087e-08
1888,1.3949351895803375e-08
1889,1.50363277384713e-08
1890,2.6872983838188702e-08
1891,8.92390783491237e-09
1892,2.6954603882245465e-08
1893,1.4164357686752282e-08
1894,5.671385139294216e-09
1895,4.814891596538473e-09
1896,8.255840455717589e-09
1897,1.1653426668090106e-08
1898,3.960848538042683e-09
1899,6.080336234504102e-09
1900,7.26747462209687e-09
1901,2.235495566438317e-09
1902,1.3748794991386148e-08
1903,9.1803746826713e-09
1904,6.449550227216605e-09
1905,5.160758931310738e-09
1906,8.745113966313056e-09
1907,2.674278576364486e-08
1908,9.331639461152008e-09
1909,6.0510818578052294e-09
1910,9.085056262847502e-09
1911,6.916486494645824e-09
1912,6.772247651554153e-09
1913,8.484783542428431e-09
1914,6.027069343605973e-09
1915,0.0
1916,2.197492410260793e-09
1917,3.289927441585405e-09
1918,1.033773866510046e-08
1919,1.3811772170413406e-08
1920,4.543339038320937e-09
1921,1.2116395886607734e-08
1922,1.1066902949607993e-08
1923,1.2739137744688378e-08
1924,9.02413699321869e-09
1925,9.898360353588487e-09
1926,1.0031524944054127e-08
1927,8.919379901328739e-09
1928,4.570416489713125e-09
1929,1.4482528065684619e-08
1930,4.201441528017824e-09
1931,1.3686427990933225e-08
1932,3.287861094491973e-09
1933,3.4411986593596566e-09
1934,1.9170528275935794e-08
1935,1.3165112555668657e-08
1936,8.487299751891442e-09
1937,1.1332006444320086e-08
1938,5.186085783037697e-09
1939,4.588215141154706e-09
1940,1.0143131667916805e-08
1941,5.9030051957620344e-09
1942,1.517105907566929e-08
1943,0.0
1944,3.2131861615880553e-09
1945,1.3071024262956144e-08
1946,8.352662561605939e-09
1947,1.3112957830685446e-08
1948,9.784699273041042e-09
1949,8.835307596655184e-09
1950,9.571825110299415e-09
1951,1.4925962688039363e-08
1952,1.1599284199803606e-08
1953,1.8315507332999914e-08
1954,3.9090144454689835e-09
1955,8.447047505910632e-09
1956,9.593255967388359e-09
1957,6.184526224473075e-09
1958,1.2408364835625463e-08
1959,7.750747599288843e-09
1960,6.920833239831836e-09
1961,1.042223907177231e-08
1962,8.8787386332001e-09
1963,7.1126584622049904e-09
1964,9.125952438182594e-09
1965,1.258569987117042e-08
1966,8.308612464702492e-09
1967,1.1339771677221222e-08
1968,1.796566262424193e-08
1969,1.090021850558287e-08
1970,1.3336302728816918e-08
1971,1.490135304038631e-08
1972,1.3338381954497436e-08
1973,1.268036875501366e-08
1974,9.563471792262135e-09
1975,1.7134440533084216e-09
1976,5.713526984862938e-09
1977,2.938390863960194e-09
1978,1.7821774278559133e-08
1979,1.2289144146748754e-08
1980,4.548120546843393e-09
1981,1.5813874654213578e-08
1982,9.311253101884631e-09
1983,8.209910973278056e-09
1984,6.958810416790584e-09
1985,9.02333674446254e-09
1986,1.3187867742292525e-08
1987,8.555143982125202e-09
1988,1.2592763221075387e-08
1989,8.780995486290522e-09
1990,1.3076762783725826e-08
1991,6.4476117778156095e-09
1992,3.856960972825618e-09
1993,8.308811416668505e-09
1994,9.494867947434926e-09
1995,9.760411145975922e-09
1996,3.2028553142993132e-09
1997,1.2466725651805177e-08
1998,6.675380692655608e-09
1999,7.769341614505265e-09
2000,6.185244316725402e-09
2001,1.22673927682726e-08
2002,8.324320788233308e-09
2003,8.333845447072719e-09
2004,6.166707589017051e-09
2005,1.0358624180639708e-08
2006,4.941468012553685e-09
2007,7.988958827809256e-09
2008,8.51487946817997e-09
2009,1.0013204487790972e-08
2010,9.919965737736902e-09
2011,9.942326906209331e-09
2012,1.1914884523456237e-08
2013,8.925199745934975e-09
2014,1.2559581652471508e-08
2015,1.1747849276710909e-08
2016,1.5949318754593378e-08
2017,1.2326495379966218e-08
2018,1.3681773325391333e-08
2019,1.045904995944369e-08
