year,beaucoup_ADV apporté_VERB,beaucoup_ADV rapporté_VERB
1800,0.0,1.8864987794131594e-08
1801,0.0,2.1430643926123594e-08
1802,0.0,2.2378401354217203e-09
1803,0.0,9.751696339321825e-09
1804,0.0,7.4155526164076946e-09
1805,0.0,2.842877755426798e-08
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,1.8072244145628247e-08,6.7770917766551975e-09
1810,0.0,1.1700633351097167e-08
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,1.1502966579257645e-08
1814,0.0,9.440030979135372e-09
1815,0.0,8.091670444798638e-09
1816,0.0,4.6352077731626196e-09
1817,0.0,7.784366928831332e-09
1818,0.0,1.1921177378582115e-09
1819,0.0,7.24573512300708e-09
1820,1.1866481131050932e-09,4.746592452420373e-09
1821,9.86148829262845e-10,1.0847637454958203e-08
1822,0.0,3.5089655625597516e-08
1823,1.9765373782121287e-09,1.581229902569703e-08
1824,0.0,1.431589158329416e-08
1825,0.0,4.4027217427355936e-09
1826,0.0,8.807984341885344e-10
1827,9.217273055917019e-10,3.6869092223668076e-09
1828,9.172301251858528e-10,9.172301251858528e-10
1829,0.0,8.57317605795771e-10
1830,0.0,2.0873671680021744e-09
1831,0.0,1.5591206548037917e-08
1832,0.0,2.705993873419743e-09
1833,2.3167257001688313e-09,3.4750886612755494e-09
1834,9.334530925997342e-10,5.600718555598405e-09
1835,7.563087933704082e-10,5.294161553592858e-09
1836,4.704525213838906e-09,4.704525213838906e-09
1837,6.957890930081589e-10,2.0873671680021744e-09
1838,5.049729523420865e-09,7.574594285131298e-09
1839,0.0,4.194885327990505e-09
1840,1.9109065441114126e-09,3.1848443882154243e-09
1841,1.2841097074556274e-09,1.2841097074556274e-09
1842,2.0124795163667386e-09,4.695785538189057e-09
1843,5.906911071384968e-10,1.3585895075607368e-08
1844,1.6465684371524958e-09,3.2931368743049916e-09
1845,5.022205318283568e-09,1.1160455892778032e-09
1846,0.0,5.854501328173001e-09
1847,5.393223645455691e-10,5.9325460100012606e-09
1848,0.0,2.413566457803995e-09
1849,9.217356655710773e-09,2.513824481908955e-09
1850,6.788996032014438e-10,2.0366988096043315e-09
1851,0.0,1.096404567135778e-08
1852,0.0,3.906327261660181e-09
1853,5.971931837933653e-10,1.2541057081705276e-08
1854,5.195664454227256e-10,5.7152309551611324e-09
1855,0.0,3.714855978387277e-09
