year,trop_ADV appeler_VERB,trop_ADV rappeler_VERB
1800,5.65949598296811e-08,2.2009151834367913e-08
1801,1.6668277424969347e-08,3.5717739876872656e-08
1802,1.1189200677108602e-08,1.7902721083373763e-08
1803,1.755305234496518e-08,3.705644502360883e-08
1804,2.4718509461507665e-09,7.415552971679062e-08
1805,5.685755422035754e-09,5.401467717547348e-08
1806,2.881669125542885e-09,7.204172902675055e-08
1807,0.0,2.562259560079383e-08
1808,2.039466551195801e-08,5.211970233176544e-08
1809,4.292158095609011e-08,3.6144488291256494e-08
1810,2.3401267590372754e-09,7.020380365929668e-08
1811,1.504245972228091e-08,5.0141535368197765e-09
1812,2.6672082320544632e-09,1.8670457180292033e-08
1813,2.8757416448144113e-09,6.326631307729258e-08
1814,4.405347908686963e-08,5.664018942752591e-08
1815,5.394447111228828e-09,4.315557688983063e-08
1816,3.244645441213834e-08,8.343373991692715e-08
1817,1.8682481339737933e-08,3.113746771532533e-08
1818,3.457141417584353e-08,7.152706160695743e-08
1819,9.315945348475907e-09,3.9333990287104825e-08
1820,2.0173018810965004e-08,1.0561168295453172e-07
1821,4.437669787193954e-08,5.029358973729359e-08
1822,5.1130641054442094e-08,3.308453244699194e-08
1823,2.3718449426723964e-08,3.9530746676064155e-08
1824,2.3579115548955087e-08,4.5474010335055937e-08
1825,3.0819052199149155e-08,5.2832657360113444e-08
1826,3.2589543508265706e-08,4.668231667892542e-08
1827,3.6869092667757286e-08,5.899054755786892e-08
1828,2.2930752408001354e-08,3.944089499441361e-08
1829,5.829759786024624e-08,6.858540757548326e-08
1830,4.5922078584226256e-08,4.174734158368665e-08
1831,2.9623292263636358e-08,1.1381580122815649e-07
1832,4.6001897402447867e-08,6.22378593106987e-08
1833,9.498575082034222e-08,4.40177885252524e-08
1834,6.16079063320285e-08,4.29388435918554e-08
1835,4.0084366048631637e-08,5.142899794918776e-08
1836,5.712637474175608e-08,4.5029025841358816e-08
1837,7.097048637660919e-08,4.800944708449606e-08
1838,9.973215497893761e-08,6.059675428105038e-08
1839,4.6842885126352485e-08,4.9639474752893875e-08
1840,7.771020449354182e-08,5.477932418784803e-08
1841,7.833069304297169e-08,6.356343362767802e-08
1842,6.574099842282521e-08,6.305769062464606e-08
1843,5.729703644874462e-08,6.792947715439368e-08
1844,7.79375710635577e-08,3.732221642849254e-08
1845,8.872562773376558e-08,7.365900955846882e-08
1846,8.079211966105504e-08,4.4494210982293225e-08
1847,7.981971350545791e-08,5.015698079091635e-08
1848,5.470750608083108e-08,5.309846429213394e-08
1849,7.0387088157986e-08,5.027649052635752e-08
1850,6.992665646521345e-08,7.128446100068686e-08
1851,7.803821233665076e-08,8.061798695280231e-08
1852,1.0156450969134312e-07,4.101643469311966e-08
1853,4.120633079196523e-08,3.881755716861335e-08
1854,5.923057599943604e-08,6.494580873095401e-08
1855,7.323573214534917e-08,7.058226003664458e-08
1856,7.196292983735475e-08,7.196292983735475e-08
1857,7.51752367023073e-08,5.418474913199134e-08
1858,6.459652013290906e-08,5.5787907626836386e-08
1859,7.536416291031856e-08,6.976277688863775e-08
1860,9.749401641556688e-08,6.636916793922865e-08
1861,7.498382359472089e-08,7.309743921268819e-08
1862,8.35827478340434e-08,6.054101930885736e-08
1863,9.339940731933893e-08,5.8437063188421234e-08
1864,7.911300770047092e-08,6.712619438076217e-08
1865,1.1343495032178907e-07,6.448377121159865e-08
1866,1.0315099530089356e-07,8.70944703024179e-08
1867,1.0918825665839904e-07,7.910082899797999e-08
1868,8.694178177393042e-08,6.668830110356794e-08
