year,beaucoup_ADV ajouter_VERB
1800,2.5153315874604232e-08
1801,6.191074675143682e-08
1802,3.8043282302169246e-08
1803,1.3652374342143503e-08
1804,2.2246657849223084e-08
1805,2.2743021688143017e-08
1806,1.729001475325731e-08
1807,1.4234775136401367e-08
1808,2.945896149242344e-08
1809,2.9367397402779716e-08
1810,4.212228077449254e-08
1811,2.0056614147279106e-08
1812,2.1337665856435706e-08
1813,1.1502966579257645e-08
1814,1.2586708564299443e-08
1815,0.0
1816,1.1588019432906549e-08
1817,1.71256075987003e-08
1818,8.344824387052086e-09
1819,4.140419918030602e-08
1820,6.289234733003468e-08
1821,3.648750634965836e-08
1822,1.604098542884458e-08
1823,2.8659792761231984e-08
1824,2.105278085196005e-08
1825,7.924898959288385e-09
1826,3.170874407487645e-08
1827,9.217273166939322e-09
1828,1.7427371545863934e-08
1829,2.4862210068476998e-08
1830,4.174734158368665e-08
1831,3.274153215215847e-08
1832,2.705993873419743e-09
1833,2.3167256557599103e-08
1834,4.0138484536100805e-08
1835,2.3445572594482655e-08
1836,2.6210924986003192e-08
1837,3.896418832027848e-08
1838,2.3354999711955315e-08
1839,1.0487212875887053e-08
1840,1.9746034141121527e-08
1841,2.5040138851295524e-08
1842,1.2745703159566801e-08
1843,4.961805188941071e-08
1844,4.390849017710252e-09
1845,3.348136701220028e-08
1846,2.0490753982471688e-08
1847,1.1325769655456952e-08
1848,1.448139919091318e-08
1849,1.5920887719289567e-08
1850,1.3577992064028876e-08
1851,1.4188765717904062e-08
1852,2.2135854038651814e-08
1853,1.4929829816878737e-08
1854,1.9743524148907454e-08
1855,2.388121700391821e-08
1856,4.504154560436291e-08
1857,1.4156376515472857e-08
1858,3.866004050223637e-08
1859,4.4811123700583266e-08
1860,7.781213007262977e-09
1861,2.782418562219391e-08
1862,1.2198563048571032e-08
1863,1.39849385405455e-08
1864,1.2945765348604255e-08
1865,2.6358328852893465e-08
1866,9.731225603104576e-09
1867,1.552899675516528e-08
1868,1.6301584082611953e-08
1869,1.953407746668745e-08
1870,2.9243649279919737e-08
1871,7.434824311758348e-09
1872,8.4662747923403e-09
1873,1.0774807712721213e-08
1874,2.3898437007119355e-08
1875,2.6319025181464895e-08
1876,1.1487427897804992e-08
1877,8.040260901509555e-09
1878,1.8117265909722846e-08
1879,1.588424503040642e-08
1880,1.6044616302224313e-08
1881,1.045876096839038e-08
1882,1.9966154951589488e-08
1883,1.7694148368718743e-08
1884,1.7824582698722224e-08
1885,2.900535989169839e-08
1886,1.2906927970846027e-08
1887,2.415702127223085e-08
1888,9.510921827882157e-09
1889,1.2530273485467092e-09
1890,1.9663159989136147e-09
1891,1.3385862196457765e-08
1892,1.4417578242387208e-08
1893,9.853466487186324e-09
1894,1.5753848003896564e-08
1895,1.0833506536300774e-08
1896,5.897029087265082e-09
1897,0.0
1898,5.6583548957434e-10
1899,8.844125432005967e-09
1900,4.15284251431558e-09
1901,1.900171220370339e-08
1902,6.874397495693074e-09
1903,1.4040573148577096e-08
1904,3.7622376325430196e-09
1905,1.5998352864698973e-08
1906,1.2860461140462576e-08
1907,1.0285686968813934e-08
1908,4.4202499438483756e-09
1909,9.901770070541716e-09
1910,8.550641084070776e-09
1911,1.3300935464144459e-08
1912,2.0837684910901544e-09
1913,1.2727175757731857e-08
1914,6.027069510139427e-09
1915,1.5314990164938536e-08
1916,2.197492410260793e-09
1917,1.0966424435210342e-09
1918,9.189101035644853e-09
1919,1.1970202606903513e-08
1920,2.2716695191604686e-09
1921,1.1359120755116692e-08
1922,8.115729421831475e-09
1923,3.1847844361720945e-09
1924,1.5469948877466777e-08
1925,1.0998178368026856e-08
1926,8.916910765321973e-09
1927,8.919379901328739e-09
1928,3.4278122562625413e-09
1929,3.342121912552898e-09
1930,7.352522590764465e-09
1931,2.2810713318222042e-09
1932,2.1919073223131136e-09
1933,9.176529758292418e-09
1934,8.38710612072191e-09
1935,9.574627313213568e-09
1936,3.6374143697059935e-09
1937,2.2664012888640173e-08
1938,1.0372171566075394e-08
1939,3.058810094103137e-09
1940,1.5214697057785997e-08
1941,5.9030051957620344e-09
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,6.4263723231761105e-09
1945,6.535512131478072e-09
1946,1.3921104269343232e-09
1947,4.7683483828109274e-09
1948,2.174377566888097e-09
1949,4.908504269707237e-09
1950,1.0635361036293034e-08
1951,9.595261474260042e-09
1952,6.326882129314981e-09
1953,5.386913581872932e-09
1954,9.772536557761669e-09
1955,3.754243138587299e-09
1956,6.976913269340912e-09
1957,5.301022731885041e-09
1958,2.4816730892496253e-09
1959,3.100299128533379e-09
1960,5.536666680683311e-09
1961,6.94815938118154e-09
1962,2.5367825617905737e-09
1963,3.2330267352165265e-09
1964,5.475571551727398e-09
1965,6.5664522708175355e-09
1966,1.0524241922382771e-08
1967,1.1339771788243524e-08
1968,2.6948494546985557e-09
1969,3.6334062425424918e-09
1970,6.898087434592526e-09
1971,6.166076982339064e-09
1972,2.565073486948677e-09
1973,6.064523994098181e-09
1974,3.3753431161187564e-09
1975,5.711480177694739e-10
1976,6.2848797277581525e-09
1977,2.938390863960194e-09
1978,2.3762365408686037e-09
1979,6.437170796402825e-09
1980,2.8425752862659692e-09
1981,8.223214109648325e-09
1982,6.2075020679230875e-09
1983,1.89459470334441e-09
1984,3.479405208395292e-09
1985,3.0077789148208467e-09
1986,2.3977941854269602e-09
1987,1.2221633705067347e-09
1988,0.0
1989,6.585746614717891e-09
1990,5.448650863826288e-09
1991,3.5168792322792797e-09
1992,4.4079553340736766e-09
1993,1.661762283333701e-09
1994,3.164955852952289e-09
1995,2.7112254663563817e-09
1996,5.871901187504136e-09
1997,3.3564262480467733e-09
1998,3.337690568372409e-09
1999,2.7421207526856506e-09
2000,1.7672125984802278e-09
2001,1.7524847129024579e-09
2002,8.76244299341522e-10
2003,8.333845835650777e-10
2004,1.3214374039449694e-09
2005,9.007499190971657e-10
2006,1.2353669198716943e-09
2007,1.997239706952314e-09
2008,5.108927503272298e-09
2009,2.860915504498962e-09
2010,1.8895172093635892e-09
2011,3.059177577924288e-09
2012,1.7021263287730903e-09
2013,2.7891249310130206e-09
2014,2.3819897165822113e-09
2015,1.7732603163622684e-09
2016,2.6927420293532123e-09
2017,2.264050280587071e-09
2018,2.0651733656507076e-09
2019,2.04079020349468e-09
