year,beaucoup_ADV acheté_VERB,beaucoup_ADV racheté_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.6854081625060644e-08,0.0
1803,3.900678446910888e-09,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,9.360507036149102e-09,0.0
1811,2.0056614147279106e-08,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,2.2026739543434815e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,1.1921177378582115e-09,0.0
1819,0.0,0.0
1820,5.933240565525466e-09,0.0
1821,1.0847637454958203e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,1.6842225392110777e-09,0.0
1825,3.522177216552791e-09,0.0
1826,0.0,0.0
1827,9.217273055917019e-10,0.0
1828,9.172301251858528e-10,0.0
1829,8.57317605795771e-10,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,1.853380560135065e-08,0.0
1834,1.8669061851994684e-09,0.0
1835,2.2689263801112247e-09,0.0
1836,2.688300027031687e-09,0.0
1837,4.174734336004349e-09,0.0
1838,3.787297142565649e-09,6.312161904276081e-10
1839,0.0,2.7965900706306e-09
1840,1.2739377330817092e-09,0.0
1841,3.2102742686390684e-09,0.0
1842,6.708265054555795e-10,0.0
1843,6.497602011990011e-09,0.0
1844,2.195424508855126e-09,0.0
1845,2.2320911785556063e-09,0.0
1846,4.6836010625384006e-09,0.0
1847,4.853901280910122e-09,0.0
1848,8.045221711050488e-10,0.0
1849,1.256912263158938e-08,0.0
1850,5.431196825611551e-09,0.0
1851,1.3543821175687754e-08,0.0
1852,1.5625309046640723e-08,0.0
1853,9.555090940693844e-09,0.0
1854,6.754363734984281e-09,0.0
1855,2.1227748447927297e-09,0.0
1856,1.0872097000458325e-08,5.177189232874468e-10
1857,9.763018171682347e-10,0.0
1858,3.4255731584664773e-09,0.0
1859,4.582956236731661e-09,3.055304009791371e-09
1860,5.492620580582752e-09,9.154367819341758e-10
1861,9.431927461278633e-10,1.8863854922557266e-09
1862,2.710791813242963e-09,0.0
1863,1.9978483312144135e-09,0.0
1864,2.8768367688059016e-09,9.589455896019672e-10
1865,1.6473954644879996e-08,0.0
1866,9.731225825149181e-10,0.0
1867,3.396968040192405e-09,0.0
1868,7.409810987013543e-09,0.0
1869,4.883519366671862e-09,4.883519144627257e-10
1870,4.013834153937523e-09,0.0
1871,8.496941816815706e-09,0.0
1872,4.23313739617015e-09,0.0
1873,5.9860045809045914e-09,5.986004469882289e-10
1874,1.2546679251101978e-08,0.0
1875,1.602027666081085e-08,0.0
1876,1.813804439976252e-09,0.0
1877,8.658742167710898e-09,0.0
1878,1.3889904337816006e-08,4.831270938865373e-09
1879,1.3440515367335593e-08,0.0
1880,8.343199908722454e-09,6.417846254436199e-10
1881,1.045876096839038e-08,0.0
1882,3.3276925659464496e-09,1.9966155395678697e-09
1883,1.516641390253426e-08,0.0
1884,7.2618666635548834e-09,1.3203393933736152e-09
1885,1.2246707647989297e-08,0.0
1886,1.097088819790315e-08,0.0
1887,3.9173548849191775e-09,0.0
1888,3.804368819970705e-09,0.0
1889,7.51816386923565e-09,0.0
1890,4.5880703680722945e-09,0.0
1891,4.461953917456185e-09,6.374220040683554e-10
1892,1.5044429702015805e-08,0.0
1893,6.15841644346915e-09,0.0
1894,7.561847148451761e-09,5.041231432301174e-09
1895,4.814891596538473e-09,0.0
1896,6.486732040400511e-09,5.89702897624278e-10
1897,6.992056267307589e-09,0.0
1898,1.6975064687230201e-09,0.0
1899,4.4220627160029835e-09,0.0
1900,5.710158568206225e-09,5.191053142894475e-10
1901,1.4530721514915967e-08,5.588738916095792e-10
1902,6.874397495693074e-09,0.0
1903,6.480264325148255e-09,0.0
1904,4.299700151477737e-09,0.0
1905,1.3417973399043603e-08,0.0
1906,5.658602919567102e-09,0.0
