year,trop_ADV abaisser_VERB,trop_ADV rabaisser_VERB
1800,3.144164484325529e-09,1.2576657937302116e-08
1801,0.0,0.0
1802,4.475680270843441e-09,1.7902721083373763e-08
1803,1.950339223455444e-09,7.801356893821776e-09
1804,0.0,4.943701892301533e-09
1805,2.842877711017877e-09,4.8328921309348516e-08
1806,2.881669125542885e-09,4.610670600868616e-08
1807,5.693910232196231e-09,5.693910232196231e-09
1808,0.0,0.0
1809,2.25903047379461e-08,6.7770917766551975e-09
1810,1.4040760554223652e-08,2.106114038724627e-08
1811,0.0,0.0
1812,0.0,1.3336041604361526e-08
1813,2.8757416448144113e-09,2.0130190847567064e-08
1814,2.2026739543434815e-08,3.1466771410748606e-09
1815,1.8880564667256294e-08,2.697223555614414e-09
1816,2.0858434979231788e-08,2.7811246638975717e-08
1817,1.556873407970727e-09,2.6466848268569265e-08
1818,0.0,3.814776761146277e-08
1819,3.1053151161586356e-09,1.449147024601416e-08
1820,0.0,3.678609061807947e-08
1821,5.9168927535324656e-09,2.3667571014129862e-08
1822,6.015369535816717e-09,2.0051231786055723e-08
1823,4.941343334508019e-09,4.644862983127496e-08
1824,1.6000115010683658e-08,2.4421225930382207e-08
1825,3.522177216552791e-09,3.169959583715354e-08
1826,2.642395191543301e-09,3.5231937367541377e-09
1827,5.530363722527909e-09,1.013900075008678e-08
1828,3.210305266065916e-08,5.503380862137419e-09
1829,7.715858174606183e-09,1.3717081692732336e-08
1830,1.878630406793036e-08,5.218417697960831e-09
1831,9.354723218280014e-09,6.236482441579483e-09
1832,9.470978667991403e-09,9.470978667991403e-09
1833,2.7800709290204395e-08,0.0
1834,0.0,7.467624740797874e-09
1835,1.2100940693926532e-08,3.781543966852041e-09
1836,2.688300027031687e-09,1.344150035720304e-08
1837,2.1569462660409044e-08,1.0436836284100082e-08
1838,1.199310784016916e-08,8.837027110075724e-09
1839,6.9914749545318955e-09,2.6567605004856887e-08
1840,8.917564464638872e-09,1.6561189752906103e-08
1841,3.852329122366882e-09,1.5409316489467528e-08
1842,2.2137275124123335e-08,1.2745703159566801e-08
1843,1.4767278067040479e-08,9.451057714215949e-09
1844,1.5367971784030487e-08,1.4270259640625227e-08
1845,1.562463758375543e-08,2.5669049108500985e-08
1846,6.439951683034906e-09,2.985795788390533e-08
1847,6.47186837454683e-09,3.343798482546845e-08
1848,1.528592186161859e-08,8.84974404868899e-09
1849,2.1786478399121734e-08,1.005529792763582e-08
1850,1.0862393651223101e-08,1.4935791270431764e-08
1851,5.159551008659946e-09,1.2898877521649865e-08
1852,1.1067927019325907e-08,6.510545436100301e-09
1853,5.3747388761848924e-09,1.7318601663873778e-08
1854,1.454786069388092e-08,1.2989160858012383e-08
1855,2.0166361025530932e-08,1.8574279891936385e-08
1856,4.141751386299575e-09,2.2779632402603056e-08
1857,1.9526035899275485e-08,1.7085282522089074e-08
1858,1.3702292633865909e-08,1.4191660291373864e-08
1859,5.601390462572908e-09,7.638259802433822e-09
1860,1.4646988510946812e-08,1.373155189554609e-08
1861,3.159695793897299e-08,3.1125360067107977e-08
1862,1.671654992208005e-08,3.6595690033891515e-08
1863,1.4983863039219614e-09,1.548332484446746e-08
1864,1.821996598039277e-08,1.2945765348604255e-08
1865,2.7770381549885315e-08,9.88437331983505e-09
1866,2.6274308950746672e-08,2.77339928800302e-08
1867,1.2132028714972876e-08,9.220341823379385e-09
1868,1.8277534152844055e-08,2.9639244392143382e-09
1869,1.0255390314739543e-08,9.278686263769487e-09
1870,5.734048791339319e-09,3.096386436141074e-08
1871,1.3807530230280918e-08,3.080141297573391e-08
1872,1.3908880269752899e-08,1.814201766592305e-08
1873,1.2570609442263958e-08,1.5563610844537834e-08
1874,8.961913877669758e-09,7.169530746864439e-09
1875,9.7265964171811e-09,1.602027666081085e-08
1876,1.1487427897804992e-08,6.650616057868319e-09
1877,0.0,6.184815992682502e-10
1878,1.69094480639842e-08,1.509772218355465e-08
1879,9.774920428640144e-09,1.0385853066452455e-08
1880,6.417846254436199e-09,3.8507077526617195e-09
1881,9.064259565150223e-09,3.4862537301449947e-09
1882,2.4624924321869912e-08,1.9300616216355593e-08
1883,1.516641390253426e-08,2.338155447034751e-08
1884,1.650424152899177e-08,2.2445769687351458e-08
1885,1.4180398189012067e-08,3.86738152613475e-09
1886,1.936039240035825e-08,2.19417763958063e-08
1887,8.48760173255414e-09,1.3710741875172516e-08
1888,1.3315291091942072e-08,5.706553452000662e-09
1889,6.891650361495749e-09,4.385595886446936e-09
1890,2.4251230357208442e-08,1.9007721618891082e-08
1891,1.7210394887001712e-08,1.4023283867459213e-08
1892,1.7551833764173352e-08,1.7551833764173352e-08
1893,1.3548516086814288e-08,1.6011883374744684e-08
1894,2.2685540557176864e-08,1.071261657159539e-08
1895,1.8657704714541978e-08,1.6852119699706236e-08
1896,1.8280790214930676e-08,1.3563166589847242e-08
1897,7.574727511894253e-09,8.740070001067579e-09
1898,1.6975064909274806e-08,2.8291773368493978e-09
1899,2.984892333302014e-08,2.7637891975018647e-09
1900,1.557315876254961e-08,5.710158568206225e-09
1901,1.2854099118442264e-08,7.824234593556412e-09
1902,3.928227076954727e-09,2.9461704187383475e-09
1903,1.1340462791054051e-08,1.3500550899436803e-08
1904,6.987012746151322e-09,4.837162670412454e-09
1905,1.5482277682110634e-09,8.773290538499623e-09
1906,1.18316245689698e-08,1.0802787109298606e-08
1907,4.114274698707732e-09,4.114274698707732e-09
1908,3.929111258571538e-09,5.40252820258047e-09
1909,7.151278680339601e-09,0.0
1910,1.3894791983659616e-08,2.67207544979442e-09
1911,1.1704822888702893e-08,3.1922244847493175e-09
1912,4.167536982180309e-09,1.2502610502451716e-08
1913,7.42418571064718e-09,1.0605979205990934e-08
1914,1.1384464038144415e-08,7.366418142140674e-09
1915,1.1780762143587253e-08,7.068456930880984e-09
1916,5.493730803607377e-09,1.0987461607214755e-08
1917,7.676496771580332e-09,2.4126133979507358e-08
1918,6.89182577673364e-09,8.040463406189247e-09
1919,8.287063479883727e-09,5.524709134618888e-09
1920,6.815008557481406e-09,4.543339038320937e-09
1921,2.877644078580488e-08,2.2718242842501013e-09
1922,1.1066902949607993e-08,7.377935595798135e-09
1923,5.307974060286824e-09,1.3800733000834953e-08
1924,1.4180787211159895e-08,6.445812328337297e-09
1925,8.798542339150117e-09,5.499089184013428e-09
1926,6.687683296036084e-09,1.1146138456652466e-09
1927,6.689535148041159e-09,6.689535148041159e-09
1928,5.713020723163709e-09,1.4853853258500749e-08
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,1.3654684494213143e-08,2.100720708497761e-09
1931,5.7026783295555106e-09,9.124285327288817e-09
1932,4.383814644626227e-09,1.0959536611565568e-09
1933,1.1470662641954732e-08,4.588264879146209e-09
1934,7.188948103475923e-09,2.3963160344919743e-09
1935,8.377798899061872e-09,3.590485242455088e-09
1936,2.424942913137329e-09,4.849885826274658e-09
1937,1.0072894518486919e-08,1.1332006444320086e-08
1938,2.074434313215079e-08,1.2965214457594243e-09
1939,9.176430282309411e-09,6.117620188206274e-09
1940,0.0,7.607348528892999e-09
1941,5.9030051957620344e-09,1.1806010391524069e-08
1942,9.102635090130207e-09,6.068423541449874e-09
1943,1.4516175816936538e-08,8.709705845433291e-09
1944,1.6065930807940276e-08,3.2131861615880553e-09
1945,6.535512131478072e-09,6.535512131478072e-09
1946,5.568441707737293e-09,0.0
1947,3.5762612871081956e-09,1.1920871401116528e-08
1948,1.0871888278529696e-08,3.2615663503321457e-09
1949,1.3743811422273211e-08,9.817008317369869e-10
1950,1.4889506516624351e-08,5.317680518146517e-09
1951,7.462981344019681e-09,2.1322803522849654e-09
1952,8.435843135146115e-09,0.0
1953,1.2928593307037772e-08,0.0
1954,6.840775057526116e-09,9.772536113672459e-10
1955,4.6928039232341234e-09,1.8771215692936494e-09
1956,9.593255967388359e-09,0.0
