year,trop_ADV approcher_VERB,trop_ADV rapprocher_VERB
1800,7.231578535993322e-08,3.458580977167003e-08
1801,4.7623650800687756e-08,3.809892135109294e-08
1802,8.951360541686881e-09,1.7902721083373763e-08
1803,3.705644502360883e-08,5.655983770225248e-08
1804,1.730295728918918e-08,2.2246657849223084e-08
1805,7.675770063997334e-08,0.0
1806,6.051504897186533e-08,2.0171682990621775e-08
1807,2.8469550272802735e-08,5.693910232196231e-09
1808,1.5862518409903714e-08,2.7192887941396293e-08
1809,1.581321384946932e-08,1.3554183553310395e-08
1810,7.722418615685456e-08,1.4040760554223652e-08
1811,3.5099073869560016e-08,2.5070767684098882e-09
1812,0.0,2.6672082320544632e-09
1813,1.4378708002027452e-08,4.888760685162197e-08
1814,9.440030979135372e-09,4.090680150170556e-08
1815,5.3944472000466703e-08,2.697223555614414e-09
1816,4.1716869958463576e-08,4.4034472068688046e-08
1817,3.269434145636296e-08,3.580808893843823e-08
1818,4.172412104708201e-08,3.814776761146277e-08
1819,3.1053151161586356e-08,2.898294049202832e-08
1820,4.6279275522920216e-08,2.610625848831205e-08
1821,5.719663320746804e-08,2.7612166775270452e-08
1822,2.0051231786055723e-08,3.60922172149003e-08
1823,3.261286707356703e-08,1.3835761869529506e-08
1824,1.51580028528997e-08,1.9368560089105813e-08
1825,2.3774695989686734e-08,2.3774695989686734e-08
1826,4.668231667892542e-08,9.688783109140786e-09
1827,2.8573547083965423e-08,1.013900075008678e-08
1828,1.1006761724274838e-08,1.0089530988466322e-08
1829,4.4580517055692326e-08,1.971830521085849e-08
1830,3.861629238599562e-08,3.861629238599562e-08
1831,4.365537620287796e-08,7.795603274018958e-09
1832,1.6235963684607668e-08,3.6530916958099624e-08
1833,5.560141858040879e-08,9.266902800675325e-09
1834,4.573920264761e-08,2.5203233278148218e-08
1835,2.4958190181223472e-08,2.193295500774184e-08
1836,2.755507466645213e-08,2.2850549896702432e-08
1837,2.99189295560609e-08,6.262101948095733e-09
1838,4.3553917805638775e-08,2.1461350030449466e-08
1839,3.705481788074394e-08,1.8876983531868063e-08
1840,4.968357103507515e-08,1.0828470564661075e-08
1841,3.274479709602929e-08,3.659712533021775e-08
1842,2.884553929050071e-08,1.408735705865638e-08
1843,2.8943864194275193e-08,1.7720733325177207e-08
1844,1.920996517412732e-08,2.7442807137845193e-08
1845,1.9530798311961917e-08,3.4039391749729475e-08
1846,1.6392604607062822e-08,1.7563504428608212e-08
1847,1.941560512364049e-08,2.8584086209093584e-08
1848,3.137636639394259e-08,4.022610866627474e-08
1849,1.508294644736452e-08,3.016589289472904e-08
1850,2.1724787302446202e-08,4.6844071732721204e-08
1851,2.96674187438839e-08,2.3217978650791338e-08
1852,1.2370036550635177e-08,1.4974254725075298e-08
1853,1.970737528722566e-08,3.2248433257109355e-08
1854,3.896748168585873e-08,3.688921879074769e-08
1855,3.02495415382964e-08,2.7065379271107304e-08
1856,1.8120163147727908e-08,2.019103817474388e-08
1857,2.3431244500216053e-08,1.3180074809326925e-08
1858,2.495774786837046e-08,2.104280660830682e-08
1859,5.092173349652285e-09,2.800695320104296e-08
1860,3.158256944857385e-08,2.197048232233101e-08
1861,1.2733101684148096e-08,1.744906619194353e-08
1862,4.382446761042047e-08,1.7168348520613108e-08
1863,1.8480097452311384e-08,1.048870412745373e-08
1864,2.445311331200628e-08,3.2604148714199255e-08
1865,2.6358328852893465e-08,2.3534221682552925e-08
1866,1.1190909532388105e-08,2.1408697037372804e-08
1867,1.455843445796745e-08,1.358787216076962e-08
1868,1.8277534152844055e-08,1.679557115608077e-08
1869,1.953407746668745e-08,4.0533208789383934e-08
1870,1.2614907340946502e-08,3.039045992636602e-08
1871,0.0,1.5931766128574054e-08
1872,1.0280476914203973e-08,2.4794090336399677e-08
1873,1.3767810003173508e-08,2.5141218884527916e-08
1874,1.7326366119618797e-08,1.9118749250424116e-08
1875,1.0870901512305409e-08,1.1443054503956773e-08
1876,2.7207066821688386e-08,4.776351758550845e-08
1877,1.0514186854493346e-08,1.4843558382438005e-08
1878,3.563062378475479e-08,2.294853729267743e-08
1879,2.1993571408529533e-08,3.360128886242819e-08
1880,7.701415505323439e-09,2.1820676820993867e-08
1881,2.5101027034679646e-08,7.669758161910067e-09
1882,1.9300616216355593e-08,1.8635077481121698e-08
1883,2.5277355764075082e-09,2.8437025179073316e-08
1884,9.242375753615306e-09,1.3203393933736152e-08
1885,1.4180398189012067e-08,3.8029249083137984e-08
1886,1.2261581083805595e-08,3.613939725255477e-08
1887,4.570247291724172e-09,2.6768590899450828e-08
1888,1.775372027168487e-08,2.2192152115962926e-08
1889,1.4409814674820609e-08,2.255449160770695e-08
1890,3.9326319978272295e-08,2.4906668727453507e-08
1891,8.286486163910922e-09,1.6572972327821844e-08
1892,1.0656471260972467e-08,1.6924984080901595e-08
1893,2.586534897375259e-08,1.7243566574620672e-08
1894,2.5836310868498913e-08,1.5123694296903523e-08
1895,1.1435367319734269e-08,2.9491211250842753e-08
1896,1.0614652268259306e-08,2.94851449922362e-08
1897,1.1070755867592652e-08,1.981082675683865e-08
1898,5.092519295146758e-09,2.6594268121016285e-08
1899,9.949641111006713e-09,1.6582735185011188e-08
1900,1.2977633190303095e-08,1.7130474816440255e-08
1901,7.824234593556412e-09,9.500856101851696e-09
1902,1.1293653123800595e-08,1.5221880644844532e-08
1903,1.296052865029651e-08,4.860198465905796e-09
1904,1.0749250378694342e-08,2.364835083312755e-08
1905,1.0321517862621477e-08,2.4255568220610257e-08
1906,2.006231980544726e-08,2.1605574218597212e-08
1907,3.599990305858114e-09,9.771402353919711e-09
1908,6.875944702500192e-09,2.504808449543816e-08
1909,9.351672325408344e-09,2.3654228797909127e-08
1910,1.6566866989364826e-08,1.977335806202518e-08
1911,1.3832972989291648e-08,1.3300935464144459e-08
1912,9.376957876838787e-09,1.4586379215586476e-08
1913,3.181793939432964e-09,1.3787773589513108e-08
1914,1.339348720819089e-08,2.74566485103378e-08
1915,3.2986132936230206e-08,2.0027295377644805e-08
1916,4.394984820521586e-09,1.7579939282086343e-08
