year,trop_ADV établi_VERB
1800,1.5720821977538435e-08
1801,5.2386017301842e-08
1802,8.951360541686881e-09
1803,3.900678446910888e-09
1804,0.0
1805,8.528632911009026e-09
1806,8.645007376628655e-09
1807,0.0
1808,4.5321479902327155e-09
1809,0.0
1810,4.680253518074551e-09
1811,2.5070767684098882e-09
1812,0.0
1813,5.751483289628823e-09
1814,3.1466771410748606e-09
1815,8.091670444798638e-09
1816,0.0
1817,4.670620334934483e-09
1818,9.536941902865692e-09
1819,2.070210003424222e-09
1820,0.0
1821,5.9168927535324656e-09
1822,9.023054303725075e-09
1823,5.929612356680991e-09
1824,1.0947446504872005e-08
1825,2.6416328680056722e-08
1826,4.403992281964975e-09
1827,1.3825909306319772e-08
1828,2.109629271274116e-08
1829,1.2859763920403111e-08
1830,7.305785310052215e-09
1831,4.677361609140007e-09
1832,0.0
1833,0.0
1834,1.8669061851994684e-09
1835,2.4958190181223472e-08
1836,2.688300027031687e-09
1837,1.461157062010443e-08
1838,1.2624323808552163e-09
1839,7.690622361167243e-09
1840,5.095750932326837e-09
1841,7.704658244733764e-09
1842,1.341653010911159e-09
1843,2.953455480181333e-09
1844,4.390849017710252e-09
1845,1.1160455892778032e-09
1846,1.7563503984519002e-09
1847,3.235934187273415e-09
1848,0.0
1849,3.3517659758786067e-09
1850,3.394498016007219e-09
1851,1.9348316282474798e-09
1852,0.0
1853,7.166318205520383e-09
1854,5.7152309551611324e-09
1855,9.021793090369101e-09
1856,6.212626857404757e-09
1857,2.0502337605421417e-08
1858,2.4468380654951716e-09
1859,6.619825576592575e-09
1860,7.323494255473406e-09
1861,5.187560159214399e-09
1862,3.6143890103090826e-09
1863,1.3485475847119233e-08
1864,5.274200631788517e-09
1865,0.0
1866,6.3252967308358166e-09
1867,6.308654931785895e-09
1868,2.4699371437009177e-09
1869,9.767038289254515e-10
1870,2.8670243956696595e-09
1871,4.248470908407853e-09
1872,1.2094678591978436e-09
1873,0.0
1874,1.7923826867161097e-09
1875,8.58229043387837e-09
1876,2.418405919968336e-09
1877,6.184815992682502e-10
1878,1.2078177347163432e-09
1879,6.720257683667796e-09
1880,0.0
1881,0.0
1882,5.989846840748214e-09
1883,4.423537092179686e-09
1884,7.2618666635548834e-09
1885,0.0
1886,1.936039106809062e-09
1887,4.570247291724172e-09
1888,1.9021844099853524e-09
1889,1.8795409673089125e-09
1890,5.898947996740844e-09
1891,6.3742202627281586e-09
1892,7.522214851007902e-09
1893,7.390100087434348e-09
1894,3.150769645188234e-09
1895,4.814891596538473e-09
1896,1.7691086373616827e-09
1897,2.9133566670225264e-09
1898,4.52668391659472e-09
1899,0.0
1900,1.038210628578895e-09
1901,5.029864968975062e-09
1902,1.9641135384773634e-09
1903,6.480264325148255e-09
1904,0.0
1905,0.0
1906,1.0288369045596824e-09
1907,6.685696440911215e-09
1908,4.911389073214423e-09
1909,5.5009836685826485e-09
1910,3.740905363258662e-09
1911,1.5961122423746588e-09
1912,2.6047106693738442e-09
1913,4.772690687104841e-09
1914,6.696743715117748e-10
1915,5.890381071793627e-09
1916,3.2962386153911893e-09
1917,1.0966424213165737e-08
