year,trop_ADV assuré_VERB,trop_ADV rassuré_VERB
1800,7.860411166404901e-08,2.5153315874604232e-08
1801,1.2858386355674156e-07,2.3811825400343878e-08
1802,3.3567602031325805e-08,1.3427040812530322e-08
1803,7.216254971353919e-08,9.751696339321825e-09
1804,7.168368010290749e-08,7.4155526164076946e-09
1805,1.2792949632967066e-07,2.842877711017877e-09
1806,2.0459850702536642e-07,2.305335300434308e-08
1807,3.131650672116848e-08,8.540865792383556e-09
1808,5.891792298484688e-08,9.064295980465431e-09
1809,9.939734102459852e-08,1.129515236897305e-08
1810,1.6848912309797015e-07,3.510190182964834e-08
1811,9.025476366275598e-08,1.0028307073639553e-08
1812,8.535065987302914e-08,2.6672082320544632e-09
1813,6.326631663000626e-08,1.7254450312975678e-08
1814,6.608022173892891e-08,0.0
1815,7.282503400318774e-08,2.697223555614414e-09
1816,4.6352077731626196e-08,6.952811659743929e-09
1817,7.784367106467016e-08,4.670620334934483e-09
1818,9.5369422359326e-08,2.384235475716423e-09
1819,7.34924556766714e-08,3.1053151161586356e-09
1820,1.0086509050211134e-07,2.966620371580575e-08
1821,1.0847636788824389e-07,1.1833785507064931e-08
1822,9.323822780515911e-08,3.0076847679083585e-09
1823,9.388552335565237e-08,6.917880934764753e-09
1824,1.0189546273409178e-07,7.57900142644985e-09
1825,9.5979331149465e-08,1.3208164340028361e-08
1826,4.1397527628106445e-08,7.927186018719112e-09
1827,3.594736486256522e-08,1.3825909306319772e-08
1828,5.044765671868845e-08,1.559291185060374e-08
1829,4.458051672262542e-08,3.1720752247110795e-08
1830,5.4271545479878114e-08,3.5485243188304594e-08
1831,1.7150327158432788e-08,9.354723218280014e-09
1832,5.1413883928042026e-08,1.3529969367098715e-09
1833,4.51761508202253e-08,1.1583628278799551e-08
1834,5.600718644416247e-08,2.0535967593104942e-08
1835,4.310960122211327e-08,2.0420337421001022e-08
1836,6.787957884668572e-08,2.352262562510532e-08
1837,8.419048214136637e-08,1.461157062010443e-08
1838,7.637716081809742e-08,2.1461350030449466e-08
1839,4.75420309786756e-08,7.690622361167243e-09
1840,3.3122380838079835e-08,1.3376346252869098e-08
1841,3.146068650039524e-08,2.1829865914924085e-08
1842,4.159124245006751e-08,2.4149754196400863e-08
1843,2.303695284533447e-08,1.2995204246024628e-08
1844,6.531388074826339e-08,2.195424464446205e-08
1845,6.249855299955698e-08,2.734311710383963e-08
1846,3.0443407350588814e-08,1.4636253098387897e-08
1847,2.2651540199092324e-08,2.534815113364175e-08
1848,2.654923214606697e-08,1.0458788390899088e-08
1849,2.5976186535103807e-08,2.3462361831150247e-08
1850,1.8330290174617403e-08,1.968808849284187e-08
1851,2.2573035218798054e-08,9.674158363282004e-09
1852,3.841221740685796e-08,1.1067927019325907e-08
1853,4.658106789179328e-08,3.2845626662947325e-08
1854,5.923057466716841e-08,1.7145692865483397e-08
1855,2.388121700391821e-08,2.0166361025530932e-08
1856,3.054541508618058e-08,7.765783571755946e-09
1857,3.8075771868761876e-08,8.298565390418844e-09
1858,3.229826173178907e-08,1.5170396494568195e-08
1859,3.462677944376935e-08,3.920973412618878e-08
1860,4.0279217516925314e-08,2.8378540406492903e-08
1861,3.5369729367573655e-08,3.678451676591976e-08
1862,5.3764036889170086e-08,1.581295272501393e-08
