year,beaucoup_ADV avoir_VERB
1800,1.2576657937302116e-08
1801,9.048493865293494e-08
1802,3.1329761895904085e-08
1803,2.145373123596528e-08
1804,1.9774807569206132e-08
1805,1.9900143755080535e-08
1806,4.034336598124355e-08
1807,5.693910232196231e-09
1808,3.852325747288887e-08
1809,7.228897658251299e-08
1810,2.3401266702194334e-08
1811,2.5070767684098882e-09
1812,4.5342538612658245e-08
1813,0.0
1814,3.1466772298927026e-08
1815,2.697223555614414e-09
1816,4.4034472068688046e-08
1817,1.71256075987003e-08
1818,2.98029441125891e-08
1819,2.3807414706311647e-08
1820,9.493184904840746e-09
1821,1.2819934447350079e-08
1822,3.208197085768916e-08
1823,1.7788837070042973e-08
1824,1.9368560089105813e-08
1825,4.3146670236637874e-08
1826,6.1655889282974385e-09
1827,1.013900075008678e-08
1828,6.420610709767516e-09
1829,2.1432940755516938e-08
1830,1.5655253093882493e-08
1831,1.870944643656003e-08
1832,1.0823975493678972e-08
1833,3.4750886612755494e-08
1834,3.173740381612333e-08
1835,2.0420337421001022e-08
1836,2.352262562510532e-08
1837,2.7135774516295896e-08
1838,2.651107955387033e-08
1839,1.0487212875887053e-08
1840,1.7198159341091923e-08
1841,1.0914932957462042e-08
1842,2.0795621225033756e-08
1843,1.063243981747064e-08
1844,2.305195678786731e-08
1845,1.897277535078956e-08
1846,4.6836010625384006e-09
1847,1.1325769655456952e-08
1848,9.65426583121598e-09
1849,2.76520690789539e-08
1850,2.2403686017469226e-08
1851,1.5478653025979838e-08
1852,1.5625309046640723e-08
1853,3.822036376277538e-08
1854,1.558699302961486e-08
1855,3.555647865027822e-08
1856,4.193523395201737e-08
1857,2.880090299584026e-08
1858,4.991549573674092e-08
1859,2.2405561850291633e-08
1860,2.3801355553132453e-08
1861,2.263662679524714e-08
1862,2.4397126097142063e-08
1863,3.9457503930862003e-08
1864,2.349416661218129e-08
1865,4.8009813014004976e-08
1866,2.3354942868536455e-08
1867,3.105799351033056e-08
1868,2.766329387782207e-08
1869,2.8812763730456936e-08
1870,2.121598008386627e-08
1871,2.8677177965619194e-08
1872,2.7213026498884574e-08
1873,1.1373408881354408e-08
1874,2.3898437007119355e-08
1875,2.2313955128083762e-08
1876,1.269663130187837e-08
1877,1.0514186854493346e-08
1878,2.2344627481629686e-08
1879,2.2604503158163425e-08
1880,3.0805662021293756e-08
1881,3.974329487732575e-08
1882,2.5956001792337702e-08
1883,1.3270612164717477e-08
1884,1.9144920315739e-08
1885,2.5782542323327107e-08
1886,2.5168509054651622e-08
1887,1.828098916689669e-08
1888,1.9021843655764314e-08
1889,1.1903759755682586e-08
1890,2.8839300725280737e-08
1891,1.9122660788184476e-08
1892,2.4447198043731078e-08
1893,1.7859408174558666e-08
1894,2.7096618282484997e-08
1895,2.2268872967856623e-08
1896,1.9460195233023114e-08
1897,2.6220211779559577e-08
1898,2.2633418694795182e-08
1899,1.5477219506010442e-08
1900,2.595526638060619e-08
1901,3.129693837422565e-08
1902,1.5221880644844532e-08
1903,1.7820726228023887e-08
1904,2.042357571951925e-08
1905,1.0837593933388234e-08
1906,1.8519063615940468e-08
1907,1.491424583832668e-08
1908,2.2101250607420297e-08
1909,1.8153246017504898e-08
1910,1.6566866989364826e-08
1911,2.181353409014264e-08
1912,3.125652625612929e-08
1913,1.484837142129436e-08
1914,1.808120764223986e-08
1915,1.6493066468115103e-08
1916,1.7579939282086343e-08
1917,1.315970976634162e-08
1918,2.756730310693456e-08
1919,3.775218004875569e-08
1920,2.6502810612782923e-08
1921,2.8019165654313838e-08
1922,1.4018077365562931e-08
1923,1.4862327368803108e-08
1924,2.4494086758863887e-08
1925,2.0896537833436923e-08
1926,1.7833821530643945e-08
1927,2.8987985345452216e-08
1928,1.82816659588525e-08
1929,2.4508894469477127e-08
1930,1.6805765667982087e-08
1931,1.1405356659111021e-08
1932,2.9590749406338546e-08
1933,9.176529758292418e-09
1934,1.4377896206951846e-08
1935,2.5133395809007197e-08
1936,2.0612015205756506e-08
1937,3.273690651894867e-08
1938,2.852347158466273e-08
