year,trop_ADV avoir_VERB
1800,7.545995117652637e-08
1801,1.7144515140898875e-07
1802,6.937304419807333e-08
1803,1.1507001573818343e-07
1804,1.4336735887354735e-07
1805,1.194008660831969e-07
1806,1.181484350354367e-07
1807,4.555128185756985e-08
1808,9.970725756147658e-08
1809,8.132509776714869e-08
1810,1.0062544930633521e-07
1811,5.515568801683912e-08
1812,7.20146218213813e-08
1813,3.738464116054274e-08
1814,3.4613449884091096e-08
1815,4.045835311217161e-08
1816,9.965696534663948e-08
1817,1.214361304846534e-07
1818,8.702459552978326e-08
1819,8.384350280721264e-08
1820,1.1273156985680544e-07
1821,8.57949515875589e-08
1822,8.622029668003961e-08
1823,1.363810753218786e-07
1824,1.2463246434890607e-07
1825,1.1006803646296248e-07
1826,1.109806007093539e-07
1827,1.0046827725318508e-07
1828,1.3758452155343548e-07
1829,1.0973665354185869e-07
1830,1.0854309095975623e-07
1831,6.860130952190957e-08
1832,8.253281436054749e-08
1833,4.865124125785769e-08
1834,5.0406466556296436e-08
1835,7.714349692378164e-08
1836,8.333729795140243e-08
1837,9.393152566872232e-08
1838,8.0164454629994e-08
1839,6.711816524784808e-08
1840,5.923810419972142e-08
1841,6.035315891494974e-08
1842,9.324488559059319e-08
1843,7.324569395450453e-08
1844,9.220782715146925e-08
1845,9.095771247302764e-08
1846,7.962121628679597e-08
1847,6.040410482910374e-08
1848,7.321151684891447e-08
1849,2.4300303991253713e-08
1850,4.6844071732721204e-08
1851,7.223371767395292e-08
1852,6.250123618656289e-08
1853,6.867721680237082e-08
1854,8.261106643203675e-08
1855,6.739810487488285e-08
1856,4.504154560436291e-08
1857,8.59145572462694e-08
1858,6.019221387987272e-08
1859,7.994712092340706e-08
1860,5.309533435138292e-08
1861,6.932466334319543e-08
1862,8.855253241790706e-08
1863,1.2536497706605587e-07
1864,4.8426752385921645e-08
1865,6.26010319138004e-08
1866,7.006482860560936e-08
1867,1.057912868418498e-07
1868,4.890475224783586e-08
1869,7.81363098667498e-08
1870,1.0894692792362548e-07
1871,7.328612383616928e-08
1872,6.107812566824578e-08
1873,6.764184945495799e-08
1874,4.779687401423871e-08
1875,4.9777284516494547e-08
1876,6.166935406781704e-08
1877,6.246663986075873e-08
1878,6.884560832531861e-08
1879,1.0202573008655236e-07
1880,9.947661538944885e-08
1881,6.554157039317943e-08
1882,8.785108462916469e-08
1883,7.835980397885578e-08
1884,4.15906917794473e-08
1885,5.736615804607936e-08
1886,5.808117364836107e-08
1887,6.006610675513002e-08
1888,4.9456794215529953e-08
1889,5.7012744747453326e-08
1890,3.342736931699619e-08
1891,2.4859458491732767e-08
1892,3.57305189879753e-08
1893,3.202376674948937e-08
1894,2.3945849747519787e-08
1895,4.5741469278937075e-08
1896,3.3023361822870356e-08
1897,3.6708296846654775e-08
1898,3.225262190653666e-08
1899,6.30143972557562e-08
1900,3.3741844873702576e-08
1901,2.8502569193733507e-08
1902,2.6515532880466708e-08
1903,2.754112315983548e-08
1904,3.9772224624812225e-08
1905,4.18021492976095e-08
1906,4.4754404626701216e-08
1907,3.857132568896304e-08
1908,2.7994918383456024e-08
1909,4.455796798197298e-08
1910,2.5651923252212327e-08
1911,2.6601870928288918e-08
1912,4.844761747335724e-08
1913,3.977242357677824e-08
1914,2.74566485103378e-08
1915,5.301343009023185e-08
1916,3.625862632361532e-08
1917,4.7155623406069935e-08
1918,3.101321510712296e-08
1919,2.2098836538475553e-08
1920,3.33178178379967e-08
1921,3.937828552125211e-08
1922,3.172512208493572e-08
1923,4.883336046646036e-08
1924,5.1566498626698376e-08
1925,2.5295809891190402e-08
1926,3.901148559748435e-08
1927,3.9022285847067906e-08
1928,3.7705934374798744e-08
1929,4.121950425428622e-08
1930,4.621585603103995e-08
1931,2.5091784650044247e-08
1932,5.041386685888938e-08
1933,3.326492148403304e-08
1934,2.995395220750652e-08
1935,3.351119559624749e-08
1936,5.698615979099486e-08
1937,3.651424407280501e-08
1938,1.9447821131279852e-08
1939,3.5176316970364496e-08
1940,2.7893612752905028e-08
1941,3.246652724442356e-08
1942,5.76500234217292e-08
1943,3.4838823381733164e-08
1944,3.855823393905666e-08
1945,2.832055301382752e-08
1946,4.037120149291695e-08
1947,3.099426493236024e-08
1948,3.152847583010043e-08
1949,3.043272656100271e-08
1950,3.722376362702562e-08
1951,3.1984203729962246e-08
1952,2.8470971358274255e-08
1953,3.124409886368085e-08
1954,4.0067398288101685e-08
1955,4.035811329572425e-08
1956,2.441919733087161e-08
1957,2.1204090927540165e-08
1958,4.549733745307094e-08
1959,2.325224279786653e-08
1960,3.944875004435744e-08
1961,4.377340445671507e-08
1962,3.361236977639237e-08
1963,3.168366191630412e-08
1964,4.137098486012292e-08
1965,4.377634610364112e-08
1966,4.9297764093125807e-08
1967,4.141481824149196e-08
1968,4.042274426296899e-08
1969,4.042164292172856e-08
1970,4.828661204214768e-08
1971,4.1107178105903586e-08
1972,3.693705608043274e-08
1973,3.087394162548662e-08
1974,2.193973003272731e-08
1975,2.798625331479343e-08
1976,4.1137393935741784e-08
1977,3.290997696581144e-08
1978,3.742572474152439e-08
1979,2.3993090181306798e-08
1980,4.207011627954671e-08
1981,3.0995192190630405e-08
1982,2.9175261317959666e-08
1983,3.34711742766558e-08
1984,4.059305780401701e-08
1985,3.2484013701150616e-08
1986,4.076250093021372e-08
1987,3.972030881982391e-08
1988,2.338656024392094e-08
1989,3.2928731741321826e-08
1990,2.887784944505256e-08
1991,3.165191131415668e-08
1992,3.305966345124034e-08
1993,3.655877023334142e-08
1994,2.7429617688312646e-08
1995,4.0668382439434936e-08
1996,3.096093337262573e-08
1997,4.6030987022049885e-08
1998,4.5297227302398824e-08
1999,4.433094957789763e-08
2000,4.152949628632996e-08
2001,3.7240301509200435e-08
2002,5.169841443830592e-08
2003,4.583615265119079e-08
2004,4.977414036488881e-08
2005,4.77397463782836e-08
2006,4.817931298362055e-08
2007,3.515141955290346e-08
2008,4.4277371102907637e-08
2009,5.197329855377575e-08
2010,5.81026533552631e-08
2011,6.95962896202218e-08
2012,7.897866538542075e-08
2013,6.861247925371572e-08
2014,6.79949820892034e-08
2015,6.804886254485609e-08
2016,7.643244970267915e-08
2017,7.144335967268489e-08
2018,8.69954277504803e-08
2019,9.260085676032759e-08
