year,premier_ADJ art_NOUN,premier_ADJ char_NOUN
1800,1.5091990102078512e-07,3.144164484325529e-09
1801,5.000483449535409e-08,1.904946067554647e-08
1802,7.161088433349505e-08,6.713520406265161e-09
1803,1.2482170674843474e-07,1.755305234496518e-08
1804,1.0134588990240445e-07,1.2359254952798437e-08
1805,8.528633421711618e-08,2.842877711017877e-09
1806,3.1698359492793315e-08,0.0
1807,6.832692145408714e-08,0.0
1808,4.305540546312159e-08,0.0
1809,6.099382443558454e-08,9.036122072814123e-09
1810,5.3822916346035754e-08,0.0
1811,3.259199621297171e-08,5.0141535368197765e-09
1812,2.9339290108509886e-08,1.3336041604361526e-08
1813,7.189353801173581e-08,2.8757416448144113e-09
1814,1.5733386149463513e-08,0.0
1815,4.315557688983063e-08,0.0
1816,5.7940098940889584e-08,0.0
1817,5.60474440192138e-08,4.670620334934483e-09
1818,4.4108355412575406e-08,3.5763532135746345e-09
1819,6.935203400448842e-08,0.0
1820,6.289235354728362e-08,4.746592452420373e-09
1821,6.508582273134778e-08,8.875339574387908e-09
1822,4.912551787583652e-08,9.023054303725075e-09
1823,3.261286796174545e-08,7.906149512848515e-09
1824,5.9789897477458e-08,3.03160057057994e-08
1825,5.811592274085342e-08,4.4027217427355936e-09
1826,4.580151724553616e-08,2.9066348328221636e-08
1827,3.0417001140037314e-08,1.8434546111834038e-09
1828,3.118582486694166e-08,0.0
1829,4.2865879235076676e-08,8.57317605795771e-10
1830,2.609209004411639e-08,1.0436835840010872e-09
1831,2.3386808933878456e-08,3.1182412207897414e-09
1832,6.223786208625626e-08,5.411987746839486e-09
1833,3.243415902520752e-08,3.4750886612755494e-09
1834,5.8807543945604834e-08,1.8669061851994684e-08
1835,3.1764969321557146e-08,1.1344631900556124e-08
1836,3.965242673098501e-08,8.064899859050456e-09
1837,2.0177884252348122e-08,2.0873673012289373e-08
1838,2.4617431870765927e-08,2.3354998823776896e-08
1839,5.313521023175838e-08,9.088917618527148e-09
1840,3.567025785855549e-08,5.095750932326837e-09
1841,2.7608359598474408e-08,9.630822805917205e-09
1842,2.683306021822318e-08,2.6162233268678392e-08
1843,2.7171791094904307e-08,1.0632440039515245e-08
1844,4.116421076227894e-08,1.5916826967554698e-08
1845,3.236532108985557e-08,1.0044410470033682e-08
1846,4.7421458981844467e-08,2.517435504501009e-08
1847,5.447156059545932e-08,8.089835468183537e-09
1848,2.976732055293141e-08,4.02261068899179e-09
1849,3.016589378290746e-08,0.0
1850,4.480737292311687e-08,1.2220192857625989e-08
1851,3.611685728266423e-08,5.159551008659946e-09
1852,1.3672145193766028e-08,2.018269107395554e-08
1853,2.7470886232450198e-08,1.4929829372789527e-08
1854,2.909572138776184e-08,1.3508727469968562e-08
1855,4.4578271740647324e-08,3.714855978387277e-09
1856,2.3815070804289462e-08,1.967331869634492e-08
1857,3.7099469274437524e-08,1.122747050885664e-08
1858,3.0340791934424516e-08,8.808616946964776e-09
1859,2.698851919724632e-08,1.1202781591279631e-08
1860,2.0139609091529564e-08,1.006980487883169e-08
1861,1.65058727241707e-08,8.488735048217677e-09
1862,3.2077704131827645e-08,6.325180823552046e-09
1863,3.196557385454213e-08,1.848009772986714e-08
1864,7.192091966423675e-08,5.2742009648554244e-09
1865,4.3302967545066906e-08,6.589582213223366e-09
1866,3.113992252945508e-08,2.1408697037372804e-08
1867,2.135237053835226e-08,1.9896527092555516e-08
1868,3.606107934484015e-08,2.0747471296544973e-08
1869,3.2719577824913415e-08,6.8369265804335555e-09
1870,3.268407811063412e-08,1.834895613228582e-08
1871,2.8677179297886823e-08,8.496941816815706e-09
1872,2.721302727604069e-08,1.4513614199351821e-08
1873,1.9753815583278822e-08,8.380406590902112e-09
1874,2.6885741521986972e-08,3.5847653734322193e-09
1875,2.860763526069121e-08,7.437985338754061e-09
1876,3.1439278513900604e-08,1.209202959984168e-08
1877,2.9068635498674666e-08,2.1646856751544874e-08
1878,3.442280532839348e-08,1.0870359723469392e-08
1879,2.8102896787451925e-08,6.720257683667796e-09
1880,3.7865292457084365e-08,2.5671384351610982e-08
1881,3.207353549417036e-08,1.3945014920579979e-08
1882,2.1297231533878858e-08,1.5307385581309063e-08
1883,1.8326083373043645e-08,1.1374810426900694e-08
1884,2.772712726084592e-08,1.5844072720483382e-08
1885,4.44748863293043e-08,1.8047780214747178e-08
1886,2.2587123060802128e-08,6.4534639854230136e-09
