year,léger_ADJ hommage_NOUN,léger_ADJ chômage_NOUN
1800,0.0,0.0
1801,9.524730337773235e-09,0.0
1802,1.1189200677108602e-08,0.0
1803,7.801356893821776e-09,0.0
1804,0.0,0.0
1805,1.7057265822018053e-08,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,4.743964154840796e-08,0.0
1810,1.4040760554223652e-08,0.0
1811,0.0,0.0
1812,4.000812481308458e-08,0.0
1813,5.751483289628823e-09,0.0
1814,2.5173417128598885e-08,0.0
1815,2.4275012222574333e-08,0.0
1816,1.8540831092650478e-08,0.0
1817,1.401186100480345e-08,0.0
1818,1.3113295338484932e-08,0.0
1819,5.175524897538253e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,6.903041693817613e-09,0.0
1822,2.105379337535851e-08,0.0
1823,1.4824030003524058e-08,0.0
1824,5.894778887238772e-09,0.0
1825,2.0252519661312363e-08,0.0
1826,9.688783109140786e-09,0.0
1827,9.217273166939322e-09,0.0
1828,1.0089530988466322e-08,0.0
1829,5.143905745796928e-09,0.0
1830,5.218417697960831e-09,0.0
1831,7.795603274018958e-09,0.0
1832,3.92369123858316e-08,0.0
1833,9.266902800675325e-09,0.0
1834,1.0267983796552471e-08,0.0
1835,4.5378527602224494e-09,0.0
1836,6.048674894287842e-09,0.0
1837,1.3915782304252389e-08,0.0
1838,3.787297142565649e-09,0.0
1839,1.11863602825224e-08,0.0
1840,1.2739377330817092e-09,0.0
1841,8.346713542550788e-09,0.0
1842,1.542900918138912e-08,0.0
1843,1.1813822142769936e-09,5.906911071384968e-10
1844,2.7442805805577564e-09,0.0
1845,7.812318791877715e-09,0.0
1846,1.7563503984519002e-09,0.0
1847,2.1572894581822766e-09,0.0
1848,7.24069959545659e-09,0.0
1849,1.4245005175439474e-08,0.0
1850,2.7155984128057753e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,3.906327261660181e-09,0.0
1853,9.555090940693844e-09,0.0
