year,dernier_ADJ art_NOUN,dernier_ADJ char_NOUN
1800,7.231578535993322e-08,6.288328968651058e-09
1801,4.524246932646747e-08,1.6668277424969347e-08
1802,4.699464284385613e-08,0.0
1803,4.290746247193056e-08,1.1702034896643454e-08
1804,6.673997243744623e-08,2.2246657849223084e-08
1805,6.538618890772341e-08,0.0
1806,1.123850950079941e-07,2.881669125542885e-09
1807,6.832692633906845e-08,0.0
1808,7.024829162816104e-08,0.0
1809,9.262025457701384e-08,0.0
1810,8.658468830802235e-08,0.0
1811,1.178326058948187e-07,0.0
1812,2.9339290108509886e-08,0.0
1813,1.0927818472339368e-07,5.751483289628823e-09
1814,2.8320094713762956e-08,3.1466771410748606e-09
1815,3.5063905334808965e-08,2.697223555614414e-09
1816,3.0128852301913867e-08,0.0
1817,2.023935474770866e-08,1.556873407970727e-09
1818,5.841376804482934e-08,5.960588467246453e-09
1819,3.8298885840504227e-08,3.1053151161586356e-09
1820,4.390598107306687e-08,1.1866481131050932e-09
1821,3.254291136567389e-08,6.903041693817613e-09
1822,6.717162648328667e-08,0.0
1823,4.15072847204101e-08,9.882686891060644e-10
1824,5.894779064874456e-08,8.421112696055388e-10
1825,5.987701134912982e-08,0.0
1826,4.4039921931471326e-08,8.807984341885344e-10
1827,4.792982133405843e-08,1.8434546111834038e-09
1828,4.494427674472945e-08,2.7516904310687096e-09
1829,4.8009784592295546e-08,0.0
1830,5.114049561605327e-08,0.0
1831,9.666548095310645e-08,0.0
1832,4.329590197471589e-08,0.0
1833,2.895907214028881e-08,1.3900354645102198e-08
1834,3.827157613045529e-08,1.0267983796552471e-08
1835,2.7227116561334697e-08,6.050470346963266e-09
1836,4.166865003041309e-08,1.9490174807401672e-08
1837,3.7572609690172953e-08,0.0
1838,5.112851297894849e-08,9.468243078458727e-09
1839,4.055055669027752e-08,2.0974426639952526e-09
1840,4.522478957991183e-08,3.1848443882154243e-09
1841,4.044945534076305e-08,1.2841097074556274e-09
1842,2.0795621225033756e-08,1.1404051036834062e-08
1843,5.2571508035725856e-08,5.906911071384968e-10
1844,1.920996517412732e-08,6.037417232818143e-09
1845,4.0177642546268544e-08,8.37034175305007e-09
1846,5.0348710534109387e-08,2.9272506640865004e-09
1847,4.260646768727838e-08,5.393223645455691e-10
1848,1.850401076808339e-08,9.65426583121598e-09
1849,3.1841775438579134e-08,2.513824481908955e-09
1850,2.3761487000228954e-08,6.1100964288129944e-09
1851,2.7732586449502605e-08,9.029214709244116e-09
1852,3.255272873481374e-08,2.6042181744401205e-09
1853,2.7470885788360988e-08,1.0749477752369785e-08
1854,5.4034910601519215e-08,1.558699391779328e-09
1855,2.3350523292720027e-08,3.714855978387277e-09
1856,3.831120043429337e-08,8.801221973442352e-09
1857,5.2232147496056314e-08,2.4407546206361985e-08
1858,2.2510910357986802e-08,5.872411001917044e-09
1859,3.9718952349332426e-08,2.036869339860914e-09
1860,2.6089947979812678e-08,7.323494255473406e-09
1861,2.5466203645851948e-08,4.2443675241088386e-09
1862,2.394532752636458e-08,6.325180823552046e-09
1863,4.79483587279006e-08,2.4973103585068657e-09
1864,1.5343129544653777e-08,4.315255264231155e-09
1865,3.435996337453062e-08,7.530950973944073e-09
1866,3.600553633020809e-08,6.811858188626729e-09
1867,1.747012134956094e-08,2.91168689159349e-09
1868,1.0373735426227881e-08,2.4699371437009177e-09
1869,5.469541375369147e-08,3.906815315701806e-09
1870,3.7271317587794783e-08,1.7202146374017957e-09
1871,1.6993883855676017e-08,1.274541272522356e-08
1872,2.9027229397904364e-08,1.8142017887967654e-09
1873,2.1549615758509333e-08,1.1972008939764578e-09
1874,2.3300975704465543e-08,9.559374625212058e-09
1875,8.010137975134057e-08,5.149374260327022e-09
1876,6.348315650939185e-08,9.069021977836655e-09
1877,6.92699426707577e-08,3.0924081073635534e-09
1878,9.602150802257015e-08,9.662541877730746e-09
1879,7.392283463136806e-08,2.443730107160036e-09
1880,5.904418487467922e-08,6.417846254436199e-09
1881,3.9046041566681566e-08,6.2752567586699115e-09
1882,2.3959386696859042e-08,1.0648616211028639e-08
1883,1.7062215640351042e-08,5.0554711528150165e-09
1884,3.828984329601326e-08,3.9610181801208455e-09
1885,7.283568265181728e-08,6.445635580831777e-09
1886,1.0325542587619196e-08,7.744156427236248e-09
1887,3.068594506272504e-08,4.570247291724172e-09
1888,1.7119659911912777e-08,8.242799331981132e-09
1889,1.1903759755682586e-08,1.566284169030041e-08
1890,1.2453334363726754e-08,0.0
1891,2.42220359325529e-08,4.461953917456185e-09
1892,6.080457004564721e-08,3.1342561879199593e-09
1893,2.771287377356657e-08,9.23762488724833e-09
1894,2.7726773099701063e-08,6.301539290376468e-09
1895,3.731540831886093e-08,2.4074457982692365e-09
1896,2.4177819302195758e-08,8.845543852942228e-09
1897,2.6802881913923216e-08,6.409385022720926e-09
1898,4.187182522930044e-08,7.921697076085366e-09
1899,2.8743407654019393e-08,5.527578395003729e-09
1900,2.5436160733249835e-08,3.114631885736685e-09
1901,1.1009815992224503e-07,1.117747761014698e-08
1902,1.3257766440233354e-08,1.816805017540446e-08
1903,4.050165181013199e-08,1.1340462791054051e-08
1904,1.488771212976303e-07,6.449550227216605e-09
1905,1.186974607492175e-08,8.257214467732865e-09
1906,1.7490226600358483e-08,1.0288369045596824e-09
1907,1.6457098794830927e-08,2.5714217422034835e-09
1908,3.0450612031884816e-08,3.437972351250096e-09
1909,1.3752458449811655e-08,1.3752458727367411e-08
1910,2.2445433622841904e-08,9.085056262847502e-09
1911,1.7025198029152477e-08,1.4897047151407605e-08
1912,3.0735585632157836e-08,5.730363294986773e-09
1913,1.272717498057574e-08,9.015082902408267e-09
1914,2.4108277596468497e-08,9.37544086809794e-09
1915,9.424609537234119e-09,5.890381071793627e-09
1916,7.691223435912775e-09,1.0987462051303964e-09
1917,6.57985488317081e-09,3.289927441585405e-09
1918,3.2161854512935406e-08,6.89182577673364e-09
1919,8.287063646417181e-09,2.025726608678724e-08
1920,3.483226462819289e-08,1.590168707821249e-08
1921,1.741731914250977e-08,5.300923255902035e-09
1922,1.5493664462518097e-08,5.902348387820666e-09
