year,premier_ADJ are_NOUN,premier_ADJ char_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,2.3811825844433088e-09,1.904946067554647e-08
1802,0.0,6.713520406265161e-09
1803,0.0,1.755305234496518e-08
1804,0.0,1.2359254952798437e-08
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,9.036122072814123e-09
1810,0.0,0.0
1811,0.0,5.0141535368197765e-09
1812,0.0,1.3336041604361526e-08
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,4.670620334934483e-09
1818,0.0,3.5763532135746345e-09
1819,0.0,0.0
1820,0.0,4.746592452420373e-09
1821,0.0,8.875339574387908e-09
1822,0.0,9.023054303725075e-09
1823,0.0,7.906149512848515e-09
1824,0.0,3.03160057057994e-08
1825,0.0,4.4027217427355936e-09
1826,0.0,2.9066348328221636e-08
1827,0.0,1.8434546111834038e-09
1828,1.8344602503717056e-09,0.0
1829,0.0,8.57317605795771e-10
1830,0.0,1.0436835840010872e-09
1831,0.0,3.1182412207897414e-09
1832,1.3529969367098715e-09,5.411987746839486e-09
1833,1.1583628500844156e-09,3.4750886612755494e-09
1834,0.0,1.8669061851994684e-08
1835,0.0,1.1344631900556124e-08
1836,6.720750067579218e-10,8.064899859050456e-09
1837,2.0873671680021744e-09,2.0873673012289373e-08
1838,1.8936485712828244e-09,2.3354998823776896e-08
1839,0.0,9.088917618527148e-09
1840,6.369688665408546e-10,5.095750932326837e-09
1841,6.420548537278137e-10,9.630822805917205e-09
1842,0.0,2.6162233268678392e-08
1843,1.1813822142769936e-09,1.0632440039515245e-08
1844,1.6465684371524958e-09,1.5916826967554698e-08
1845,3.348136878855712e-09,1.0044410470033682e-08
1846,5.854501328173001e-10,2.517435504501009e-08
1847,2.1572894581822766e-09,8.089835468183537e-09
1848,1.6090443422100975e-09,4.02261068899179e-09
1849,0.0,0.0
1850,4.752297222410107e-09,1.2220192857625989e-08
1851,6.449438760824933e-10,5.159551008659946e-09
1852,1.9531636308300904e-09,2.018269107395554e-08
1853,5.971931837933653e-10,1.4929829372789527e-08
1854,1.558699391779328e-09,1.3508727469968562e-08
1855,5.306937111981824e-10,3.714855978387277e-09
1856,1.0354378465748937e-09,1.967331869634492e-08
