year,premier_ADJ ange_NOUN,premier_ADJ change_NOUN
1800,1.5720822865716855e-08,1.2576657937302116e-08
1801,1.904946067554647e-08,7.143547975374531e-09
1802,2.2378401354217203e-09,0.0
1803,6.046051481689574e-08,1.950339223455444e-09
1804,2.719036085174764e-08,2.4718509461507665e-09
1805,4.5486042932196824e-08,0.0
1806,6.339672076194347e-08,0.0
1807,5.693910232196231e-09,0.0
1808,3.3991110814923786e-08,2.2660739951163578e-09
1809,4.518061036407062e-09,4.518061036407062e-09
1810,7.020380277111826e-09,7.020380277111826e-09
1811,7.521230305229665e-09,0.0
1812,5.067695596494559e-08,5.3344164641089264e-09
1813,1.150296680130225e-08,0.0
1814,0.0,0.0
1815,1.1867783467067738e-07,0.0
1816,6.95281165974393e-08,0.0
1817,3.580808805025981e-08,3.113746815941454e-09
1818,3.695564854133693e-08,1.1921177378582115e-09
1819,1.3456365466346654e-08,2.070210003424222e-09
1820,2.8479553826343817e-08,1.1866481131050932e-09
1821,3.9445951394156964e-08,2.9584463767662328e-09
1822,2.3058916553964082e-08,0.0
1823,8.103803406100951e-08,0.0
1824,2.0210670470532932e-08,2.5263338088166165e-09
1825,4.490775884491427e-08,0.0
1826,2.025836343122478e-08,5.284790383086602e-09
1827,2.7651819167751057e-09,9.217273055917019e-10
1828,1.8344601671049787e-08,0.0
1829,8.573175946935407e-09,0.0
1830,3.339787557621321e-08,2.0873671680021744e-09
1831,1.4032085715598441e-08,1.5591206103948707e-09
1832,6.088486259603343e-08,1.3529969367098715e-09
1833,8.108539617524002e-09,9.266902800675325e-09
1834,2.240287422239362e-08,2.8003592777992026e-09
1835,5.218530674255817e-08,0.0
1836,7.46003251950178e-08,0.0
1837,5.566312799576423e-08,0.0
1838,5.744067377300155e-08,0.0
1839,2.2932038890033368e-07,5.5931801412612e-09
1840,6.242295080838289e-08,3.1848443882154243e-09
1841,3.017657723702882e-08,0.0
1842,2.0326043381757586e-07,2.0124795163667386e-09
1843,5.670634695142951e-08,5.906911071384968e-10
1844,8.45238453672792e-08,1.097712254427563e-09
1845,8.81675991104558e-08,0.0
1846,6.030136279200349e-08,0.0
1847,2.588747438636574e-08,1.0786447290911383e-09
1848,3.378992985414442e-08,1.448139919091318e-08
1849,2.6814127807028854e-08,0.0
1850,2.987158342904195e-08,0.0
1851,7.094382614702965e-08,0.0
1852,5.729279806132581e-08,0.0
1853,1.039116157564024e-07,1.7915795513800958e-09
1854,7.845453231514199e-08,5.195664454227256e-10
1855,6.739810132216917e-08,0.0
1856,5.177189343896771e-08,0.0
1857,4.002837533656489e-08,6.8341128311999455e-09
1858,3.670257048282721e-08,2.4468380654951716e-09
1859,3.1571475211933375e-08,0.0
1860,2.6547666953646853e-08,4.577183909670879e-10
1861,4.857442609251805e-08,0.0
1862,2.6656119367363118e-08,4.517986262886353e-10
1863,5.144459463979345e-08,9.989241656072068e-10
1864,2.7329949192633762e-08,0.0
1865,3.812543880599151e-08,9.41368871743009e-10
1866,3.551897320708264e-08,4.865612912574591e-10
1867,2.91168689159349e-08,4.85281148598915e-09
1868,2.4205383586384244e-08,3.457911734727759e-09
1869,3.7114745499167157e-08,3.906815315701806e-09
1870,5.963410831810734e-08,5.160643912205387e-09
1871,2.6552943399593687e-08,2.1242354542039266e-09
1872,2.2375155617204712e-08,6.047339295989218e-10
1873,1.328892986762753e-07,1.0774807712721213e-08
1874,5.078417641968258e-08,5.974609140757536e-10
1875,3.0896246172584796e-08,1.1443054281912168e-09
1876,5.380953083111706e-08,3.02300739996042e-09
1877,1.4596165343050416e-07,4.9478527941460015e-09
1878,6.763779492047206e-08,1.2078177347163432e-09
1879,1.197427774712878e-07,5.498392852132383e-09
1880,1.2258086012906233e-07,5.134277003548959e-09
1881,1.282941404223692e-07,1.3945015142624584e-09
1882,2.4624924321869912e-08,0.0
1883,2.2117686626632604e-08,6.319338941018771e-10
1884,8.582206056928499e-09,6.601696966868076e-10
1885,2.9649923627417252e-08,2.5782542767416317e-09
1886,1.9360391734224436e-08,5.808117542471791e-09
1887,1.3057849024278312e-08,1.3057849246322917e-09
1888,3.423931826951332e-08,3.804368819970705e-09
1889,7.518164202302557e-09,6.265136742733546e-10
1890,1.8352281749844934e-08,0.0
1891,1.3385862196457765e-08,6.374220040683554e-10
1892,1.1283322276511853e-08,1.8805537127519756e-09
1893,2.6481191128802095e-08,3.079208221734575e-09
1894,1.764431001305411e-08,0.0
1895,1.2639090885002702e-08,0.0
1896,7.076434771491336e-09,5.89702897624278e-10
1897,2.0393496780179987e-08,1.7480140668268973e-09
1898,7.355861253444118e-09,2.26334195829736e-09
1899,7.738609753005221e-09,0.0
1900,1.1420316470278635e-08,0.0
1901,5.085752285971523e-08,2.235495566438317e-09
1902,5.4013122863239005e-09,4.910283846193408e-10
1903,7.560307935250421e-09,5.400220270956879e-09
1904,1.1286712897629059e-08,1.6123875568041512e-09
1905,2.6835946131953392e-08,0.0
1906,1.5432553956973294e-08,5.144184522798412e-10
1907,6.685696163355459e-09,5.142843373384665e-10
1908,2.5048085161571976e-08,0.0
1909,1.4302557138634597e-08,1.1001967115120692e-09
1910,4.809735498767509e-09,0.0
1911,2.2345570727111408e-08,1.5961122423746588e-09
1912,1.7191090051493774e-08,0.0
1913,1.325747411851097e-08,1.060597942803554e-09
1914,1.6741859454327823e-08,1.3393487430235496e-09
1915,9.424609537234119e-09,0.0
1916,2.197492410260793e-09,0.0
1917,3.289927441585405e-09,0.0
1918,2.2972752589112133e-08,0.0
1919,3.038590001835928e-08,1.8415696745321952e-09
1920,1.4387239843927091e-08,0.0
1921,1.4388220170857835e-08,8.330022005509363e-09
1922,2.0658220023506146e-08,5.164555005876537e-09
1923,8.492758496458919e-09,2.1231896241147297e-09
1924,3.2229060309418855e-08,0.0
1925,2.1996355403786083e-08,3.299453377181294e-09
1926,2.6750732962099733e-08,1.1146138456652466e-09
1927,3.456259756173807e-08,0.0
1928,3.085031119454129e-08,0.0
1929,1.559656870320225e-08,0.0
1930,8.402882833991043e-09,3.1510811737689437e-09
