year,dernier_ADJ are_NOUN,dernier_ADJ char_NOUN
1800,0.0,6.288328968651058e-09
1801,0.0,1.6668277424969347e-08
1802,0.0,0.0
1803,0.0,1.1702034896643454e-08
1804,0.0,2.2246657849223084e-08
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,2.3401267590372754e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,5.751483289628823e-09
1814,0.0,3.1466771410748606e-09
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,5.960588467246453e-09
1819,1.035105001712111e-09,3.1053151161586356e-09
1820,0.0,1.1866481131050932e-09
1821,0.0,6.903041693817613e-09
1822,0.0,0.0
1823,0.0,9.882686891060644e-10
1824,0.0,8.421112696055388e-10
1825,0.0,0.0
1826,0.0,8.807984341885344e-10
1827,0.0,1.8434546111834038e-09
1828,9.172301251858528e-10,2.7516904310687096e-09
1829,8.57317605795771e-10,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,1.3900354645102198e-08
1834,0.0,1.0267983796552471e-08
1835,7.563087933704082e-10,6.050470346963266e-09
1836,0.0,1.9490174807401672e-08
1837,0.0,0.0
1838,0.0,9.468243078458727e-09
1839,1.3982950353153e-09,2.0974426639952526e-09
1840,0.0,3.1848443882154243e-09
1841,0.0,1.2841097074556274e-09
1842,6.708265054555795e-10,1.1404051036834062e-08
1843,0.0,5.906911071384968e-10
1844,5.488561272137815e-10,6.037417232818143e-09
1845,0.0,8.37034175305007e-09
1846,0.0,2.9272506640865004e-09
1847,5.393223645455691e-10,5.393223645455691e-10
1848,8.045221711050488e-10,9.65426583121598e-09
1849,0.0,2.513824481908955e-09
1850,6.788996032014438e-10,6.1100964288129944e-09
1851,6.449438760824933e-10,9.029214709244116e-09
1852,0.0,2.6042181744401205e-09
1853,0.0,1.0749477752369785e-08
1854,0.0,1.558699391779328e-09
1855,0.0,3.714855978387277e-09
1856,5.177189232874468e-10,8.801221973442352e-09
1857,0.0,2.4407546206361985e-08
1858,0.0,5.872411001917044e-09
1859,0.0,2.036869339860914e-09
1860,0.0,7.323494255473406e-09
1861,0.0,4.2443675241088386e-09
1862,0.0,6.325180823552046e-09
1863,9.989241656072068e-10,2.4973103585068657e-09
1864,0.0,4.315255264231155e-09
1865,0.0,7.530950973944073e-09
1866,4.865612912574591e-10,6.811858188626729e-09
1867,9.7056229719783e-10,2.91168689159349e-09
1868,0.0,2.4699371437009177e-09
1869,9.767038289254515e-10,3.906815315701806e-09
1870,0.0,1.7202146374017957e-09
1871,0.0,1.274541272522356e-08
1872,0.0,1.8142017887967654e-09
1873,5.986004469882289e-10,1.1972008939764578e-09
1874,5.974609140757536e-10,9.559374625212058e-09
1875,1.716458086775674e-09,5.149374260327022e-09
1876,0.0,9.069021977836655e-09
1877,0.0,3.0924081073635534e-09
1878,0.0,9.662541877730746e-09
1879,0.0,2.443730107160036e-09
1880,0.0,6.417846254436199e-09
1881,0.0,6.2752567586699115e-09
1882,0.0,1.0648616211028639e-08
1883,0.0,5.0554711528150165e-09
1884,6.601696966868076e-10,3.9610181801208455e-09
1885,0.0,6.445635580831777e-09
1886,0.0,7.744156427236248e-09
1887,0.0,4.570247291724172e-09
1888,0.0,8.242799331981132e-09
1889,0.0,1.566284169030041e-08
