year,premier_ADJ an_NOUN,premier_ADJ chant_NOUN
1800,1.2576658381391326e-08,9.275285464127592e-07
1801,5.238601819002042e-08,6.976864908025959e-07
1802,4.923248297927785e-08,4.207139454592834e-07
1803,1.755305234496518e-08,3.335080112076838e-07
1804,5.6852570651244605e-08,7.761611904300025e-07
1805,1.1371510844071508e-08,6.652333999213056e-07
1806,8.645007376628655e-09,8.846724002253836e-07
1807,8.540865348294346e-09,5.608501432163848e-07
1808,1.8128591960930862e-08,9.132278151469109e-07
1809,2.2590304959990704e-08,3.591858614981902e-07
1810,2.574139479349924e-08,7.792622014335393e-07
1811,7.521229861140455e-09,8.574202681188581e-07
1812,2.1337665856435706e-08,1.8510425490170235e-06
1813,4.026038169513413e-08,1.1560480945860263e-06
1814,1.5733386149463513e-08,3.618678725558766e-07
1815,4.315557688983063e-08,2.96694592005764e-07
1816,1.3905623319487859e-08,2.989709084744163e-07
1817,7.784366928831332e-09,4.857445017325546e-07
1818,1.3113295338484932e-08,4.5658108671631226e-07
1819,1.3456364911235141e-08,4.978854969417412e-07
1820,7.238553223487543e-08,5.672178025051267e-07
1821,1.577838115718322e-08,6.843873148199009e-07
1822,2.8071724500478012e-08,4.571680705112158e-07
1823,4.249555285440465e-08,4.94134345219166e-07
1824,7.242157096243318e-08,7.157945693947454e-07
1825,1.1447076175841175e-08,7.017937986297795e-07
1826,1.1362299801032094e-07,4.254256518176902e-07
1827,4.7929820112813104e-08,4.0556001468239344e-07
1828,3.0268594741755805e-08,3.3203729288278083e-07
1829,6.772809124644397e-08,5.624003517334941e-07
1830,1.5655253982060913e-08,6.209917171595691e-07
1831,1.4032085493553836e-08,5.113915388932355e-07
1832,1.7588959622116818e-08,3.923691055396361e-07
1833,2.7800709290204395e-08,4.320693502979367e-07
1834,1.4935249481595747e-08,3.7711506029047825e-07
1835,4.9916380362446944e-08,3.373137360540568e-07
1836,7.661655132551459e-08,2.7689489812132706e-07
1837,6.818733033764346e-08,3.485903288247272e-07
1838,4.8603647551104245e-08,2.6511080242208607e-07
1839,2.4470162784950844e-08,2.698709311577119e-07
1840,4.0766007458614695e-08,3.2803896032884694e-07
1841,9.630822361827995e-09,4.1284126783835973e-07
1842,3.8237111255057243e-08,2.6296398880631955e-07
1843,3.8394921131335025e-08,3.461449771258174e-07
1844,3.402907916560949e-08,3.369976613876169e-07
1845,2.566904894196753e-08,2.4273991261480887e-07
1846,2.1076203893244383e-08,2.6872160296953496e-07
1847,2.6426795862732888e-08,2.5078489063190545e-07
1848,4.666228597960398e-08,2.1561193769281672e-07
1849,5.1952373070207614e-08,2.2875802141442136e-07
1850,3.055048125588655e-08,1.5750471149544865e-07
1851,2.257303499675345e-08,2.1025170982014174e-07
1852,2.7344290387532055e-08,2.2526486564977688e-07
1853,2.9859659633757474e-08,2.8426395792813253e-07
1854,1.1274591571464043e-07,2.9043765659153564e-07
1855,3.502578493908004e-08,2.648161689933204e-07
1856,2.1226476576430287e-08,2.53164551100582e-07
1857,5.174399508867111e-08,3.500041980686319e-07
1858,3.1808895073481835e-08,2.5496051081486115e-07
1859,2.8516170758052795e-08,3.859867319100374e-07
1860,5.53839250017063e-08,3.1994516200284373e-07
1861,1.7920662287451705e-08,2.617359952106213e-07
1862,2.8463313594961903e-08,3.0903025582951216e-07
1863,2.6471489888990618e-08,4.1205621537088177e-07
1864,2.3014694150447212e-08,2.5891530541777286e-07
1865,2.9653119071326728e-08,2.438145415006865e-07
1866,2.8220555337021835e-08,2.2187195525269487e-07
1867,6.454239098729886e-08,2.2662629639569332e-07
1868,2.321740844024589e-08,2.1488451495965677e-07
1869,6.641585770239544e-08,3.252423672606142e-07
1870,2.6376625328339287e-08,4.059706424364151e-07
1871,4.885741633486873e-08,1.550691814955485e-07
1872,5.1402382683640724e-08,2.654781966482389e-07
1873,1.9155214303623325e-08,2.1429896096547552e-07
1874,5.0784177918483664e-08,2.6109043060884574e-07
1875,2.345826111138649e-08,2.649066980775494e-07
1876,2.2974857127877613e-08,3.264847858730491e-07
1877,3.277952487223956e-08,3.574823581597997e-07
1878,7.005343150012777e-08,3.4120851166719035e-07
1879,3.848874796652524e-08,2.541479170448113e-07
1880,2.9522093214495726e-08,3.587576120622771e-07
1881,3.834879080955034e-08,2.5589103214151976e-07
1882,4.4591080827771634e-08,2.3626617862149146e-07
1883,2.0853818505361943e-08,2.862660416491636e-07
1884,2.3766109080725073e-08,2.9047465321951904e-07
1885,4.060750313783501e-08,2.1786249349009523e-07
1886,3.549404986591398e-08,2.6717340539939016e-07
1887,1.958677409152898e-08,1.945619599874604e-07
1888,1.1413106459912115e-08,3.018132719301292e-07
1889,2.3181005281980305e-08,3.1576288017642895e-07
1890,2.4906668727453507e-08,2.3202528753873963e-07
1891,2.677172439291553e-08,2.632552975612157e-07
1892,3.384996816180319e-08,2.9775432852652273e-07
1893,2.0938616174248637e-08,2.851346900811791e-07
1894,2.5836310868498913e-08,3.4091326805985034e-07
1895,3.1898657715245804e-08,2.714395210823284e-07
1896,3.125425251937486e-08,2.0639601694405485e-07
1897,3.088158351260972e-08,1.7363606519271713e-07
1898,1.0750873968845553e-08,2.12188308035266e-07
1899,2.5979618456517528e-08,2.4155517941437665e-07
1900,3.166542283938867e-08,1.9310717380705e-07
1901,1.117747761014698e-08,2.0119460342193918e-07
1902,1.178468167495339e-08,2.435500846553751e-07
1903,1.3500550899436803e-08,1.5768642547264733e-07
1904,2.8485513503540005e-08,1.6715083983598333e-07
1905,2.11591113519205e-08,1.945606213915596e-07
1906,2.0576738535282857e-08,2.577236522527393e-07
1907,1.6457098794830927e-08,2.8028494969412066e-07
1908,1.6698723515062852e-08,2.1069858613387282e-07
1909,1.1001967337165297e-08,2.2003934407877068e-07
1910,1.2825961626106164e-08,2.0681863022176117e-07
1911,1.276889793899727e-08,2.819798327058365e-07
1912,1.041884239993962e-08,2.464056189088737e-07
1913,1.590896836489719e-08,1.8719553440682546e-07
1914,1.6072185360371805e-08,1.8951784852561104e-07
1915,4.712304768617059e-09,1.6493065979616972e-07
1916,1.3184954461564757e-08,1.6371318034558158e-07
1917,1.3159709433274713e-08,1.3159709555399246e-07
1918,5.743188147278033e-09,1.9526840144834523e-07
1919,1.1970202606903513e-08,1.979687361264304e-07
1920,1.2872794385998532e-08,2.2262360976910145e-07
1921,1.6660043622440668e-08,1.5978497308610784e-07
1922,1.1066902949607993e-08,2.604411368234416e-07
1923,2.5478275489376756e-08,2.2611969541230792e-07
1924,1.675911143195208e-08,2.8877237567837e-07
1925,3.1894715091240755e-08,2.3096173973335965e-07
1926,1.114613823460786e-08,2.5190271746300397e-07
1927,1.1149224654616319e-08,3.144081539563359e-07
1928,9.140832868403947e-09,2.5480072896044703e-07
1929,1.4482528065684619e-08,2.6736973968155553e-07
1930,9.453243188239924e-09,2.7309369754480173e-07
1931,5.1324104077821175e-08,3.410201632192411e-07
1932,1.8631212128639163e-08,2.893317755381375e-07
1933,2.523545639121494e-08,2.1794258842078307e-07
1934,2.3963160344919743e-08,2.3483897315657032e-07
1935,2.752705352548901e-08,2.1901959978976038e-07
1936,6.0623572828433225e-09,3.261548280342197e-07
1937,2.2664012888640173e-08,1.573889807371387e-07
1938,1.2965214679638848e-08,4.2007295197876715e-07
1939,4.282334131744392e-08,2.3246956804001684e-07
1940,2.7893612752905028e-08,2.611856433354376e-07
1941,7.969057236323351e-08,2.3612020161323244e-07
1942,9.102635090130207e-09,2.5790800406433334e-07
1943,5.806470415592457e-09,2.758073383013482e-07
1944,9.639558484764166e-09,1.992175455711731e-07
1945,4.357008087652048e-09,2.2656441789337123e-07
1946,1.6705325123211878e-08,2.0324812410876802e-07
1947,1.9073394197377525e-08,2.63451251925062e-07
1948,2.717971980814582e-08,2.3918152658453096e-07
1949,2.0615717910565934e-08,2.0615716933569672e-07
1950,9.571825110299415e-09,2.158978449351423e-07
1951,3.1984206394497505e-09,1.7378084271602035e-07
1952,1.4762725264461096e-08,3.216165220809586e-07
1953,8.619061908632375e-09,2.003931933725056e-07
1954,4.886268278880834e-09,2.3356361689153005e-07
1955,4.6928039232341234e-09,1.9052783661877015e-07
