year,premier_ADJ août_NOUN,premier_ADJ shoot_NOUN
1800,4.653363490092488e-07,0.0
1801,7.334042604334456e-07,0.0
1802,3.983355441050662e-07,0.0
1803,3.5301141210197784e-07,0.0
1804,2.3976954177662435e-07,0.0
1805,3.013450511346605e-07,0.0
1806,6.656655653358712e-07,0.0
1807,6.491057575885861e-07,0.0
1808,7.455383439491925e-07,0.0
1809,5.489444316886249e-07,0.0
1810,3.1357698349054886e-07,0.0
1811,3.7856859869123127e-07,0.0
1812,3.8141076341702274e-07,0.0
1813,2.962013816443232e-07,0.0
1814,4.1221471391850173e-07,0.0
1815,3.6951963089393303e-07,0.0
1816,2.7811246106068666e-07,0.0
1817,3.674221318306081e-07,0.0
1818,8.905119410762552e-07,0.0
1819,4.471653527460262e-07,0.0
1820,4.68726002900155e-07,0.0
1821,2.2582808412163757e-07,0.0
1822,2.3660453507545753e-07,0.0
1823,6.087735144877371e-07,0.0
1824,2.7368616795087064e-07,0.0
1825,2.4567187306701044e-07,0.0
1826,1.6911329980828782e-07,0.0
1827,2.092320995350505e-07,0.0
1828,3.0635485348540215e-07,0.0
1829,3.0177579124490705e-07,0.0
1830,2.8388194195372307e-07,0.0
1831,1.6526679136319444e-07,0.0
1832,1.0823975438167821e-07,0.0
1833,1.3089500150442746e-07,0.0
1834,1.7548917474741188e-07,0.0
1835,1.436986636349502e-07,0.0
1836,1.3172670110250806e-07,0.0
1837,1.72555698951804e-07,0.0
1838,1.6853472573075123e-07,0.0
1839,1.8457494554979803e-07,0.0
1840,1.535094922289204e-07,0.0
1841,1.2776891722410255e-07,0.0
1842,9.458653460470146e-08,0.0
1843,1.0632440200497584e-07,0.0
1844,1.3721403346877992e-07,0.0
1845,3.214211249380483e-07,0.0
1846,9.952652324507483e-08,0.0
1847,1.5370688011273614e-07,0.0
1848,9.332457207023026e-08,0.0
1849,7.709062010974321e-08,0.0
1850,1.0998173483045548e-07,0.0
1851,7.029888537957163e-08,0.0
1852,9.11476352172258e-08,0.0
1853,8.062107870188129e-08,0.0
1854,1.184611484461584e-07,0.0
1855,7.748128183493463e-08,0.0
1856,9.577800363924638e-08,0.0
1857,9.226052288813236e-08,0.0
1858,5.1383598542731335e-08,0.0
1859,8.096555381698067e-08,0.0
1860,9.657858068834457e-08,0.0
1861,5.98927405448535e-08,0.0
1862,7.138418578467309e-08,0.0
1863,7.441985383493943e-08,0.0
1864,7.719512140624829e-08,0.0
